Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourgeois Guy P.L.Q./Q.L.P.;Caron Éric C.P.Q.;Cyr Lyne Q.S.;Dufour Pierre C.A.Q.-É.F.L.;Larouche Élizabeth P.Q.;Paquette Mélina P.V.Q./G.P.Q.;B.V.;B.R.
648;Abitibi-Est;2018-10-01;G;Senneterre, p;1;;1;335;16;6;27;74;21;2;146;4
648;Abitibi-Est;2018-10-01;G;Senneterre, p;1;;2;335;24;1;18;74;35;3;155;1
648;Abitibi-Est;2018-10-01;G;Senneterre, p;1;;3;333;21;2;20;64;24;2;133;5
648;Abitibi-Est;2018-10-01;G;Senneterre, v;1;;4;292;30;1;15;42;30;0;118;7
648;Abitibi-Est;2018-10-01;G;Senneterre, v;1;;5;287;24;4;18;51;24;2;123;5
648;Abitibi-Est;2018-10-01;G;Senneterre, v;1;;6;286;18;3;22;38;25;4;110;2
648;Abitibi-Est;2018-10-01;G;Senneterre, v;2;;7;342;17;2;20;47;32;5;123;6
648;Abitibi-Est;2018-10-01;G;Senneterre, v;2;;8;343;41;2;11;56;27;2;139;4
648;Abitibi-Est;2018-10-01;G;Senneterre, v;2;;9;335;10;3;20;36;26;0;95;4
648;Abitibi-Est;2018-10-01;G;Senneterre, v;2;;10;337;22;3;37;77;35;2;176;3
648;Abitibi-Est;2018-10-01;G;Belcourt, m;1;;11;181;9;0;19;40;24;2;94;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;1;;12;377;24;4;22;129;27;3;209;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;1;;13;376;36;1;26;121;30;5;219;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;1;;14;390;32;5;54;92;46;4;233;11
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;1;;15;387;26;12;22;114;62;2;238;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;2;;16;378;28;6;38;95;54;11;232;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;2;;17;377;22;8;31;109;47;2;219;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;3;;18;376;23;4;28;70;48;4;177;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;3;;19;381;31;5;35;84;55;6;216;3
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;3;;20;381;23;8;36;105;41;2;215;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;3;;21;372;39;6;27;85;24;1;182;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;3;;22;391;42;2;32;112;31;2;221;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;3;;23;380;36;3;22;88;42;0;191;11
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;24;370;49;2;10;95;37;1;194;11
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;25;364;21;5;26;95;42;2;191;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;26;357;37;2;38;107;40;3;227;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;27;336;11;3;23;92;44;1;174;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;28;349;27;3;50;102;39;2;223;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;29;364;48;1;16;104;50;4;223;8
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;30;363;29;2;34;88;24;5;182;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;31;349;36;2;19;91;40;5;193;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;4;;32;367;29;4;20;77;27;1;158;10
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;5;;33;350;22;0;16;36;32;5;111;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;5;;34;354;32;7;28;69;27;2;165;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;5;;35;353;39;8;14;89;27;4;181;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;5;;36;372;31;4;31;92;45;1;204;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;5;;37;356;34;3;24;88;38;4;191;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;6;;38;378;35;0;24;107;37;0;203;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;6;;39;387;34;3;30;78;34;3;182;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;6;;40;385;33;1;29;79;36;2;180;9
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;6;;41;379;30;2;23;72;19;2;148;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;6;;42;391;32;2;27;69;27;0;157;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;43;378;33;3;23;97;29;4;189;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;44;387;26;0;30;101;34;4;195;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;45;386;38;2;27;91;35;1;194;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;46;379;33;0;26;78;39;0;176;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;47;388;45;4;29;107;38;6;229;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;48;378;49;2;26;77;40;3;197;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;49;375;50;0;21;72;36;0;179;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;50;374;35;4;22;80;35;5;181;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;51;381;33;3;31;96;36;3;202;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;52;381;23;7;26;88;33;0;177;3
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;53;391;31;2;37;96;36;7;209;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;54;379;32;3;30;75;30;5;175;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;7;;55;370;31;1;47;67;32;6;184;9
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;;56;385;30;1;31;69;32;0;163;3
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;;57;384;28;5;26;98;30;4;191;3
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;;58;387;32;3;15;60;33;4;147;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;;59;392;39;1;49;57;39;3;188;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;;60;397;35;2;21;70;33;3;164;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;;61;370;29;3;18;63;32;4;149;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;;62;382;24;2;35;73;36;1;171;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;9;;63;389;26;1;17;47;19;4;114;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;9;;64;368;34;4;37;68;24;3;170;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;9;;65;365;30;3;33;56;45;1;168;8
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;9;;66;365;20;3;32;69;26;1;151;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;9;;67;371;23;2;37;69;45;1;177;5
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;10;;68;371;21;1;26;54;30;8;140;7
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;10;;69;394;22;3;34;71;37;3;170;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;10;;70;381;27;9;35;79;47;7;204;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;10;;71;394;26;5;30;52;38;2;153;8
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;11;;72;352;16;3;17;39;27;1;103;2
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;11;;73;360;31;1;30;89;29;3;183;6
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;11;;74;368;28;2;38;95;25;2;190;4
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;11;;75;350;44;4;24;95;25;4;196;8
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;11;;76;376;58;3;32;103;38;1;235;1
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;11;;77;180;15;3;8;57;20;1;104;0
648;Abitibi-Est;2018-10-01;G;Lac-Simon, r;1;;78;363;7;2;16;2;1;2;30;0
648;Abitibi-Est;2018-10-01;G;Lac-Simon, r;1;;79;374;3;0;28;2;1;0;34;0
648;Abitibi-Est;2018-10-01;G;Malartic, v;1;;80;387;30;6;39;78;52;10;215;2
648;Abitibi-Est;2018-10-01;G;Malartic, v;1;;81;386;17;6;21;118;36;3;201;2
648;Abitibi-Est;2018-10-01;G;Malartic, v;1;;82;375;9;4;19;77;29;3;141;9
648;Abitibi-Est;2018-10-01;G;Malartic, v;1;;83;390;32;5;37;76;52;4;206;6
648;Abitibi-Est;2018-10-01;G;Malartic, v;1;;84;398;26;10;31;59;43;3;172;4
648;Abitibi-Est;2018-10-01;G;Malartic, v;2;;85;273;11;8;20;35;18;2;94;3
648;Abitibi-Est;2018-10-01;G;Malartic, v;2;;86;263;11;8;12;38;25;1;95;6
648;Abitibi-Est;2018-10-01;G;Rivière-Héva, m;1;;87;338;30;9;33;62;33;7;174;7
648;Abitibi-Est;2018-10-01;G;Rivière-Héva, m;1;;88;332;19;1;23;78;34;4;159;7
648;Abitibi-Est;2018-10-01;G;Rivière-Héva, m;1;;89;338;29;10;27;72;37;5;180;5
648;Abitibi-Est;2018-10-01;G;Rivière-Héva, m;2;;90;198;6;0;16;42;10;4;78;1
648;Abitibi-Est;2018-10-01;G;Rouyn-Noranda, v;21;;91;308;15;3;31;59;37;5;150;6
648;Abitibi-Est;2018-10-01;G;Rouyn-Noranda, v;21;;92;298;18;7;21;63;30;2;141;1
648;Abitibi-Est;2018-10-01;G;Kitcisakik, ei;1;;93;89;5;0;5;9;4;0;23;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;5;Regr. BVO-34;500;145;0;0;0;0;0;0;0;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;6;Regr. BVO-38;501;213;0;0;0;0;0;0;0;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;Regr. BVO-58;502;162;0;0;0;0;0;0;0;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;8;Regr. BVO-61;503;46;0;0;0;0;0;0;0;0
648;Abitibi-Est;2018-10-01;G;Val-d'Or, v;11;Regr. BVO-73;504;99;0;0;0;0;0;0;0;0
648;Abitibi-Est;2018-10-01;G;Malartic, v;1;Regr. BVO-82;505;22;0;0;0;0;0;0;0;0
648;Abitibi-Est;2018-10-01;G;Malartic, v;1;Regr. BVO-83;506;35;0;0;0;0;0;0;0;0
648;Abitibi-Est;2018-10-01;G;BVA1: SV no 48, 50 à 54;;;;0;78;1;30;148;38;5;300;7
648;Abitibi-Est;2018-10-01;G;BVA2: SV no 55 à 60;;;;0;119;1;35;112;48;6;321;8
648;Abitibi-Est;2018-10-01;G;BVA3: SV no 62 à 68;;;;0;68;2;31;90;49;1;241;11
648;Abitibi-Est;2018-10-01;G;BVA4: SV no 69 à 73;;;;0;28;2;13;55;28;2;128;3
