Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Suzanne C.A.Q.-É.F.L.;Couture Yan-Dominic P.V.Q./G.P.Q.;Lacroix Eric P.C.Q./C.P.Q.;Lévesque Stéphane C.P.Q.;Marquis Rose Q.S.;Sylvestre Maxim Ind;Vachon Sylvain P.Q.;Veilleux Martin P.L.Q./Q.L.P.;B.V.;B.R.;
642;Abitibi-Ouest;2018-10-01;G;Saint-Lambert, p;1;;1;144;25;4;2;2;13;0;30;8;84;2;
642;Abitibi-Ouest;2018-10-01;G;Normétal, m;1;;2;299;67;2;3;3;18;1;30;8;132;4;
642;Abitibi-Ouest;2018-10-01;G;Normétal, m;1;;3;326;60;4;3;4;25;0;40;12;148;3;
642;Abitibi-Ouest;2018-10-01;G;Clermont, ct;1;;4;359;72;4;3;0;30;1;70;9;189;11;
642;Abitibi-Ouest;2018-10-01;G;Val-Saint-Gilles, m;1;;5;129;15;1;1;1;6;5;12;14;55;0;
642;Abitibi-Ouest;2018-10-01;G;Rivière-Ojima, no;1;Regr. BVO-8;6;25;0;0;0;0;0;0;0;0;0;0;
642;Abitibi-Ouest;2018-10-01;G;Rivière-Ojima, no;1;Regr. BVO-50;7;36;0;0;0;0;0;0;0;0;0;0;
642;Abitibi-Ouest;2018-10-01;G;Chazel, m;1;;8;219;37;1;2;3;16;1;51;16;127;4;
642;Abitibi-Ouest;2018-10-01;G;Authier-Nord, m;1;;9;233;34;1;3;3;29;1;55;9;135;2;
642;Abitibi-Ouest;2018-10-01;G;Macamic, v;1;;10;396;79;0;2;2;38;2;56;26;205;2;
642;Abitibi-Ouest;2018-10-01;G;Macamic, v;1;;11;380;42;1;2;0;30;2;39;14;130;1;
642;Abitibi-Ouest;2018-10-01;G;Macamic, v;1;;12;390;42;0;5;1;34;3;72;23;180;3;
642;Abitibi-Ouest;2018-10-01;G;Macamic, v;1;;13;381;52;1;0;0;29;3;81;21;187;2;
642;Abitibi-Ouest;2018-10-01;G;Macamic, v;1;;14;242;38;0;1;0;37;1;51;19;147;3;
642;Abitibi-Ouest;2018-10-01;G;Macamic, v;1;;15;279;55;2;1;0;27;0;47;12;144;0;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;16;350;61;0;2;1;28;5;70;12;179;3;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;17;369;64;2;0;0;30;1;68;26;191;3;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;18;343;50;1;2;2;28;0;50;10;143;3;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;19;363;45;1;1;0;46;2;41;21;157;5;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;20;377;53;0;1;0;37;1;44;10;146;2;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;21;364;36;2;1;1;13;0;40;24;117;3;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;22;385;66;3;3;0;31;0;85;17;205;0;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;23;337;46;0;2;1;24;1;72;16;162;3;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;1;;24;365;52;1;2;13;26;0;76;10;180;4;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;2;;25;347;60;2;2;1;20;2;65;11;163;2;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;2;;26;340;35;2;0;3;14;1;47;18;120;0;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;2;;27;339;38;6;0;0;31;3;45;13;136;1;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;2;;28;331;46;0;2;2;28;1;46;15;140;1;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;2;;29;371;68;2;3;1;25;3;43;8;153;10;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;2;;30;338;40;1;0;1;26;3;75;32;178;2;
642;Abitibi-Ouest;2018-10-01;G;La Sarre, v;2;;31;348;53;1;1;0;29;1;72;20;177;2;
642;Abitibi-Ouest;2018-10-01;G;Dupuy, m;1;;32;362;64;1;4;2;31;0;73;17;192;3;
642;Abitibi-Ouest;2018-10-01;G;Dupuy, m;1;;33;349;50;2;6;2;26;5;78;15;184;6;
