Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dugal Karl P.Q.;Forget Marie-Josée Q.S.;Gamelin Michèle C.A.Q.-É.F.L.;Henes Vincent N.P.D.Q.;Madani Hamza P.V.Q./G.P.Q.;Thériault Lise P.L.Q./Q.L.P.;B.V.;B.R.
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;1;403;16;23;29;1;0;83;152;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;2;397;15;33;39;3;0;93;183;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;3;395;13;23;25;2;3;112;178;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;4;401;11;12;42;1;1;95;162;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;5;381;14;20;43;0;1;92;170;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;6;400;18;18;44;1;3;99;183;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;7;383;11;11;28;2;1;117;170;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;8;397;16;16;39;3;1;105;180;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;361;;9;379;15;23;38;0;2;63;141;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;10;378;36;42;45;0;4;46;173;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;11;378;21;26;37;0;3;77;164;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;12;363;25;38;60;0;4;65;192;8
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;13;372;13;19;44;0;5;91;172;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;14;365;37;31;45;1;3;72;189;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;15;368;14;14;29;2;11;91;161;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;16;395;29;38;39;1;5;77;189;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;17;375;23;17;63;1;3;97;204;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;18;355;29;29;50;2;2;57;169;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;362;;19;376;21;24;42;1;1;60;149;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;363;;20;376;48;45;54;1;4;35;187;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;363;;21;365;52;49;52;5;6;51;215;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;363;;22;366;41;44;47;5;7;61;205;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;363;;23;377;42;50;44;4;4;50;194;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;363;;24;371;39;34;60;3;4;62;202;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;363;;25;384;38;41;47;1;0;62;189;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;26;375;42;49;44;7;6;62;210;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;27;387;33;48;36;3;5;62;187;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;28;379;46;49;52;2;2;61;212;1
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;29;380;35;32;33;1;4;72;177;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;30;361;44;31;50;1;1;89;216;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;31;361;46;38;34;0;5;55;178;6
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;32;375;44;51;57;2;5;48;207;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;33;379;40;39;52;3;3;58;195;0
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;34;368;38;46;58;3;4;44;193;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;35;381;26;28;35;3;1;38;131;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;36;364;18;28;43;0;1;53;143;6
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;364;;37;380;40;22;53;0;0;54;169;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;365;;38;412;36;35;56;1;8;88;224;7
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;365;;39;401;38;29;57;1;7;98;230;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;365;;40;419;27;63;56;2;12;108;268;5
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;365;;41;412;10;32;37;1;5;96;181;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;365;;42;383;23;39;43;1;3;80;189;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;365;;43;404;31;20;65;1;5;68;190;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;365;;44;410;32;31;64;2;1;76;206;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;45;359;24;7;73;2;3;57;166;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;46;381;24;14;86;0;1;78;203;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;47;364;27;16;74;3;4;50;174;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;48;382;48;30;125;1;4;138;346;7
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;49;377;12;12;56;0;0;74;154;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;50;395;26;8;55;1;3;73;166;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;51;405;19;14;64;1;2;81;181;6
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;52;370;16;12;58;3;3;51;143;2
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;53;387;10;17;52;0;2;59;140;3
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;366;;54;364;12;12;53;2;1;51;131;4
366;Anjou-Louis-Riel;2018-10-01;G;Montréal, v;367;;55;395;17;19;56;1;3;112;208;6
