Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigras-Denis Bernard P.L.Q./Q.L.P.;Boyer Stéphanie P.L.;Côté Patrick P.Q.;Edwards Sherwin P.C.Q./C.P.Q.;Grondin Agnès C.A.Q.-É.F.L.;Lachapelle Céline Q.S.;St-Denis Yves Ind;Thériault Carole P.V.Q./G.P.Q.;Wiseman Louise C.P.Q.;B.V.;B.R.
520;Argenteuil;2018-10-01;G;Lachute, v;1;;1;388;23;0;47;2;72;11;20;5;0;180;4
520;Argenteuil;2018-10-01;G;Lachute, v;1;;2;389;47;2;31;3;54;19;7;4;3;170;5
520;Argenteuil;2018-10-01;G;Lachute, v;1;;3;385;48;0;31;4;61;8;12;4;0;168;1
520;Argenteuil;2018-10-01;G;Lachute, v;1;;4;387;45;5;47;5;50;14;24;0;5;195;0
520;Argenteuil;2018-10-01;G;Lachute, v;1;;5;379;28;0;36;6;58;18;17;1;1;165;3
520;Argenteuil;2018-10-01;G;Lachute, v;1;;6;382;21;5;52;2;62;12;12;0;0;166;0
520;Argenteuil;2018-10-01;G;Lachute, v;1;;7;391;9;0;34;2;48;16;11;1;1;122;2
520;Argenteuil;2018-10-01;G;Lachute, v;1;;8;364;26;1;23;0;36;15;10;1;2;114;0
520;Argenteuil;2018-10-01;G;Lachute, v;2;;9;385;32;1;49;4;65;14;6;1;6;178;5
520;Argenteuil;2018-10-01;G;Lachute, v;2;;10;392;47;1;29;3;71;13;21;2;1;188;1
520;Argenteuil;2018-10-01;G;Lachute, v;2;;11;383;18;0;45;0;71;18;7;3;0;162;2
520;Argenteuil;2018-10-01;G;Lachute, v;2;;12;395;14;1;45;5;71;11;9;5;1;162;4
520;Argenteuil;2018-10-01;G;Lachute, v;2;;13;396;13;0;42;2;61;19;15;4;1;157;5
520;Argenteuil;2018-10-01;G;Lachute, v;2;;14;370;6;1;42;1;51;14;15;2;1;133;3
520;Argenteuil;2018-10-01;G;Lachute, v;2;;15;385;12;0;18;0;46;9;7;0;1;93;1
520;Argenteuil;2018-10-01;G;Lachute, v;2;;16;382;17;0;40;2;50;14;22;2;0;147;4
520;Argenteuil;2018-10-01;G;Lachute, v;2;;17;402;15;0;36;1;61;13;12;2;0;140;4
520;Argenteuil;2018-10-01;G;Lachute, v;2;;18;389;13;0;46;1;46;11;14;2;0;133;1
520;Argenteuil;2018-10-01;G;Lachute, v;3;;19;393;13;1;39;1;37;18;12;2;0;123;2
520;Argenteuil;2018-10-01;G;Lachute, v;3;;20;383;25;2;35;4;56;10;19;3;0;154;1
520;Argenteuil;2018-10-01;G;Lachute, v;3;;21;383;23;2;23;1;54;19;16;0;0;138;0
520;Argenteuil;2018-10-01;G;Lachute, v;3;;22;372;26;1;37;1;61;20;26;2;0;174;2
520;Argenteuil;2018-10-01;G;Lachute, v;3;;23;379;15;1;45;4;44;18;15;0;0;142;4
520;Argenteuil;2018-10-01;G;Lachute, v;3;;24;385;29;0;56;0;63;13;19;2;0;182;0
520;Argenteuil;2018-10-01;G;Lachute, v;3;;25;374;16;0;37;2;67;7;11;3;3;146;1
520;Argenteuil;2018-10-01;G;Lachute, v;3;;26;383;28;2;65;1;48;16;17;4;1;182;0
520;Argenteuil;2018-10-01;G;Lachute, v;3;;27;376;22;3;51;3;48;13;20;1;0;161;0
520;Argenteuil;2018-10-01;G;Saint-André-d'Argenteuil, m;1;;28;358;32;3;33;0;57;14;17;0;0;156;1
520;Argenteuil;2018-10-01;G;Saint-André-d'Argenteuil, m;1;;29;343;33;1;48;2;73;12;6;0;0;175;3
520;Argenteuil;2018-10-01;G;Saint-André-d'Argenteuil, m;1;;30;348;21;2;73;4;77;15;7;7;0;206;2
520;Argenteuil;2018-10-01;G;Saint-André-d'Argenteuil, m;1;;31;365;26;2;61;5;75;21;18;3;1;212;6
520;Argenteuil;2018-10-01;G;Saint-André-d'Argenteuil, m;1;;32;350;18;0;58;5;56;20;16;3;4;180;0
520;Argenteuil;2018-10-01;G;Saint-André-d'Argenteuil, m;1;;33;362;24;1;66;1;68;18;16;1;1;196;3
520;Argenteuil;2018-10-01;G;Saint-André-d'Argenteuil, m;1;;34;346;21;3;27;0;92;22;18;4;0;187;6
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;35;375;29;1;16;4;60;20;13;1;0;144;5
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;36;383;20;0;41;10;69;22;10;3;0;175;1
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;37;378;37;2;32;2;50;24;7;4;0;158;1
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;38;373;23;3;56;1;67;13;23;2;0;188;4
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;39;383;29;1;46;0;52;13;19;1;3;164;4
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;40;371;26;1;45;3;43;20;17;2;1;158;2
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;41;374;41;0;38;6;64;18;11;3;0;181;3
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;42;377;17;2;51;8;66;15;19;2;2;182;2
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;43;384;14;1;23;3;39;15;18;4;0;117;2
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;1;;44;373;23;1;29;6;71;14;14;1;0;159;1
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;2;;45;385;8;1;35;2;58;14;27;1;1;147;3
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;2;;46;379;22;0;26;1;47;7;27;1;1;132;4
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;2;;47;386;17;0;52;3;50;18;29;0;1;170;5
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;2;;48;380;15;5;42;3;55;14;34;3;0;171;4
520;Argenteuil;2018-10-01;G;Brownsburg-Chatham, v;2;;49;393;36;1;34;4;59;24;17;4;1;180;3
520;Argenteuil;2018-10-01;G;Grenville, vl;1;;50;335;32;0;21;6;45;14;13;3;0;134;0
520;Argenteuil;2018-10-01;G;Grenville, vl;1;;51;351;24;0;16;2;62;16;15;2;1;138;3
520;Argenteuil;2018-10-01;G;Grenville, vl;1;;52;331;41;0;23;1;72;11;15;4;0;167;1
520;Argenteuil;2018-10-01;G;Grenville, vl;1;;53;349;38;0;13;3;64;15;14;1;1;149;1
520;Argenteuil;2018-10-01;G;Grenville-sur-la-Rouge, m;1;;54;374;41;0;30;8;73;12;13;3;0;180;2
520;Argenteuil;2018-10-01;G;Grenville-sur-la-Rouge, m;1;;55;384;38;1;30;4;43;20;12;3;0;151;7
520;Argenteuil;2018-10-01;G;Grenville-sur-la-Rouge, m;1;;56;386;51;1;17;4;25;12;17;5;0;132;2
520;Argenteuil;2018-10-01;G;Grenville-sur-la-Rouge, m;1;;57;373;40;0;19;4;30;16;7;7;0;123;2
520;Argenteuil;2018-10-01;G;Grenville-sur-la-Rouge, m;1;;58;389;26;2;36;3;53;10;16;4;3;153;2
520;Argenteuil;2018-10-01;G;Grenville-sur-la-Rouge, m;1;;59;382;42;3;21;5;38;15;14;2;1;141;3
520;Argenteuil;2018-10-01;G;Harrington, ct;1;;60;360;82;1;24;4;41;14;7;13;0;186;4
520;Argenteuil;2018-10-01;G;Harrington, ct;1;;61;359;95;2;9;5;27;8;7;5;1;159;1
520;Argenteuil;2018-10-01;G;Arundel, ct;1;;62;223;47;2;6;5;16;11;3;5;0;95;1
520;Argenteuil;2018-10-01;G;Arundel, ct;1;;63;235;45;2;21;0;37;11;2;5;0;123;2
520;Argenteuil;2018-10-01;G;Barkmere, v;1;Regr. BVO-63;64;39;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Montcalm, m;1;;65;245;43;1;21;0;37;15;6;7;0;130;0
520;Argenteuil;2018-10-01;G;Montcalm, m;1;;66;254;15;0;17;2;48;21;5;4;0;112;1
520;Argenteuil;2018-10-01;G;Lac-des-Seize-Îles, m;1;;67;124;11;1;10;1;29;5;2;0;2;61;3
520;Argenteuil;2018-10-01;G;Lac-des-Seize-Îles, m;1;;68;48;3;0;5;3;8;5;1;2;1;28;0
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;69;364;27;1;30;1;49;29;2;3;0;142;3
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;70;373;25;0;34;8;44;17;3;5;0;136;1
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;71;385;26;1;23;1;56;27;0;4;1;139;3
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;72;378;13;0;30;1;78;30;0;4;3;159;5
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;73;363;10;0;29;0;66;27;5;1;0;138;5
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;74;361;11;0;29;2;58;30;3;4;2;139;3
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;75;376;18;2;44;2;38;33;1;6;1;145;0
520;Argenteuil;2018-10-01;G;Saint-Adolphe-d'Howard, m;1;;76;364;28;0;29;2;64;14;1;3;0;141;3
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;77;384;44;0;19;3;42;35;1;10;1;155;1
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;78;387;47;6;17;5;60;32;1;8;1;177;6
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;79;370;32;1;32;1;65;22;1;2;1;157;3
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;80;398;28;0;31;3;65;22;5;7;2;163;1
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;81;390;27;1;33;1;67;39;1;8;0;177;1
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;82;390;50;1;32;6;74;17;0;6;0;186;1
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;83;390;55;1;22;2;66;27;3;4;0;180;5
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;84;402;54;3;20;2;57;39;1;2;2;180;3
520;Argenteuil;2018-10-01;G;Morin-Heights, m;1;;85;381;51;1;26;2;51;16;0;5;0;152;2
520;Argenteuil;2018-10-01;G;Mille-Isles, m;1;;86;311;54;4;29;4;45;26;2;4;0;168;4
520;Argenteuil;2018-10-01;G;Mille-Isles, m;1;;87;305;55;6;21;5;40;27;6;9;1;170;2
520;Argenteuil;2018-10-01;G;Mille-Isles, m;1;;88;326;20;5;36;3;72;36;1;4;0;177;2
520;Argenteuil;2018-10-01;G;Mille-Isles, m;1;;89;318;15;2;32;7;76;25;3;2;0;162;2
