Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Champigny-Fortier William Q.S.;Daigle Jacques P.Q.;Guay Gaudreault Lisette P.C.Q./C.P.Q.;Landry Jean A.P.Q.;Lefebvre Éric C.A.Q.-É.F.L.;Pelland Jean-Charles P.V.Q./G.P.Q.;Poirier Pierre P.L.Q./Q.L.P.;B.V.;B.R.
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;1;400;22;9;4;1;165;3;15;219;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;2;394;22;24;0;1;128;4;22;201;1
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;3;400;18;15;5;0;169;5;10;222;1
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;4;392;31;16;4;1;85;1;7;145;1
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;5;402;34;20;3;0;123;4;11;195;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;6A;202;25;11;0;1;49;0;9;95;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;6B;245;15;11;3;1;76;1;16;123;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;7;422;27;12;8;0;161;2;27;237;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;8;374;34;10;2;2;153;0;23;224;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;9;387;22;23;8;0;126;0;26;205;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;10;397;21;20;3;0;143;1;38;226;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;11;402;23;11;3;1;140;4;20;202;8
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;12;388;30;25;1;1;136;1;24;218;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;13;399;22;20;6;2;146;1;15;212;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;14;389;27;17;8;2;142;4;9;209;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;1;;15;391;26;16;3;0;151;2;16;214;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;2;;16;374;31;14;10;1;111;6;19;192;8
144;Arthabaska;2018-10-01;G;Victoriaville, v;2;;17;407;23;19;8;4;139;2;24;219;10
144;Arthabaska;2018-10-01;G;Victoriaville, v;2;;18;413;42;15;8;0;151;4;18;238;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;2;;19;407;33;18;1;1;139;5;30;227;8
144;Arthabaska;2018-10-01;G;Victoriaville, v;2;;20;389;44;27;5;1;134;4;15;230;1
144;Arthabaska;2018-10-01;G;Victoriaville, v;2;;21;395;26;27;9;6;154;5;16;243;9
144;Arthabaska;2018-10-01;G;Victoriaville, v;2;;22;396;20;31;5;1;113;2;22;194;5
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;;23;421;45;23;3;7;88;6;12;184;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;;24;418;46;14;4;2;103;5;16;190;6
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;;25;410;24;17;2;2;80;1;19;145;8
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;;26;403;28;20;6;2;112;6;12;186;6
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;;27;402;31;23;4;0;117;0;19;194;9
144;Arthabaska;2018-10-01;G;Victoriaville, v;3;;28;409;29;25;1;0;149;2;25;231;6
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;29;370;28;16;3;6;115;5;24;197;5
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;30;365;30;22;0;0;138;0;22;212;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;31;370;28;36;4;1;111;1;33;214;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;32;353;25;24;3;1;107;1;14;175;8
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;33;375;27;21;3;0;146;5;15;217;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;34;374;22;8;3;4;94;5;12;148;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;35;374;22;13;5;1;100;2;27;170;6
144;Arthabaska;2018-10-01;G;Victoriaville, v;4;;36;375;29;13;6;0;99;2;22;171;6
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;;37;372;31;11;4;5;105;3;17;176;14
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;;38;379;35;20;6;3;80;1;8;153;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;;39;370;27;12;2;2;78;3;17;141;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;;40;398;37;16;2;2;61;3;17;138;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;;41;364;32;15;0;4;91;4;12;158;6
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;;42;347;17;24;2;3;67;2;17;132;1
144;Arthabaska;2018-10-01;G;Victoriaville, v;5;;43;367;24;27;3;8;94;1;22;179;5
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;44;361;31;22;5;1;120;4;10;193;6
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;45;366;19;16;2;2;155;1;29;224;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;46;361;24;26;4;1;121;4;10;190;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;47;373;24;25;3;0;137;4;13;206;7
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;48;386;32;21;3;0;132;4;10;202;5
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;49;370;20;27;3;3;137;5;26;221;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;50;297;18;22;1;4;104;1;29;179;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;51;395;26;20;6;2;93;2;21;170;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;52;358;33;20;3;2;99;0;21;178;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;6;;53;380;13;21;6;1;152;1;17;211;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;54;372;19;21;6;2;143;3;14;208;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;55;419;30;15;5;1;124;2;20;197;5
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;56;381;23;15;11;1;126;3;16;195;4
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;57;384;18;19;6;7;150;1;17;218;0
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;58;351;16;7;0;0;85;3;19;130;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;59;368;20;14;7;0;119;4;23;187;2
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;60;367;31;17;4;1;101;4;14;172;5
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;61;375;24;17;2;1;122;2;17;185;3
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;62;348;24;15;4;3;122;4;12;184;8
144;Arthabaska;2018-10-01;G;Victoriaville, v;7;;63;385;29;17;5;1;87;8;17;164;4
