Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dorval Fernand Q.S.;Goulet Nicole C.P.Q.;Perron Daniel P.Q.;Provençal Luc C.A.Q.-É.F.L.;Taschereau Myriam P.L.Q./Q.L.P.;Villeneuve Isabelle P.C.Q./C.P.Q.;B.V.;B.R.
806;Beauce-Nord;2018-10-01;G;Saint-Victor, m;1;;1;361;15;3;13;149;31;15;226;4
806;Beauce-Nord;2018-10-01;G;Saint-Victor, m;1;;2;366;10;3;6;190;31;7;247;2
806;Beauce-Nord;2018-10-01;G;Saint-Victor, m;1;;3;369;14;1;2;206;31;15;269;1
806;Beauce-Nord;2018-10-01;G;Saint-Victor, m;1;;4;367;10;0;9;197;19;6;241;10
806;Beauce-Nord;2018-10-01;G;Saint-Victor, m;1;;5;363;9;3;9;177;31;5;234;1
806;Beauce-Nord;2018-10-01;G;Saint-Alfred, m;1;;6;368;13;4;10;179;28;11;245;6
806;Beauce-Nord;2018-10-01;G;Beauceville, v;1;;7;392;7;2;2;86;14;8;119;1
806;Beauce-Nord;2018-10-01;G;Beauceville, v;1;;8;387;14;1;11;134;19;1;180;6
806;Beauce-Nord;2018-10-01;G;Beauceville, v;1;;9;386;7;1;7;149;11;6;181;2
806;Beauce-Nord;2018-10-01;G;Beauceville, v;1;;10;388;9;1;5;156;16;5;192;2
806;Beauce-Nord;2018-10-01;G;Beauceville, v;1;;11;377;7;2;3;136;15;8;171;0
806;Beauce-Nord;2018-10-01;G;Beauceville, v;1;;12;386;9;3;4;133;19;9;177;3
806;Beauce-Nord;2018-10-01;G;Beauceville, v;1;;13;385;7;2;5;171;28;6;219;1
806;Beauce-Nord;2018-10-01;G;Beauceville, v;2;;14;412;15;0;11;152;25;6;209;0
806;Beauce-Nord;2018-10-01;G;Beauceville, v;2;;15;424;18;0;4;169;22;9;222;5
806;Beauce-Nord;2018-10-01;G;Beauceville, v;2;;16;418;13;4;8;129;11;1;166;1
806;Beauce-Nord;2018-10-01;G;Beauceville, v;2;;17;385;19;2;9;164;15;5;214;2
806;Beauce-Nord;2018-10-01;G;Beauceville, v;2;;18;404;20;2;12;185;20;3;242;2
806;Beauce-Nord;2018-10-01;G;Saint-Odilon-de-Cranbourne, p;1;;19;365;13;1;10;152;39;6;221;4
806;Beauce-Nord;2018-10-01;G;Saint-Odilon-de-Cranbourne, p;1;;20;373;18;2;10;166;32;7;235;3
