Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Busque Paul P.L.Q./Q.L.P.;Grondin Guillaume P.Q.;Jovanovic Milan P.C.Q./C.P.Q.;Mercier Hans P51;Paquet Jean C.P.Q.;Poulin Cassandre P.V.Q./G.P.Q.;Poulin Samuel C.A.Q.-É.F.L.;Vincent Diane Q.S.;B.V.;B.R.
802;Beauce-Sud;2018-10-01;G;Saint-Zacharie, m;1;;1;341;34;8;6;5;1;6;133;14;207;9
802;Beauce-Sud;2018-10-01;G;Saint-Zacharie, m;1;;2;345;45;4;8;4;0;4;114;11;190;5
802;Beauce-Sud;2018-10-01;G;Saint-Zacharie, m;1;;3;328;39;9;6;5;3;1;115;15;193;4
802;Beauce-Sud;2018-10-01;G;Saint-Zacharie, m;1;;4;342;32;16;3;3;0;1;127;10;192;6
802;Beauce-Sud;2018-10-01;G;Sainte-Aurélie, m;1;;5;342;32;7;7;10;1;4;156;10;227;1
802;Beauce-Sud;2018-10-01;G;Sainte-Aurélie, m;1;;6;334;28;10;7;4;3;2;130;22;206;9
802;Beauce-Sud;2018-10-01;G;Saint-Prosper, m;1;;7;405;33;8;10;7;1;2;100;16;177;1
802;Beauce-Sud;2018-10-01;G;Saint-Prosper, m;1;;8;405;35;5;2;9;0;2;152;7;212;5
802;Beauce-Sud;2018-10-01;G;Saint-Prosper, m;1;;9;401;31;8;9;6;0;5;131;6;196;2
802;Beauce-Sud;2018-10-01;G;Saint-Prosper, m;1;;10;407;50;15;2;2;3;1;124;21;218;0
802;Beauce-Sud;2018-10-01;G;Saint-Prosper, m;1;;11;413;31;5;2;10;0;4;114;16;182;6
802;Beauce-Sud;2018-10-01;G;Saint-Prosper, m;1;;12;383;25;10;8;3;2;2;112;13;175;1
802;Beauce-Sud;2018-10-01;G;Saint-Prosper, m;1;;13;392;20;6;6;10;4;3;145;20;214;9
802;Beauce-Sud;2018-10-01;G;Saint-Benjamin, m;1;;14;391;38;16;8;8;2;3;115;17;207;0
802;Beauce-Sud;2018-10-01;G;Saint-Benjamin, m;1;;15;373;41;12;6;5;3;2;154;8;231;3
802;Beauce-Sud;2018-10-01;G;Saint-Simon-les-Mines, m;1;;16;222;38;7;2;5;0;3;76;3;134;4
802;Beauce-Sud;2018-10-01;G;Saint-Simon-les-Mines, m;1;;17;211;20;3;7;2;0;5;71;1;109;5
802;Beauce-Sud;2018-10-01;G;Notre-Dame-des-Pins, p;1;;18;408;43;18;4;1;1;9;150;15;241;1
802;Beauce-Sud;2018-10-01;G;Notre-Dame-des-Pins, p;1;;19;399;40;3;4;2;2;3;144;18;216;2
802;Beauce-Sud;2018-10-01;G;Notre-Dame-des-Pins, p;1;;20;407;25;8;4;8;5;8;175;17;250;4
802;Beauce-Sud;2018-10-01;G;Saint-Philibert, m;1;;21;281;35;9;5;4;2;2;109;13;179;2
802;Beauce-Sud;2018-10-01;G;Saint-Côme--Linière, m;1;;22;416;22;4;12;3;1;4;175;12;233;2
802;Beauce-Sud;2018-10-01;G;Saint-Côme--Linière, m;1;;23;402;46;10;4;5;0;5;172;11;253;3
802;Beauce-Sud;2018-10-01;G;Saint-Côme--Linière, m;1;;24;398;47;5;4;12;1;3;137;2;211;6
802;Beauce-Sud;2018-10-01;G;Saint-Côme--Linière, m;1;;25;397;33;6;4;9;1;6;176;13;248;3
802;Beauce-Sud;2018-10-01;G;Saint-Côme--Linière, m;1;;26;403;29;3;7;5;2;4;166;20;236;3
802;Beauce-Sud;2018-10-01;G;Saint-Côme--Linière, m;1;;27;414;49;4;10;0;3;3;153;7;229;3
802;Beauce-Sud;2018-10-01;G;Saint-René, p;1;;28;301;18;4;3;7;0;4;140;4;180;3
802;Beauce-Sud;2018-10-01;G;Saint-René, p;1;;29;293;32;9;5;4;2;5;108;9;174;6
802;Beauce-Sud;2018-10-01;G;Saint-Théophile, m;1;;30;295;32;10;5;3;1;3;112;5;171;0
802;Beauce-Sud;2018-10-01;G;Saint-Théophile, m;1;;31;283;59;8;10;2;1;0;122;5;207;1
802;Beauce-Sud;2018-10-01;G;Saint-Robert-Bellarmin, m;1;;32;239;23;6;2;6;3;1;101;2;144;0
802;Beauce-Sud;2018-10-01;G;Saint-Robert-Bellarmin, m;1;;33;225;28;7;2;7;1;3;80;8;136;0
802;Beauce-Sud;2018-10-01;G;Saint-Ludger, m;1;;34;292;41;9;2;3;1;4;107;14;181;0
802;Beauce-Sud;2018-10-01;G;Saint-Ludger, m;1;;35;290;23;8;2;2;1;1;121;11;169;0
802;Beauce-Sud;2018-10-01;G;Saint-Ludger, m;1;;36;284;32;14;4;2;0;0;116;9;177;2
802;Beauce-Sud;2018-10-01;G;Saint-Gédéon-de-Beauce, m;1;;37;330;29;14;6;1;1;1;98;13;163;3
802;Beauce-Sud;2018-10-01;G;Saint-Gédéon-de-Beauce, m;1;;38;341;17;11;4;6;5;3;114;7;167;3
802;Beauce-Sud;2018-10-01;G;Saint-Gédéon-de-Beauce, m;1;;39;342;29;2;3;1;0;2;113;5;155;3
802;Beauce-Sud;2018-10-01;G;Saint-Gédéon-de-Beauce, m;1;;40;350;38;3;1;1;2;2;130;10;187;0
802;Beauce-Sud;2018-10-01;G;Saint-Gédéon-de-Beauce, m;1;;41;341;21;13;4;5;0;0;142;3;188;1
802;Beauce-Sud;2018-10-01;G;Saint-Martin, p;1;;42;394;41;9;5;6;0;1;155;6;223;2
802;Beauce-Sud;2018-10-01;G;Saint-Martin, p;1;;43;382;47;3;4;6;2;2;163;14;241;10
802;Beauce-Sud;2018-10-01;G;Saint-Martin, p;1;;44;399;40;11;5;6;0;9;124;17;212;1
802;Beauce-Sud;2018-10-01;G;Saint-Martin, p;1;;45;368;36;8;0;3;2;6;137;12;204;4
802;Beauce-Sud;2018-10-01;G;Saint-Martin, p;1;;46;389;35;2;5;7;3;3;165;9;229;2
802;Beauce-Sud;2018-10-01;G;Saint-Honoré-de-Shenley, m;1;;47;393;59;10;1;6;3;2;153;8;242;0
802;Beauce-Sud;2018-10-01;G;Saint-Honoré-de-Shenley, m;1;;48;408;67;5;5;4;1;1;172;13;268;6
802;Beauce-Sud;2018-10-01;G;Saint-Honoré-de-Shenley, m;1;;49;401;53;9;14;7;1;5;154;6;249;2
802;Beauce-Sud;2018-10-01;G;Saint-Hilaire-de-Dorset, p;1;;50;77;24;1;0;2;0;2;29;6;64;3
802;Beauce-Sud;2018-10-01;G;Courcelles, m;1;;51;339;39;12;5;6;2;1;122;19;206;4
802;Beauce-Sud;2018-10-01;G;Courcelles, m;1;;52;325;64;2;2;2;1;6;121;9;207;3
802;Beauce-Sud;2018-10-01;G;Saint-Évariste-de-Forsyth, m;1;;53;207;19;4;2;3;1;2;63;4;98;2
802;Beauce-Sud;2018-10-01;G;Saint-Évariste-de-Forsyth, m;1;;54;212;18;6;5;1;1;0;82;2;115;0
802;Beauce-Sud;2018-10-01;G;La Guadeloupe, vl;1;;55;329;31;2;3;0;0;1;125;2;164;5
802;Beauce-Sud;2018-10-01;G;La Guadeloupe, vl;1;;56;320;28;6;2;4;4;3;105;10;162;2
802;Beauce-Sud;2018-10-01;G;La Guadeloupe, vl;1;;57;332;23;7;5;0;0;3;113;6;157;3
802;Beauce-Sud;2018-10-01;G;La Guadeloupe, vl;1;;58;349;32;10;6;1;0;2;97;5;153;2
802;Beauce-Sud;2018-10-01;G;Saint-Éphrem-de-Beauce, m;1;;59;376;63;16;5;2;0;1;145;5;237;0
802;Beauce-Sud;2018-10-01;G;Saint-Éphrem-de-Beauce, m;1;;60;370;44;8;5;6;0;4;146;15;228;3
802;Beauce-Sud;2018-10-01;G;Saint-Éphrem-de-Beauce, m;1;;61;378;61;13;6;5;1;3;115;7;211;1
802;Beauce-Sud;2018-10-01;G;Saint-Éphrem-de-Beauce, m;1;;62;372;59;10;7;1;1;6;168;8;260;1
802;Beauce-Sud;2018-10-01;G;Saint-Éphrem-de-Beauce, m;1;;63;372;47;13;8;1;0;2;144;11;226;0
802;Beauce-Sud;2018-10-01;G;Sainte-Clotilde-de-Beauce, m;1;;64;210;43;7;5;8;1;0;62;2;128;2
802;Beauce-Sud;2018-10-01;G;Sainte-Clotilde-de-Beauce, m;1;;65;218;31;8;5;2;0;0;82;7;135;5
802;Beauce-Sud;2018-10-01;G;Lac-Poulin, vl;1;;66;125;31;0;0;1;0;2;35;3;72;0
802;Beauce-Sud;2018-10-01;G;Saint-Benoît-Labre, m;1;;67;408;72;8;6;2;0;4;154;11;257;1
802;Beauce-Sud;2018-10-01;G;Saint-Benoît-Labre, m;1;;68;411;59;11;4;1;1;2;168;12;258;6
802;Beauce-Sud;2018-10-01;G;Saint-Benoît-Labre, m;1;;69;421;61;9;8;6;0;3;176;18;281;9
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;70;373;48;4;9;5;4;5;154;7;236;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;71;377;25;3;8;10;0;5;158;16;225;3
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;72;373;28;7;9;3;0;1;132;17;197;5
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;73;362;28;8;2;6;0;3;102;8;157;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;74;396;45;8;5;4;1;4;121;14;202;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;75;392;31;13;8;7;0;6;132;8;205;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;76;362;32;7;4;9;0;1;99;11;163;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;77;391;24;7;4;2;0;2;108;10;157;0
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;78;377;29;9;3;6;0;1;127;10;185;0
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;79;363;45;12;5;9;0;1;108;11;191;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;1;;80;369;25;3;3;4;1;2;78;10;126;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;81;378;21;6;1;4;2;1;79;11;125;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;82;358;37;9;3;1;0;3;87;10;150;3
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;83;390;18;9;4;4;2;3;75;12;127;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;84;371;51;8;5;5;0;4;106;12;191;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;85;371;32;14;2;4;1;3;137;14;207;1
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;86;375;38;17;5;0;2;0;100;6;168;3
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;87;367;43;7;8;6;3;4;105;13;189;3
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;88;383;40;10;5;5;0;2;151;13;226;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;89;374;23;11;2;2;0;2;137;6;183;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;90;375;45;9;1;3;0;3;106;9;176;2
802;Beauce-Sud;2018-10-01;G;Saint-Georges, v;2;;91;372;34;6;3;2;0;4;115;21;185;2
