Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Yannick P.C.Q./C.P.Q.;Mantion François N.P.D.Q.;Mathieu Tommy C.P.Q.;Reid Claude C.A.Q.-É.F.L.;Rhéaume Félix P.L.Q./Q.L.P.;St-Onge Pierre-Paul Q.S.;Théorêt Mireille P.Q.;B.V.;B.R.
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;1;383;2;2;5;69;18;30;52;178;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;2;379;2;3;5;75;17;30;41;173;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;3;358;1;1;1;101;17;21;46;188;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;4;375;2;3;3;122;18;49;35;232;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;5;380;0;3;3;113;13;37;64;233;2
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;6;398;0;2;4;113;20;28;51;218;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;7;378;0;4;1;106;21;26;46;204;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;8;395;2;1;5;94;16;34;48;200;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;9;375;2;4;0;82;20;26;37;171;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;10;358;0;2;1;75;15;25;42;160;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;1;;11;365;0;3;0;115;20;34;33;205;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;2;;12;392;0;5;2;103;17;30;54;211;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;2;;13;398;1;3;1;106;24;30;32;197;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;2;;14;385;0;2;1;88;21;26;31;169;10
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;2;;15;384;3;6;1;75;18;23;39;165;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;2;;16;387;2;1;2;65;20;25;30;145;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;3;;17;379;1;2;2;87;13;39;30;174;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;3;;18;388;0;9;4;69;8;22;40;152;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;3;;19;358;1;4;1;77;21;25;35;164;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;4;;20;341;0;1;3;66;27;21;34;152;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;4;;21;345;0;1;0;66;17;16;36;136;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;4;;22;349;3;4;0;68;39;13;24;151;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;4;;23;335;2;0;2;69;19;30;21;143;2
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;4;;24;333;1;2;5;46;7;27;33;121;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;5;;25;344;1;6;0;50;9;15;13;94;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;5;;26;345;0;6;2;46;22;10;16;102;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;5;;27;339;2;3;1;43;12;16;26;103;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;5;;28;335;0;7;0;56;7;17;16;103;3
