Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Béchard Benoît P.Q.;Comeau Benoit Q.S.;Guay Simon B.P.;Lachance Stéphanie C.A.Q.-É.F.L.;Messner Dominique P.C.Q./C.P.Q.;Roy Sébastien A.P.Q.;Vien Dominique P.L.Q./Q.L.P.;B.V.;B.R.
822;Bellechasse;2018-10-01;G;Saint-Louis-de-Gonzague, m;1;;1;303;5;5;5;76;4;0;55;150;7
822;Bellechasse;2018-10-01;G;Saint-Cyprien, p;1;;2;417;10;14;2;131;7;0;80;244;3
822;Bellechasse;2018-10-01;G;Saint-Camille-de-Lellis, p;1;;3;331;10;10;1;86;4;3;67;181;0
822;Bellechasse;2018-10-01;G;Saint-Camille-de-Lellis, p;1;;4;328;14;8;1;97;5;0;64;189;1
822;Bellechasse;2018-10-01;G;Sainte-Justine, m;1;;5;343;8;12;0;120;9;0;61;210;4
822;Bellechasse;2018-10-01;G;Sainte-Justine, m;1;;6;365;11;5;0;104;6;1;44;171;9
822;Bellechasse;2018-10-01;G;Sainte-Justine, m;1;;7;350;7;2;0;115;1;0;41;166;1
822;Bellechasse;2018-10-01;G;Sainte-Justine, m;1;;8;347;13;10;1;103;7;0;53;187;2
822;Bellechasse;2018-10-01;G;Sainte-Rose-de-Watford, m;1;;9;287;4;15;1;102;7;2;41;172;4
822;Bellechasse;2018-10-01;G;Sainte-Rose-de-Watford, m;1;;10;317;15;8;2;81;11;0;42;159;1
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;11;390;18;7;2;77;18;0;47;169;3
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;12;380;4;4;1;92;11;0;43;155;4
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;13;389;13;6;1;97;6;0;47;170;0
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;14;376;17;11;1;75;4;1;42;151;3
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;15;361;9;14;0;97;4;1;41;166;8
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;16;378;3;6;0;69;8;0;56;142;2
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;17;372;9;11;0;117;4;0;49;190;3
822;Bellechasse;2018-10-01;G;Lac-Etchemin, m;1;;18;375;21;7;0;82;6;0;50;166;3
822;Bellechasse;2018-10-01;G;Saint-Luc-de-Bellechasse, m;1;;19;368;13;17;0;113;4;0;59;206;4
822;Bellechasse;2018-10-01;G;Sainte-Sabine, p;1;;20;323;17;22;2;108;7;1;63;220;3
822;Bellechasse;2018-10-01;G;Saint-Magloire, m;1;;21;264;8;5;5;86;7;0;61;172;0
822;Bellechasse;2018-10-01;G;Saint-Magloire, m;1;;22;288;3;8;0;70;4;1;61;147;0
822;Bellechasse;2018-10-01;G;Saint-Philémon, p;1;;23;304;4;6;1;101;4;1;62;179;2
822;Bellechasse;2018-10-01;G;Saint-Philémon, p;1;;24;291;5;12;0;88;7;0;54;166;1
822;Bellechasse;2018-10-01;G;Notre-Dame-Auxiliatrice-de-Buckland, p;1;;25;332;8;15;3;87;6;2;91;212;2
822;Bellechasse;2018-10-01;G;Notre-Dame-Auxiliatrice-de-Buckland, p;1;;26;336;10;10;3;95;4;0;74;196;2
822;Bellechasse;2018-10-01;G;Saint-Nazaire-de-Dorchester, p;1;;27;294;22;14;0;117;5;1;52;211;2
822;Bellechasse;2018-10-01;G;Saint-Léon-de-Standon, p;1;;28;308;7;10;0;105;9;0;47;178;3
822;Bellechasse;2018-10-01;G;Saint-Léon-de-Standon, p;1;;29;296;13;20;1;63;9;2;64;172;3
822;Bellechasse;2018-10-01;G;Saint-Léon-de-Standon, p;1;;30;312;20;14;1;82;4;0;59;180;2
822;Bellechasse;2018-10-01;G;Saint-Malachie, p;1;;31;393;24;24;3;99;9;1;74;234;6
