Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudry Louise Q.S.;Bourdon Rémi C.P.Q.;Magnan Robert P.L.Q./Q.L.P.;Proulx Caroline C.A.Q.-É.F.L.;St-Jean Jérôme P.V.Q./G.P.Q.;Villeneuve André P.Q.;B.V.;B.R.
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;1;356;37;3;13;85;1;67;206;11
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;2;359;38;1;12;88;4;41;184;10
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;3;357;20;2;29;88;5;42;186;2
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;4;348;22;3;6;104;2;49;186;4
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;5;410;34;4;7;87;4;43;179;2
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;6;413;28;0;9;98;5;59;199;5
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;7;391;22;2;12;112;2;64;214;2
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;8;412;26;3;5;104;7;53;198;3
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;9;414;22;2;3;80;3;53;163;2
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;10;416;29;3;6;103;3;54;198;7
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;11;389;24;1;5;110;4;59;203;2
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;12;390;41;4;8;94;3;45;195;2
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;13;413;23;3;8;97;2;35;168;1
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;14;421;37;4;8;80;2;29;160;6
566;Berthier;2018-10-01;G;Lavaltrie, v;1;;15;404;31;2;10;85;2;48;178;3
566;Berthier;2018-10-01;G;Lavaltrie, v;2;;16;375;27;1;9;77;3;39;156;5
566;Berthier;2018-10-01;G;Lavaltrie, v;2;;17;371;31;3;5;67;2;70;178;3
566;Berthier;2018-10-01;G;Lavaltrie, v;2;;18;380;44;5;8;86;2;52;197;0
566;Berthier;2018-10-01;G;Lavaltrie, v;2;;19;367;20;7;10;99;4;70;210;0
566;Berthier;2018-10-01;G;Lavaltrie, v;2;;20;361;21;1;7;89;2;67;187;5
566;Berthier;2018-10-01;G;Lavaltrie, v;2;;21;375;24;3;8;61;3;48;147;3
566;Berthier;2018-10-01;G;Lavaltrie, v;3;;22;352;20;0;9;61;6;51;147;2
566;Berthier;2018-10-01;G;Lavaltrie, v;3;;23;360;31;4;12;80;5;42;174;7
566;Berthier;2018-10-01;G;Lavaltrie, v;3;;24;360;19;4;2;71;1;50;147;2
566;Berthier;2018-10-01;G;Lavaltrie, v;3;;25;355;29;0;2;91;4;51;177;2
566;Berthier;2018-10-01;G;Lavaltrie, v;3;;26;347;37;2;7;69;7;69;191;5
566;Berthier;2018-10-01;G;Lavaltrie, v;3;;27;343;35;2;4;77;0;53;171;7
566;Berthier;2018-10-01;G;Lavaltrie, v;3;;28;350;21;2;8;116;3;63;213;1
566;Berthier;2018-10-01;G;Lanoraie, m;1;;29;392;21;0;11;93;1;56;182;3
566;Berthier;2018-10-01;G;Lanoraie, m;1;;30;377;32;3;5;81;3;81;205;2
566;Berthier;2018-10-01;G;Lanoraie, m;1;;31;371;18;1;17;83;2;64;185;1
566;Berthier;2018-10-01;G;Lanoraie, m;1;;32;398;26;0;11;104;2;58;201;8
566;Berthier;2018-10-01;G;Lanoraie, m;1;;33;368;27;1;6;81;2;64;181;3
566;Berthier;2018-10-01;G;Lanoraie, m;1;;34;373;27;1;9;58;4;67;166;5
566;Berthier;2018-10-01;G;Lanoraie, m;1;;35;381;33;2;3;93;2;81;214;1
566;Berthier;2018-10-01;G;Lanoraie, m;1;;36;389;26;4;10;85;9;57;191;1
566;Berthier;2018-10-01;G;Lanoraie, m;1;;37;377;34;2;7;91;2;77;213;1
566;Berthier;2018-10-01;G;Lanoraie, m;1;;38;384;23;0;17;97;4;74;215;1
566;Berthier;2018-10-01;G;Sainte-Geneviève-de-Berthier, m;1;;39;378;19;1;21;108;4;53;206;1
566;Berthier;2018-10-01;G;Sainte-Geneviève-de-Berthier, m;1;;40;377;39;0;14;131;1;38;223;0
566;Berthier;2018-10-01;G;Sainte-Geneviève-de-Berthier, m;1;;41;364;28;0;11;82;4;63;188;4
566;Berthier;2018-10-01;G;Sainte-Geneviève-de-Berthier, m;1;;42;380;44;2;23;101;4;52;226;3
566;Berthier;2018-10-01;G;Sainte-Geneviève-de-Berthier, m;1;;43;369;32;3;16;83;5;46;185;10
566;Berthier;2018-10-01;G;Berthierville, v;1;;44;403;42;1;11;99;2;59;214;2
566;Berthier;2018-10-01;G;Berthierville, v;1;;45;412;27;2;20;53;6;40;148;7
566;Berthier;2018-10-01;G;Berthierville, v;1;;46;418;40;4;20;114;9;48;235;2
566;Berthier;2018-10-01;G;Berthierville, v;1;;47;397;29;2;28;118;3;33;213;2
566;Berthier;2018-10-01;G;Berthierville, v;2;;48;344;29;2;13;91;3;44;182;3
566;Berthier;2018-10-01;G;Berthierville, v;2;;49;345;27;4;9;52;5;29;126;3
566;Berthier;2018-10-01;G;Berthierville, v;2;;50;349;24;2;4;53;4;31;118;1
566;Berthier;2018-10-01;G;Berthierville, v;2;;51;355;20;3;7;56;2;29;117;5
566;Berthier;2018-10-01;G;Berthierville, v;2;;52;340;10;2;3;76;7;31;129;3
566;Berthier;2018-10-01;G;La Visitation-de-l'Île-Dupas, m;1;;53;276;28;2;13;54;0;59;156;3
566;Berthier;2018-10-01;G;La Visitation-de-l'Île-Dupas, m;1;;54;268;25;1;6;81;5;53;171;1
566;Berthier;2018-10-01;G;Saint-Ignace-de-Loyola, m;1;;55;334;37;2;17;87;7;76;226;2
566;Berthier;2018-10-01;G;Saint-Ignace-de-Loyola, m;1;;56;346;27;1;13;107;4;64;216;1
566;Berthier;2018-10-01;G;Saint-Ignace-de-Loyola, m;1;;57;344;29;2;16;101;3;66;217;5
566;Berthier;2018-10-01;G;Saint-Ignace-de-Loyola, m;1;;58;324;20;0;22;93;2;62;199;1
566;Berthier;2018-10-01;G;Saint-Ignace-de-Loyola, m;1;;59;323;26;1;18;65;3;68;181;4
566;Berthier;2018-10-01;G;Saint-Barthélemy, p;1;;60;405;32;9;21;121;1;66;250;6
566;Berthier;2018-10-01;G;Saint-Barthélemy, p;1;;61;389;26;1;15;109;2;70;223;6
566;Berthier;2018-10-01;G;Saint-Barthélemy, p;1;;62;416;43;5;16;110;11;63;248;6
566;Berthier;2018-10-01;G;Saint-Barthélemy, p;1;;63;408;41;4;9;100;4;48;206;4
566;Berthier;2018-10-01;G;Saint-Cuthbert, m;1;;64;367;29;1;18;71;7;68;194;3
566;Berthier;2018-10-01;G;Saint-Cuthbert, m;1;;65;374;28;2;10;77;5;48;170;1
566;Berthier;2018-10-01;G;Saint-Cuthbert, m;1;;66;361;31;0;4;81;4;62;182;3
566;Berthier;2018-10-01;G;Saint-Cuthbert, m;1;;67;367;24;4;18;80;6;58;190;4
