Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarie Natacha P.V.Q./G.P.Q.;de Passillé Diane P.L.Q./Q.L.P.;Girault Nadine C.A.Q.-É.F.L.;Jaccoud Mylène Q.S.;Laframboise Kathy P.C.Q./C.P.Q.;Lafrenière Gilbert P.Q.;Martin Benoit P.L.;Pigeon Benoît C.P.Q.;B.V.;B.R.
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;1;391;2;24;79;25;2;38;0;1;171;2
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;2;379;1;27;75;19;2;38;0;0;162;3
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;3;393;1;20;82;23;1;39;0;0;166;1
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;4;376;4;13;79;18;4;30;0;1;149;4
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;5;386;5;14;97;38;3;22;1;0;180;2
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;6;383;5;16;69;31;2;31;3;0;157;2
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;7;390;1;19;83;20;1;28;0;2;154;1
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;8;385;0;19;81;17;0;45;0;2;164;3
588;Bertrand;2018-10-01;G;Saint-Donat, m;1;;9;393;5;29;78;25;1;38;0;2;178;0
588;Bertrand;2018-10-01;G;Notre-Dame-de-la-Merci, m;1;;10;405;1;27;100;29;0;56;0;0;213;3
588;Bertrand;2018-10-01;G;Notre-Dame-de-la-Merci, m;1;;11;415;0;14;119;35;2;60;2;3;235;5
588;Bertrand;2018-10-01;G;Chertsey, m;1;;12;399;1;16;84;17;2;45;4;1;170;6
588;Bertrand;2018-10-01;G;Chertsey, m;1;;13;417;5;11;83;48;1;41;0;1;190;7
588;Bertrand;2018-10-01;G;Chertsey, m;1;;14;404;4;11;68;23;3;27;0;0;136;3
588;Bertrand;2018-10-01;G;Chertsey, m;1;;15;406;1;10;69;15;4;43;1;6;149;1
588;Bertrand;2018-10-01;G;Chertsey, m;1;;16;381;4;8;68;28;1;40;1;3;153;6
588;Bertrand;2018-10-01;G;Chertsey, m;1;;17;398;2;11;81;30;4;39;0;0;167;3
588;Bertrand;2018-10-01;G;Chertsey, m;1;;18;407;1;12;87;28;0;37;0;2;167;7
588;Bertrand;2018-10-01;G;Chertsey, m;1;;19;397;7;17;81;20;2;38;0;3;168;7
588;Bertrand;2018-10-01;G;Chertsey, m;1;;20;412;6;13;92;21;3;33;1;1;170;9
588;Bertrand;2018-10-01;G;Chertsey, m;1;;21;415;6;17;85;18;1;22;1;2;152;7
588;Bertrand;2018-10-01;G;Rawdon, m;1;;22;394;4;22;77;30;2;46;1;2;184;4
588;Bertrand;2018-10-01;G;Rawdon, m;1;;23;394;3;13;86;24;2;33;0;0;161;11
588;Bertrand;2018-10-01;G;Rawdon, m;1;;24;387;1;10;78;20;1;26;1;3;140;7
588;Bertrand;2018-10-01;G;Rawdon, m;1;;25;401;2;14;83;25;2;38;1;0;165;4
588;Bertrand;2018-10-01;G;Rawdon, m;1;;26;377;1;17;58;19;1;32;0;0;128;3
588;Bertrand;2018-10-01;G;Rawdon, m;1;;27;381;0;15;63;18;1;28;0;1;126;1
588;Bertrand;2018-10-01;G;Rawdon, m;1;;28;406;4;12;69;31;0;30;0;0;146;4
