Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bastien Jean C.P.Q.;Carvalho Lucia P.L.Q./Q.L.P.;Fortier Valérie P.V.Q./G.P.Q.;Gervais Thierry N.P.D.Q.;Gousse Gabriel P.Q.;Laframboise Mario C.A.Q.-É.F.L.;Lepage William Q.S.;B.V.;B.R.
536;Blainville;2018-10-01;G;Blainville, v;1;;1;383;4;26;6;3;25;104;38;206;6
536;Blainville;2018-10-01;G;Blainville, v;1;;2;419;4;37;3;1;41;106;39;231;2
536;Blainville;2018-10-01;G;Blainville, v;1;;3;381;3;28;9;2;37;92;38;209;0
536;Blainville;2018-10-01;G;Blainville, v;1;;4;388;1;19;7;1;25;114;45;212;10
536;Blainville;2018-10-01;G;Blainville, v;1;;5;397;1;23;10;2;26;108;32;202;3
536;Blainville;2018-10-01;G;Blainville, v;1;;6;392;5;28;9;1;29;115;26;213;6
536;Blainville;2018-10-01;G;Blainville, v;1;;7;405;5;21;3;4;24;82;35;174;3
536;Blainville;2018-10-01;G;Blainville, v;1;;8;397;2;33;15;5;43;107;50;255;4
536;Blainville;2018-10-01;G;Blainville, v;1;;9;393;1;23;6;3;37;126;48;244;6
536;Blainville;2018-10-01;G;Blainville, v;1;;10;394;0;34;6;20;29;119;38;246;5
536;Blainville;2018-10-01;G;Blainville, v;1;;11;402;1;41;3;2;39;141;36;263;7
536;Blainville;2018-10-01;G;Blainville, v;1;;12;396;0;32;9;0;30;134;46;251;6
536;Blainville;2018-10-01;G;Blainville, v;1;;13A;233;0;22;6;0;26;55;21;130;3
536;Blainville;2018-10-01;G;Blainville, v;1;;13B;200;1;13;9;3;35;42;20;123;2
536;Blainville;2018-10-01;G;Blainville, v;2;;14;342;2;25;5;2;33;94;50;211;2
536;Blainville;2018-10-01;G;Blainville, v;2;;15;340;1;29;6;3;30;94;49;212;5
536;Blainville;2018-10-01;G;Blainville, v;2;;16;355;0;18;1;1;37;82;49;188;6
536;Blainville;2018-10-01;G;Blainville, v;2;;17;361;0;32;11;1;21;112;44;221;6
536;Blainville;2018-10-01;G;Blainville, v;3;;18;383;2;37;6;0;28;103;27;203;2
536;Blainville;2018-10-01;G;Blainville, v;3;;19A;208;2;19;6;0;11;36;19;93;1
536;Blainville;2018-10-01;G;Blainville, v;3;;19B;242;1;23;3;0;20;66;24;137;1
536;Blainville;2018-10-01;G;Blainville, v;3;;20;361;0;28;4;3;43;102;34;214;3
536;Blainville;2018-10-01;G;Blainville, v;3;;21;370;2;47;4;1;23;91;28;196;3
536;Blainville;2018-10-01;G;Blainville, v;3;;22;380;0;32;6;0;36;105;37;216;7
536;Blainville;2018-10-01;G;Blainville, v;3;;23;351;3;29;3;0;21;69;25;150;0
536;Blainville;2018-10-01;G;Blainville, v;3;;24;362;2;30;4;2;15;83;27;163;3
536;Blainville;2018-10-01;G;Blainville, v;3;;25;373;3;20;2;3;21;97;51;197;3
536;Blainville;2018-10-01;G;Blainville, v;4;;26;365;3;22;2;2;32;102;37;200;4
536;Blainville;2018-10-01;G;Blainville, v;4;;27;370;0;32;8;0;19;75;33;167;3
536;Blainville;2018-10-01;G;Blainville, v;4;;28;366;0;25;3;3;34;91;28;184;1
536;Blainville;2018-10-01;G;Blainville, v;4;;29;352;5;32;12;0;30;64;31;174;5
536;Blainville;2018-10-01;G;Blainville, v;4;;30;354;0;19;7;1;25;105;31;188;6
536;Blainville;2018-10-01;G;Blainville, v;4;;31;362;2;31;7;0;32;87;28;187;8
536;Blainville;2018-10-01;G;Blainville, v;4;;32;359;0;36;1;1;26;101;41;206;6
536;Blainville;2018-10-01;G;Blainville, v;5;;33;394;2;36;2;0;22;140;28;230;2
536;Blainville;2018-10-01;G;Blainville, v;5;;34;371;3;25;8;1;33;100;25;195;3
536;Blainville;2018-10-01;G;Blainville, v;5;;35;380;2;20;4;3;40;98;42;209;6
536;Blainville;2018-10-01;G;Blainville, v;5;;36;369;1;25;8;1;33;122;25;215;2
536;Blainville;2018-10-01;G;Blainville, v;5;;37;370;0;24;5;2;42;131;42;246;2
536;Blainville;2018-10-01;G;Blainville, v;5;;38;376;1;25;7;0;36;115;54;238;2
536;Blainville;2018-10-01;G;Blainville, v;5;;39;376;2;13;5;3;32;114;25;194;0
536;Blainville;2018-10-01;G;Blainville, v;5;;40;382;2;43;7;1;30;87;33;203;5
536;Blainville;2018-10-01;G;Blainville, v;5;;41;362;4;45;5;1;27;89;44;215;6
536;Blainville;2018-10-01;G;Blainville, v;5;;42;375;0;39;9;3;30;115;41;237;5
536;Blainville;2018-10-01;G;Blainville, v;6;;43;407;0;38;6;1;38;139;46;268;4
536;Blainville;2018-10-01;G;Blainville, v;6;;44;399;0;60;3;0;29;119;35;246;1
536;Blainville;2018-10-01;G;Blainville, v;6;;45;387;1;50;6;2;29;124;25;237;2
536;Blainville;2018-10-01;G;Blainville, v;6;;46;397;1;62;2;0;31;144;19;259;5
536;Blainville;2018-10-01;G;Blainville, v;6;;47;398;2;46;4;1;20;151;28;252;4
536;Blainville;2018-10-01;G;Blainville, v;6;;48;394;1;36;7;0;30;115;37;226;9
536;Blainville;2018-10-01;G;Blainville, v;6;;49;402;1;40;6;2;28;109;51;237;3
536;Blainville;2018-10-01;G;Blainville, v;6;;50;399;1;51;5;0;34;98;30;219;7
536;Blainville;2018-10-01;G;Blainville, v;6;;51;390;0;53;11;3;35;95;27;224;4
536;Blainville;2018-10-01;G;Blainville, v;6;;52;420;1;61;7;3;29;131;18;250;0
536;Blainville;2018-10-01;G;Blainville, v;6;;53;387;0;25;10;5;36;129;49;254;3
536;Blainville;2018-10-01;G;Blainville, v;6;;54;395;0;45;8;2;28;114;40;237;2
536;Blainville;2018-10-01;G;Blainville, v;6;;55;400;4;31;7;0;30;109;42;223;8
536;Blainville;2018-10-01;G;Blainville, v;6;;56;393;1;26;4;6;34;98;50;219;3
536;Blainville;2018-10-01;G;Blainville, v;6;;57;396;0;36;3;2;48;107;29;225;6
536;Blainville;2018-10-01;G;Blainville, v;6;;58;388;1;30;8;3;35;114;55;246;6
536;Blainville;2018-10-01;G;Blainville, v;6;;59;398;3;24;6;1;51;132;63;280;3
536;Blainville;2018-10-01;G;Blainville, v;6;;60;406;0;32;5;0;25;124;27;213;6
536;Blainville;2018-10-01;G;Blainville, v;6;;61A;246;1;23;1;1;5;57;6;94;3
536;Blainville;2018-10-01;G;Blainville, v;6;;61B;194;1;11;3;0;11;59;5;90;0
536;Blainville;2018-10-01;G;Blainville, v;6;;62;410;1;29;4;1;28;90;32;185;4
536;Blainville;2018-10-01;G;Blainville, v;6;;63;396;0;57;2;0;33;98;16;206;3
536;Blainville;2018-10-01;G;Blainville, v;6;;64;402;0;49;6;0;15;84;20;174;5
536;Blainville;2018-10-01;G;Blainville, v;7;;65;380;0;38;6;0;22;104;27;197;7
536;Blainville;2018-10-01;G;Blainville, v;7;;66;380;0;38;2;3;29;115;37;224;0
536;Blainville;2018-10-01;G;Blainville, v;7;;67;382;1;25;2;0;33;105;32;198;2
536;Blainville;2018-10-01;G;Blainville, v;7;;68;401;3;25;5;4;32;96;30;195;11
536;Blainville;2018-10-01;G;Blainville, v;7;;69;378;0;46;6;1;25;106;44;228;7
536;Blainville;2018-10-01;G;Blainville, v;7;;70;404;2;67;1;0;23;109;24;226;2
536;Blainville;2018-10-01;G;Blainville, v;7;;71A;233;1;41;3;1;28;55;9;138;0
536;Blainville;2018-10-01;G;Blainville, v;7;;71B;194;1;21;2;1;16;65;18;124;0
536;Blainville;2018-10-01;G;Blainville, v;7;;72;391;2;63;5;0;41;117;19;247;4
536;Blainville;2018-10-01;G;Blainville, v;7;;73;370;1;82;6;1;19;102;19;230;3
536;Blainville;2018-10-01;G;Blainville, v;7;;74;382;2;67;4;1;19;119;15;227;6
536;Blainville;2018-10-01;G;Blainville, v;7;;75;381;1;92;3;2;20;105;16;239;1
536;Blainville;2018-10-01;G;Blainville, v;7;;76;379;2;71;4;1;22;117;19;236;1
536;Blainville;2018-10-01;G;Blainville, v;7;;77;388;1;92;2;0;18;108;8;229;4
536;Blainville;2018-10-01;G;Blainville, v;7;;78;375;0;95;3;0;12;89;13;212;1
536;Blainville;2018-10-01;G;Blainville, v;7;;79;380;1;80;7;1;19;115;21;244;0
536;Blainville;2018-10-01;G;Blainville, v;7;;80;378;0;56;3;0;31;121;14;225;1
536;Blainville;2018-10-01;G;Blainville, v;7;;81;384;1;61;4;1;22;119;27;235;4
536;Blainville;2018-10-01;G;Blainville, v;7;;82;384;0;79;4;0;24;100;21;228;2
536;Blainville;2018-10-01;G;Blainville, v;7;;83;385;2;58;7;1;22;113;30;233;3
536;Blainville;2018-10-01;G;Blainville, v;8;;84;394;0;62;3;0;17;121;20;223;5
536;Blainville;2018-10-01;G;Blainville, v;8;;85;385;2;39;3;1;23;133;30;231;7
536;Blainville;2018-10-01;G;Blainville, v;8;;86;354;1;17;7;2;27;88;37;179;5
536;Blainville;2018-10-01;G;Blainville, v;8;;87;376;2;21;6;3;33;118;29;212;10
536;Blainville;2018-10-01;G;Blainville, v;8;;88;354;3;28;7;0;34;72;46;190;4
536;Blainville;2018-10-01;G;Blainville, v;8;;89;371;0;23;8;1;38;134;36;240;5
536;Blainville;2018-10-01;G;Blainville, v;8;;90;373;2;24;9;2;27;107;51;222;1
536;Blainville;2018-10-01;G;Blainville, v;8;;91;378;0;47;8;2;27;112;45;241;1
536;Blainville;2018-10-01;G;Blainville, v;8;;92;379;0;43;4;2;28;112;33;222;4
536;Blainville;2018-10-01;G;Blainville, v;8;;93;381;1;57;5;3;16;82;22;186;9
536;Blainville;2018-10-01;G;Blainville, v;8;;94;374;0;46;11;1;25;112;28;223;6
536;Blainville;2018-10-01;G;Blainville, v;8;;95;363;0;55;9;2;20;112;16;214;2
536;Blainville;2018-10-01;G;Blainville, v;8;;96;367;0;66;6;2;9;124;8;215;2
536;Blainville;2018-10-01;G;Blainville, v;9;;97;391;3;36;5;1;30;122;21;218;1
536;Blainville;2018-10-01;G;Blainville, v;9;;98;378;1;42;7;2;28;98;31;209;4
536;Blainville;2018-10-01;G;Blainville, v;9;;99;408;4;27;3;3;39;108;37;221;7
536;Blainville;2018-10-01;G;Blainville, v;9;;100;402;3;26;4;0;34;103;50;220;8
536;Blainville;2018-10-01;G;Blainville, v;9;;101;393;2;17;5;4;33;104;37;202;2
536;Blainville;2018-10-01;G;Blainville, v;9;;102;406;3;40;4;2;14;106;37;206;4
536;Blainville;2018-10-01;G;Blainville, v;9;;103;384;1;36;6;3;25;75;30;176;3
536;Blainville;2018-10-01;G;Blainville, v;9;;104;397;3;32;15;1;24;108;31;214;4
536;Blainville;2018-10-01;G;Blainville, v;9;;105;404;8;18;6;4;29;107;45;217;6
536;Blainville;2018-10-01;G;Blainville, v;9;;106;404;2;33;6;0;37;72;53;203;4
