Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Daniel C.P.Q.;Cyr Wright Catherine Q.S.;Desaulniers Hélène C.A.Q.-É.F.L.;Gallant Guy Ind;Imhoff Heather P.V.Q./G.P.Q.;Roy Sylvain P.Q.;Whittom François P.L.Q./Q.L.P.;B.V.;B.R.
850;Bonaventure;2018-10-01;G;L'Ascension-de-Patapédia, m;1;;1;140;2;3;17;20;0;9;29;80;1
850;Bonaventure;2018-10-01;G;Saint-François-d'Assise, m;1;;2;270;6;13;37;29;0;35;24;144;0
850;Bonaventure;2018-10-01;G;Saint-François-d'Assise, m;1;;3;293;3;7;43;32;0;66;40;191;1
850;Bonaventure;2018-10-01;G;Saint-Alexis-de-Matapédia, m;1;;4;226;3;12;15;49;2;41;11;133;2
850;Bonaventure;2018-10-01;G;Saint-Alexis-de-Matapédia, m;1;;5;213;3;14;17;41;0;25;25;125;1
850;Bonaventure;2018-10-01;G;Matapédia, m;1;;6;275;6;15;16;17;1;37;47;139;1
850;Bonaventure;2018-10-01;G;Matapédia, m;1;;7;232;4;9;5;24;3;32;50;127;3
850;Bonaventure;2018-10-01;G;Saint-André-de-Restigouche, m;1;;8;138;0;15;11;7;1;29;12;75;0
850;Bonaventure;2018-10-01;G;Ristigouche-Partie-Sud-Est, ct;1;;9;143;1;11;2;4;12;10;18;58;0
850;Bonaventure;2018-10-01;G;Listuguj, r;1;;10;300;0;0;0;0;3;1;14;18;0
850;Bonaventure;2018-10-01;G;Listuguj, r;1;;11;300;0;2;0;0;0;0;17;19;0
850;Bonaventure;2018-10-01;G;Listuguj, r;1;;12;289;0;0;0;0;1;0;16;17;0
850;Bonaventure;2018-10-01;G;Listuguj, r;1;Regr. BVDS-1;13;383;0;0;0;0;0;0;0;0;0
850;Bonaventure;2018-10-01;G;Pointe-à-la-Croix, m;1;;14;375;6;10;20;9;4;48;34;131;6
850;Bonaventure;2018-10-01;G;Pointe-à-la-Croix, m;1;;15;392;6;15;27;2;1;77;32;160;3
850;Bonaventure;2018-10-01;G;Pointe-à-la-Croix, m;1;;16;390;7;23;21;15;4;80;27;177;2
850;Bonaventure;2018-10-01;G;Escuminac, m;1;;17;228;0;7;17;1;1;74;21;121;1
850;Bonaventure;2018-10-01;G;Escuminac, m;1;;18;263;5;20;10;2;1;44;29;111;0
850;Bonaventure;2018-10-01;G;Nouvelle, m;1;;19;359;6;24;16;5;1;116;24;192;2
850;Bonaventure;2018-10-01;G;Nouvelle, m;1;;20;383;6;23;26;4;2;88;49;198;1
850;Bonaventure;2018-10-01;G;Nouvelle, m;1;;21;357;3;21;27;4;1;86;30;172;2
850;Bonaventure;2018-10-01;G;Nouvelle, m;1;;22;353;2;25;29;2;2;119;23;202;2
850;Bonaventure;2018-10-01;G;Carleton-sur-Mer, v;1;;23;368;3;30;38;2;0;73;23;169;0
850;Bonaventure;2018-10-01;G;Carleton-sur-Mer, v;1;;24;356;2;28;40;5;0;90;26;191;1
850;Bonaventure;2018-10-01;G;Carleton-sur-Mer, v;1;;25;369;0;29;29;5;3;97;23;186;2
850;Bonaventure;2018-10-01;G;Carleton-sur-Mer, v;1;;26;371;1;36;34;5;1;57;20;154;2
850;Bonaventure;2018-10-01;G;Carleton-sur-Mer, v;1;;27;419;1;30;33;1;1;100;31;197;2
850;Bonaventure;2018-10-01;G;Carleton-sur-Mer, v;1;;28;357;0;26;25;6;2;76;20;155;0
850;Bonaventure;2018-10-01;G;Carleton-sur-Mer, v;1;;29;388;2;41;41;4;4;67;36;195;3
