Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Desharnais Annie Q.S.;E. Razz B.P.;G.-Ducharme Cédric P.Q.;Gravel Nicolas P.V.Q./G.P.Q.;Jolin-Barrette Simon C.A.Q.-É.F.L.;Lecompte André P.C.Q./C.P.Q.;Martin André N.P.D.Q.;Nichols Martin P.L.Q./Q.L.P.;Thévenot Stéphane C.P.Q.;B.V.;B.R.
258;Borduas;2018-10-01;G;Saint-Mathieu-de-Beloeil, m;1;;1;370;60;0;41;3;115;1;4;25;3;252;5
258;Borduas;2018-10-01;G;Saint-Mathieu-de-Beloeil, m;1;;2;370;20;2;43;2;126;0;1;28;12;234;3
258;Borduas;2018-10-01;G;Saint-Mathieu-de-Beloeil, m;1;;3;380;36;2;36;5;122;0;2;25;1;229;4
258;Borduas;2018-10-01;G;Saint-Mathieu-de-Beloeil, m;1;;4;419;25;0;40;4;110;2;2;39;1;223;6
258;Borduas;2018-10-01;G;Saint-Mathieu-de-Beloeil, m;1;;5;379;16;0;21;2;132;1;1;43;1;217;3
258;Borduas;2018-10-01;G;Saint-Mathieu-de-Beloeil, m;1;;6;378;31;2;30;3;144;0;1;20;1;232;3
258;Borduas;2018-10-01;G;Beloeil, v;1;;7;366;39;2;48;4;84;1;0;21;3;202;0
258;Borduas;2018-10-01;G;Beloeil, v;1;;8;361;27;0;51;1;117;3;0;14;0;213;4
258;Borduas;2018-10-01;G;Beloeil, v;1;;9;365;34;3;37;10;118;1;1;17;2;223;1
258;Borduas;2018-10-01;G;Beloeil, v;1;;10;354;28;0;41;6;110;3;0;26;1;215;2
258;Borduas;2018-10-01;G;Beloeil, v;1;;11;359;39;0;45;3;99;1;3;22;1;213;3
258;Borduas;2018-10-01;G;Beloeil, v;1;;12;356;30;0;53;0;114;0;1;30;0;228;3
258;Borduas;2018-10-01;G;Beloeil, v;1;;13;362;36;1;49;5;118;1;1;22;4;237;2
258;Borduas;2018-10-01;G;Beloeil, v;1;;14;358;38;1;44;6;94;1;1;9;0;194;3
258;Borduas;2018-10-01;G;Beloeil, v;2;;15;346;43;0;38;4;93;0;0;20;0;198;5
258;Borduas;2018-10-01;G;Beloeil, v;2;;16;341;38;0;50;7;82;3;1;16;0;197;2
258;Borduas;2018-10-01;G;Beloeil, v;2;;17;332;29;1;33;4;72;3;0;9;1;152;0
258;Borduas;2018-10-01;G;Beloeil, v;2;;18;326;39;1;33;1;83;0;0;19;0;176;1
258;Borduas;2018-10-01;G;Beloeil, v;2;;19;330;46;0;37;6;63;0;2;18;0;172;1
258;Borduas;2018-10-01;G;Beloeil, v;3;;20;352;25;0;41;3;57;1;1;16;0;144;4
258;Borduas;2018-10-01;G;Beloeil, v;3;;21;376;18;2;37;2;79;2;0;24;1;165;1
258;Borduas;2018-10-01;G;Beloeil, v;3;;22;346;36;2;26;1;55;0;1;5;1;127;1
258;Borduas;2018-10-01;G;Beloeil, v;3;;23;347;10;1;53;0;102;4;3;19;0;192;1
258;Borduas;2018-10-01;G;Beloeil, v;3;;24;354;29;0;51;3;91;1;2;19;0;196;3
258;Borduas;2018-10-01;G;Beloeil, v;3;;25;368;44;5;49;2;81;0;2;4;2;189;4
258;Borduas;2018-10-01;G;Beloeil, v;3;;26;368;28;0;58;7;91;5;1;21;0;211;3
258;Borduas;2018-10-01;G;Beloeil, v;4;;27;394;37;1;30;8;85;2;1;26;0;190;4
258;Borduas;2018-10-01;G;Beloeil, v;4;;28;387;42;0;39;6;77;3;1;17;2;187;2
258;Borduas;2018-10-01;G;Beloeil, v;4;;29;392;35;1;54;5;98;2;2;28;1;226;5
258;Borduas;2018-10-01;G;Beloeil, v;4;;30;386;44;0;36;3;90;0;3;22;1;199;5
258;Borduas;2018-10-01;G;Beloeil, v;4;;31;384;44;3;48;4;121;1;1;15;0;237;1
258;Borduas;2018-10-01;G;Beloeil, v;5;;32;391;35;0;54;3;115;0;0;23;5;235;6
258;Borduas;2018-10-01;G;Beloeil, v;5;;33;395;33;0;44;1;118;1;1;18;0;216;0
258;Borduas;2018-10-01;G;Beloeil, v;5;;34;399;53;2;42;1;90;2;5;17;2;214;8
258;Borduas;2018-10-01;G;Beloeil, v;5;;35;404;40;1;40;6;90;1;4;21;2;205;4
258;Borduas;2018-10-01;G;Beloeil, v;5;;36;392;32;0;46;9;131;1;3;26;0;248;2
258;Borduas;2018-10-01;G;Beloeil, v;5;;37;398;38;1;71;1;114;3;0;20;0;248;7
258;Borduas;2018-10-01;G;Beloeil, v;5;;38;390;25;0;58;2;114;1;1;17;0;218;6
258;Borduas;2018-10-01;G;Beloeil, v;5;;39;388;40;0;52;1;125;3;0;19;0;240;3
258;Borduas;2018-10-01;G;Beloeil, v;6;;40;413;35;0;59;3;133;2;0;24;2;258;4
258;Borduas;2018-10-01;G;Beloeil, v;6;;41A;213;12;0;34;3;90;0;0;11;0;150;3
258;Borduas;2018-10-01;G;Beloeil, v;6;;41B;224;12;0;15;2;101;0;1;15;0;146;2
258;Borduas;2018-10-01;G;Beloeil, v;6;;42;333;25;1;40;5;125;2;0;21;0;219;3
258;Borduas;2018-10-01;G;Beloeil, v;6;;43A;236;23;0;23;0;71;0;0;22;0;139;2
258;Borduas;2018-10-01;G;Beloeil, v;6;;43B;238;23;1;39;3;67;0;0;10;0;143;0
258;Borduas;2018-10-01;G;Beloeil, v;6;;44;374;46;1;52;2;104;1;2;14;0;222;5
258;Borduas;2018-10-01;G;Beloeil, v;6;;45;375;33;1;52;1;137;2;1;13;1;241;3
258;Borduas;2018-10-01;G;Beloeil, v;6;;46;396;53;2;39;2;117;3;0;17;0;233;6
258;Borduas;2018-10-01;G;Beloeil, v;6;;47;409;34;0;55;5;123;2;0;26;0;245;1
258;Borduas;2018-10-01;G;Beloeil, v;6;;48;386;26;1;44;5;156;2;1;29;1;265;4
258;Borduas;2018-10-01;G;Beloeil, v;6;;49;371;34;2;66;5;103;1;2;27;1;241;3
258;Borduas;2018-10-01;G;Beloeil, v;6;;50;367;38;1;42;1;94;1;1;24;0;202;3
258;Borduas;2018-10-01;G;Beloeil, v;6;;51;337;41;0;33;4;118;2;1;26;0;225;3
258;Borduas;2018-10-01;G;Beloeil, v;6;;52A;230;28;1;37;2;50;1;0;8;0;127;4
258;Borduas;2018-10-01;G;Beloeil, v;6;;52B;202;16;0;25;2;45;1;0;16;0;105;1
258;Borduas;2018-10-01;G;McMasterville, m;1;;53;371;52;0;48;3;93;1;1;21;1;220;5
258;Borduas;2018-10-01;G;McMasterville, m;1;;54;382;36;0;52;9;115;3;0;10;4;229;7
258;Borduas;2018-10-01;G;McMasterville, m;1;;55;372;43;0;46;1;110;1;2;14;1;218;9
258;Borduas;2018-10-01;G;McMasterville, m;1;;56;368;52;4;60;8;101;1;0;21;3;250;0
258;Borduas;2018-10-01;G;McMasterville, m;1;;57;361;32;0;41;1;94;2;0;28;1;199;5
258;Borduas;2018-10-01;G;McMasterville, m;1;;58;375;57;0;35;4;112;2;0;20;1;231;3
258;Borduas;2018-10-01;G;McMasterville, m;1;;59;371;30;0;49;3;116;0;3;32;2;235;4
258;Borduas;2018-10-01;G;McMasterville, m;1;;60;375;42;1;42;10;117;2;1;19;0;234;7
258;Borduas;2018-10-01;G;McMasterville, m;1;;61;351;52;0;39;7;78;2;2;16;1;197;7
258;Borduas;2018-10-01;G;McMasterville, m;1;;62;405;50;3;32;4;82;1;0;18;2;192;4
258;Borduas;2018-10-01;G;McMasterville, m;1;;63;378;41;1;46;3;89;1;2;26;1;210;2
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;64;370;49;1;50;11;80;0;1;31;1;224;4
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;65;377;38;2;43;3;114;2;2;21;2;227;2
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;66;384;36;0;51;10;111;3;3;27;0;241;4
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;67;383;37;1;50;2;106;1;0;21;0;218;3
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;68;371;28;4;50;6;107;1;1;32;0;229;4
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;69;380;39;0;46;6;118;1;0;24;0;234;2
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;70;375;43;0;38;4;100;0;0;45;1;231;3
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;71;364;56;1;62;10;82;3;0;13;0;227;1
258;Borduas;2018-10-01;G;Otterburn Park, v;1;;72;375;37;0;53;4;87;3;1;28;2;215;2
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;73;387;35;0;58;8;117;0;0;40;0;258;2
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;74;372;66;2;62;4;74;1;1;27;1;238;1
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;75;374;42;1;51;2;91;1;1;48;0;237;2
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;76;361;34;1;60;7;67;1;1;40;1;212;4
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;77;373;40;1;65;6;75;0;2;38;0;227;5
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;78;367;45;0;34;2;111;1;0;31;0;224;3
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;79;362;42;0;37;6;82;1;0;35;2;205;3
258;Borduas;2018-10-01;G;Otterburn Park, v;2;;80;378;38;1;55;4;99;1;0;23;2;223;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;81;368;25;1;47;9;116;3;0;34;0;235;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;82;366;29;1;28;4;125;1;0;30;1;219;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;83;359;42;2;36;6;90;1;0;22;0;199;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;84;360;19;0;32;2;116;2;0;32;2;205;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;85;372;23;0;38;3;147;1;1;20;1;234;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;86;385;33;0;24;2;130;1;0;33;0;223;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;87;373;28;0;49;4;99;1;2;33;1;217;2
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;88;358;42;1;41;6;88;0;0;25;5;208;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;89;371;42;0;38;7;92;0;1;16;0;196;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;90;380;40;0;42;6;101;2;1;31;0;223;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;91;357;36;0;58;4;98;1;1;14;0;212;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;92;364;23;0;54;1;85;4;1;25;0;193;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;93;376;30;0;51;4;118;0;1;28;0;232;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;94;362;42;0;46;6;92;4;0;26;0;216;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;95;357;38;0;43;4;115;1;0;19;0;220;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;96;369;50;0;48;7;75;4;3;14;0;201;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;;97;368;43;2;62;5;67;3;3;17;2;204;5
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;98;362;33;0;45;4;83;2;0;28;1;196;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;99;372;39;1;50;3;100;2;1;22;0;218;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;100;362;34;2;47;3;97;0;0;20;0;203;2
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;101;364;46;0;55;1;80;0;0;18;1;201;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;102;382;28;0;48;0;118;0;2;40;0;236;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;103;370;35;1;40;4;98;4;1;29;0;212;7
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;104;370;18;0;29;6;111;1;0;55;1;221;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;;105;354;32;2;37;1;65;2;3;23;1;166;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;3;;106;369;36;0;37;5;72;0;1;29;1;181;6
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;3;;107;350;43;0;67;2;82;2;1;23;1;221;5
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;3;;108;351;33;1;39;7;70;2;1;21;0;174;2
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;3;;109;366;42;1;52;6;80;0;0;24;0;205;2
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;3;;110;362;34;0;59;8;82;1;0;42;1;227;2
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;3;;111;376;34;0;59;8;106;0;2;30;0;239;6
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;112;343;28;0;18;8;83;1;1;55;0;194;3
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;113;345;20;0;48;6;99;0;0;26;1;200;2
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;114;331;34;0;64;4;75;1;0;26;0;204;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;115;358;32;0;53;6;106;1;1;27;2;228;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;116;353;39;0;52;6;120;1;2;31;0;251;2
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;117;352;47;0;57;6;94;1;0;26;0;231;1
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;118;356;35;1;60;11;102;0;2;34;0;245;5
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;4;;119;349;30;1;48;9;92;2;0;28;2;212;3
258;Borduas;2018-10-01;G;Saint-Jean-Baptiste, m;1;;120;335;33;1;35;2;115;1;0;24;1;212;5
