Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barros Karina P.V.Q./G.P.Q.;Boissonneault Michel P.C.Q./C.P.Q.;Brunet Jean-François B.P.;Gauvin Karine P.Q.;Laouadi Sabrinel C.I.N.Q.;Louis Abed N.P.D.Q.;Ndzana Jean Marie Floriant Ind;Robitaille Paule P.L.Q./Q.L.P.;Séide Julie C.A.Q.-É.F.L.;Zaga Mendez Alejandra Q.S.;B.V.;B.R.
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;278;;1;372;5;1;0;21;0;1;0;60;23;29;140;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;278;;2;361;4;4;0;24;1;4;1;60;22;36;156;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;278;;3;386;3;2;1;16;0;3;2;64;21;10;122;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;279;;4;379;2;3;0;12;1;2;1;72;39;20;152;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;279;;5;373;0;0;0;4;1;2;1;89;19;48;164;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;279;;6;364;1;2;0;8;0;4;0;85;23;30;153;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;279;;7;360;4;0;0;8;1;0;0;88;16;21;138;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;280;;8;331;4;4;0;14;2;0;0;82;25;23;154;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;280;;9;327;2;6;0;8;2;3;1;56;25;30;133;9
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;280;;10A;234;2;0;1;9;0;0;1;31;19;14;77;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;280;;10B;193;1;2;0;15;0;1;1;21;19;14;74;1
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;280;;11;317;2;2;1;13;0;3;0;76;34;36;167;0
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;280;;12;321;5;1;0;19;2;1;1;41;27;22;119;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;281;;13;404;2;0;2;14;2;0;0;97;38;23;178;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;281;;14;404;7;3;2;13;1;1;0;85;51;22;185;10
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;281;;15;396;3;0;0;20;1;3;0;71;29;24;151;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;281;;16;381;1;0;2;11;0;1;0;90;25;16;146;1
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;282;;17;385;1;3;1;9;0;1;0;53;37;31;136;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;282;;18;371;1;0;2;11;0;0;0;55;45;17;131;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;282;;19;357;0;2;0;13;0;3;0;66;37;19;140;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;282;;20;344;2;0;2;8;1;0;0;76;37;17;143;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;282;;21;351;5;8;0;20;5;1;0;64;37;22;162;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;283;;22;383;2;0;0;14;2;3;0;40;17;18;96;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;283;;23;389;5;2;1;14;3;1;1;87;29;28;171;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;283;;24;391;0;2;3;13;0;0;0;75;27;39;159;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;283;;25;381;8;2;1;25;0;1;0;97;26;24;184;0
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;283;;26;386;4;0;4;3;6;0;0;99;40;17;173;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;27;397;3;0;0;23;0;0;1;55;32;26;140;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;28;370;2;4;1;20;2;0;2;80;30;15;156;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;29;375;3;1;2;7;0;2;1;92;23;26;157;4
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;30;377;1;2;2;17;1;2;2;107;31;18;183;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;31;363;3;1;1;15;0;0;2;86;35;27;170;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;32;351;2;2;2;12;3;2;0;66;35;26;150;7
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;33;358;3;2;0;20;1;2;0;67;27;24;146;11
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;34;377;4;3;5;20;1;0;1;81;46;12;173;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;284;;35;380;1;1;0;18;1;2;2;74;48;11;158;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;285;;36;379;5;2;5;24;1;0;0;36;44;17;134;8
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;285;;37;369;3;1;0;15;0;0;0;77;31;20;147;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;285;;38;389;3;2;1;14;1;1;1;59;42;26;150;7
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;285;;39;377;1;1;1;14;2;3;2;81;24;17;146;1
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;286;;40;382;4;3;2;24;1;1;0;60;36;15;146;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;286;;41;377;7;2;1;11;0;3;0;61;49;23;157;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;286;;42;368;2;2;1;23;0;1;0;58;51;29;167;8
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;286;;43;377;2;0;0;16;1;2;0;50;37;22;130;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;286;;44A;266;0;0;0;20;0;2;0;22;31;21;96;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;286;;44B;284;2;1;1;22;0;0;0;27;49;24;126;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;286;;45;366;1;3;0;8;0;1;0;41;35;23;112;9
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;287;;46;365;1;5;3;24;1;0;0;56;46;30;166;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;287;;47;377;8;1;1;27;1;2;1;72;38;22;173;6
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;287;;48;365;4;4;1;15;0;1;0;92;37;24;178;1
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;287;;49;346;1;1;2;16;0;2;1;54;21;25;123;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;288;;50;362;3;2;1;14;1;1;1;61;32;17;133;3
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;288;;51;362;2;0;0;18;1;0;1;70;33;18;143;2
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;288;;52;378;2;1;0;12;0;1;0;82;25;30;153;5
360;Bourassa-Sauvé;2018-10-01;G;Montréal, v;288;;53;353;3;1;0;20;1;1;0;58;30;31;145;1
