Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brunelle Claude P.M.L.Q.;Campeau Richard C.A.Q.-É.F.L.;Girard Vincent P.L.Q./Q.L.P.;Hassell-Crépeau Marieke P.V.Q./G.P.Q.;Kotto Maka P.Q.;Lessard Marlène Q.S.;Roy Dany C.P.Q.;B.V.;B.R.
370;Bourget;2018-10-01;G;Montréal, v;342;;1;388;0;41;44;4;38;63;3;193;1
370;Bourget;2018-10-01;G;Montréal, v;342;;2;377;1;30;25;10;55;71;1;193;5
370;Bourget;2018-10-01;G;Montréal, v;342;;3;374;0;47;30;5;53;74;2;211;3
370;Bourget;2018-10-01;G;Montréal, v;342;;4;361;1;45;27;3;42;57;3;178;3
370;Bourget;2018-10-01;G;Montréal, v;342;;5;385;0;48;34;6;50;81;0;219;2
370;Bourget;2018-10-01;G;Montréal, v;342;;6;384;0;44;46;7;48;44;1;190;5
370;Bourget;2018-10-01;G;Montréal, v;343;;7;371;1;43;26;4;45;37;1;157;4
370;Bourget;2018-10-01;G;Montréal, v;343;;8;389;2;39;53;6;24;28;2;154;7
370;Bourget;2018-10-01;G;Montréal, v;343;;9;360;1;19;49;6;32;45;1;153;2
370;Bourget;2018-10-01;G;Montréal, v;343;;10;370;0;27;56;5;21;32;2;143;5
370;Bourget;2018-10-01;G;Montréal, v;343;;11;378;0;25;63;3;32;44;1;168;1
370;Bourget;2018-10-01;G;Montréal, v;343;;12;387;1;44;28;5;48;59;2;187;2
370;Bourget;2018-10-01;G;Montréal, v;343;;13;382;0;43;34;4;36;48;0;165;2
370;Bourget;2018-10-01;G;Montréal, v;343;;14;377;0;45;23;6;47;55;2;178;8
370;Bourget;2018-10-01;G;Montréal, v;343;;15;385;1;38;22;9;58;79;2;209;5
370;Bourget;2018-10-01;G;Montréal, v;343;;16;377;1;48;12;1;52;79;0;193;8
370;Bourget;2018-10-01;G;Montréal, v;343;;17;368;0;47;21;7;42;33;1;151;6
370;Bourget;2018-10-01;G;Montréal, v;344;;18;379;0;50;37;4;43;26;0;160;3
370;Bourget;2018-10-01;G;Montréal, v;344;;19;371;1;46;24;5;37;44;2;159;1
370;Bourget;2018-10-01;G;Montréal, v;344;;20;362;0;67;26;5;36;64;0;198;2
370;Bourget;2018-10-01;G;Montréal, v;344;;21;378;1;41;23;2;73;58;5;203;2
370;Bourget;2018-10-01;G;Montréal, v;344;;22;393;0;68;23;4;51;55;3;204;3
370;Bourget;2018-10-01;G;Montréal, v;345;;23;350;1;49;24;2;45;40;2;163;5
370;Bourget;2018-10-01;G;Montréal, v;345;;24;366;0;51;18;6;50;51;5;181;2
370;Bourget;2018-10-01;G;Montréal, v;345;;25;368;0;33;38;0;43;34;0;148;4
370;Bourget;2018-10-01;G;Montréal, v;345;;26;367;0;28;43;2;26;41;2;142;5
370;Bourget;2018-10-01;G;Montréal, v;345;;27;355;1;39;35;1;45;48;2;171;3
370;Bourget;2018-10-01;G;Montréal, v;345;;28;370;1;42;30;2;40;47;0;162;5
370;Bourget;2018-10-01;G;Montréal, v;345;;29;366;1;28;46;2;32;29;0;138;5
370;Bourget;2018-10-01;G;Montréal, v;346;;30;389;0;47;18;3;41;40;1;150;4
370;Bourget;2018-10-01;G;Montréal, v;346;;31;396;0;31;29;7;39;48;1;155;4
370;Bourget;2018-10-01;G;Montréal, v;346;;32;389;1;57;66;3;29;34;0;190;1
370;Bourget;2018-10-01;G;Montréal, v;346;;33;407;0;38;40;5;36;55;2;176;6
370;Bourget;2018-10-01;G;Montréal, v;346;;34;384;0;53;27;3;36;44;2;165;4
370;Bourget;2018-10-01;G;Montréal, v;346;;35;387;1;54;39;4;42;54;0;194;0
370;Bourget;2018-10-01;G;Montréal, v;346;;36;397;0;45;67;9;40;57;3;221;2
370;Bourget;2018-10-01;G;Montréal, v;346;;37;407;0;49;54;6;70;62;3;244;3
370;Bourget;2018-10-01;G;Montréal, v;346;;38;388;0;57;50;3;51;42;1;204;0
370;Bourget;2018-10-01;G;Montréal, v;346;;39;385;0;42;37;4;36;60;0;179;3
370;Bourget;2018-10-01;G;Montréal, v;346;;40;387;1;46;38;8;49;40;1;183;3
370;Bourget;2018-10-01;G;Montréal, v;346;;41;396;1;57;44;6;50;40;1;199;1
370;Bourget;2018-10-01;G;Montréal, v;347;;42;353;0;51;37;0;42;25;2;157;3
370;Bourget;2018-10-01;G;Montréal, v;347;;43;370;0;38;38;7;41;27;0;151;0
370;Bourget;2018-10-01;G;Montréal, v;347;;44;365;0;32;28;8;74;50;0;192;1
370;Bourget;2018-10-01;G;Montréal, v;347;;45;373;0;59;57;3;44;34;0;197;2
370;Bourget;2018-10-01;G;Montréal, v;347;;46;382;1;26;42;10;40;28;1;148;3
370;Bourget;2018-10-01;G;Montréal, v;347;;47;359;2;24;33;8;40;52;1;160;0
370;Bourget;2018-10-01;G;Montréal, v;347;;48;384;0;41;28;3;42;39;2;155;5
370;Bourget;2018-10-01;G;Montréal, v;348;;49;387;0;54;30;7;55;65;1;212;7
370;Bourget;2018-10-01;G;Montréal, v;348;;50;385;1;28;46;4;66;54;0;199;4
370;Bourget;2018-10-01;G;Montréal, v;348;;51;405;1;35;12;2;31;45;0;126;3
370;Bourget;2018-10-01;G;Montréal, v;348;;52;384;0;45;31;2;34;30;1;143;4
