Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarie Marc V.P.;Charest Isabelle C.A.Q.-É.F.L.;Dionne Elisabeth P.V.Q./G.P.Q.;Gamache Manon C.P.Q.;Larouche Andréanne P.Q.;Legault Alexandre Q.S.;Marini Ingrid P.L.Q./Q.L.P.;B.V.;B.R.
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;1;;1;362;0;100;2;4;28;30;25;189;4
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;1;;2;358;2;95;3;4;27;39;22;192;9
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;1;;3;353;5;101;4;1;26;38;18;193;3
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;1;;4;367;1;70;3;1;19;24;26;144;1
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;1;;5;365;0;64;2;3;15;49;15;148;5
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;1;;6;340;0;94;5;2;35;31;21;188;3
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;2;;7;363;3;63;1;6;27;22;10;132;2
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;2;;8;344;0;58;8;0;18;34;17;135;5
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;2;;9;358;0;78;2;1;18;27;12;138;4
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;10;394;0;110;3;4;26;33;27;203;5
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;11;408;0;130;2;2;31;40;25;230;4
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;12;415;3;93;2;3;27;35;20;183;2
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;13;387;1;92;4;9;18;29;22;175;2
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;14;399;1;90;4;2;32;33;8;170;2
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;15;417;2;76;3;4;26;36;21;168;8
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;16;416;0;126;3;3;27;41;19;219;5
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;17A;222;3;54;5;0;18;18;9;107;6
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;17B;215;0;47;1;0;18;19;14;99;2
204;Brome-Missisquoi;2018-10-01;G;Farnham, v;3;;18;408;0;130;5;3;24;39;16;217;5
204;Brome-Missisquoi;2018-10-01;G;Sainte-Sabine, m;1;;19;281;0;94;7;0;32;23;24;180;3
204;Brome-Missisquoi;2018-10-01;G;Sainte-Sabine, m;1;;20;281;2;111;1;4;17;30;18;183;5
204;Brome-Missisquoi;2018-10-01;G;Sainte-Sabine, m;1;;21;276;1;93;1;2;25;13;30;165;0
204;Brome-Missisquoi;2018-10-01;G;Notre-Dame-de-Stanbridge, m;1;;22;270;0;82;6;3;21;21;37;170;2
204;Brome-Missisquoi;2018-10-01;G;Notre-Dame-de-Stanbridge, m;1;;23;265;1;82;3;3;21;33;32;175;2
204;Brome-Missisquoi;2018-10-01;G;Saint-Ignace-de-Stanbridge, m;1;;24;249;0;92;1;1;16;24;24;158;4
204;Brome-Missisquoi;2018-10-01;G;Saint-Ignace-de-Stanbridge, m;1;;25;251;1;67;5;1;14;33;42;163;1
204;Brome-Missisquoi;2018-10-01;G;Stanbridge East, m;1;;26;350;0;44;14;0;19;33;104;214;5
204;Brome-Missisquoi;2018-10-01;G;Stanbridge East, m;1;;27;355;0;76;3;1;13;23;101;217;2
204;Brome-Missisquoi;2018-10-01;G;Bedford, ct;1;;28;270;1;55;1;1;7;15;70;150;0
204;Brome-Missisquoi;2018-10-01;G;Bedford, ct;1;;29;285;0;79;3;3;14;22;45;166;0
204;Brome-Missisquoi;2018-10-01;G;Bedford, v;1;;30;395;1;81;4;3;10;30;44;173;2
204;Brome-Missisquoi;2018-10-01;G;Bedford, v;1;;31;410;2;85;1;1;20;26;44;179;5
204;Brome-Missisquoi;2018-10-01;G;Bedford, v;1;;32;396;1;87;6;0;18;18;64;194;5
204;Brome-Missisquoi;2018-10-01;G;Bedford, v;1;;33;423;1;66;0;1;29;36;77;210;1
204;Brome-Missisquoi;2018-10-01;G;Bedford, v;1;;34;403;1;108;5;3;20;32;64;233;2
204;Brome-Missisquoi;2018-10-01;G;Stanbridge Station, m;1;;35;238;1;84;1;2;6;32;29;155;2
204;Brome-Missisquoi;2018-10-01;G;Pike River, m;1;;36;206;1;65;5;3;21;13;34;142;2
204;Brome-Missisquoi;2018-10-01;G;Pike River, m;1;;37;228;3;71;2;2;14;31;25;148;2
204;Brome-Missisquoi;2018-10-01;G;Saint-Armand, m;1;;38;321;1;57;2;3;13;42;70;188;2
204;Brome-Missisquoi;2018-10-01;G;Saint-Armand, m;1;;39;327;0;63;7;1;20;21;78;190;0
204;Brome-Missisquoi;2018-10-01;G;Saint-Armand, m;1;;40;328;0;69;9;1;17;39;69;204;2
204;Brome-Missisquoi;2018-10-01;G;Frelighsburg, m;1;;41;289;0;63;4;0;16;42;49;174;2
204;Brome-Missisquoi;2018-10-01;G;Frelighsburg, m;1;;42;296;0;69;13;0;18;80;34;214;1
204;Brome-Missisquoi;2018-10-01;G;Frelighsburg, m;1;;43;317;0;67;9;0;15;61;57;209;2
204;Brome-Missisquoi;2018-10-01;G;Dunham, v;1;;44;400;1;89;5;1;16;46;43;201;5
204;Brome-Missisquoi;2018-10-01;G;Dunham, v;1;;45;382;0;69;3;3;21;44;49;189;0
204;Brome-Missisquoi;2018-10-01;G;Dunham, v;1;;46;404;2;66;12;1;17;47;42;187;2
204;Brome-Missisquoi;2018-10-01;G;Dunham, v;1;;47;390;0;86;6;0;16;43;56;207;0
204;Brome-Missisquoi;2018-10-01;G;Dunham, v;1;;48;392;1;99;2;1;20;29;33;185;2
204;Brome-Missisquoi;2018-10-01;G;Dunham, v;1;;49;390;0;88;3;1;27;48;45;212;2
204;Brome-Missisquoi;2018-10-01;G;Dunham, v;1;;50;397;0;81;5;0;19;51;50;206;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;1;;51;345;0;77;2;0;19;33;48;179;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;1;;52;352;0;71;2;0;17;44;33;167;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;1;;53;336;1;63;3;1;20;19;30;137;4
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;1;;54;372;1;25;6;0;10;20;19;81;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;1;;55;337;0;35;0;0;16;23;20;94;0
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;1;;56;343;1;69;1;0;14;18;27;130;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;57;375;2;65;3;2;24;41;25;162;6
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;58;371;1;54;4;3;18;22;28;130;4
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;59;387;0;62;5;1;17;24;26;135;5
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;60;361;0;55;5;1;15;30;33;139;6
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;61;393;2;68;6;0;16;43;28;163;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;62;383;0;92;2;2;24;40;19;179;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;63;394;3;71;4;5;31;20;30;164;4
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;64;373;0;69;7;2;25;31;33;167;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;65A;203;0;22;3;0;6;20;19;70;0
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;65B;224;0;37;2;0;10;25;20;94;0
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;2;;66;423;0;91;2;1;22;30;33;179;0
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;67;410;1;102;1;0;21;38;46;209;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;68A;291;0;41;4;0;10;16;17;88;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;68B;171;0;26;2;1;5;10;9;53;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;69;413;0;78;8;1;21;24;21;153;1
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;70;397;0;51;3;2;13;31;37;137;3
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;71;407;3;82;7;0;33;44;41;210;0
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;72;425;0;113;5;1;21;41;36;217;3
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;73;410;3;106;4;0;20;24;32;189;1
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;74;402;0;122;3;0;17;23;39;204;4
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;75;391;0;98;6;1;20;45;15;185;5
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;76A;297;0;63;0;0;13;22;21;119;1
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;76B;214;0;64;0;0;11;19;10;104;2
204;Brome-Missisquoi;2018-10-01;G;Cowansville, v;3;;77;416;0;90;5;1;28;27;65;216;1
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;78;374;1;51;8;0;19;27;64;170;4
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;79;370;3;37;7;0;10;31;85;173;2
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;80;388;0;69;5;0;14;32;61;181;3
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;81;385;0;55;6;0;12;23;86;182;3
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;82;380;0;62;2;0;15;14;105;198;3
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;83;398;1;75;7;1;21;14;77;196;1
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;84;392;1;65;4;0;15;33;80;198;3
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;85;383;0;45;7;0;12;12;103;179;0
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;86;370;3;29;3;0;5;15;105;160;1
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;87;388;1;21;5;0;5;10;98;140;1
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;88;378;0;42;4;0;8;17;106;177;0
204;Brome-Missisquoi;2018-10-01;G;Lac-Brome, v;1;;89;399;1;41;6;0;13;23;107;191;1
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;90;379;3;129;5;0;36;45;40;258;7
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;91;379;1;126;9;3;24;38;34;235;5
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;92;407;1;96;4;0;34;32;28;195;3
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;93;421;0;111;11;0;19;38;39;218;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;94;398;0;108;8;0;17;27;56;216;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;95;374;1;99;4;0;17;32;59;212;1
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;96;414;0;107;4;1;20;26;58;216;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;97;379;0;117;2;0;15;30;38;202;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;98;394;1;74;10;1;27;43;16;172;8
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;99A;216;0;64;2;0;9;17;14;106;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;99B;223;1;56;4;0;16;19;14;110;0
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;100;409;0;133;4;0;20;36;44;237;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;101;391;0;111;10;1;20;27;38;207;4
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;102;385;0;93;4;1;18;33;39;188;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;103;406;1;97;8;1;22;60;24;213;4
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;104;377;1;72;8;0;19;47;31;178;2
204;Brome-Missisquoi;2018-10-01;G;Bromont, v;1;;105;391;0;108;5;1;22;40;28;204;6
