Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Guindon Gilles C.I.N.Q.;Jannard Camille B. P.V.Q./G.P.Q.;Létourneau Gilles N.P.D.Q.;L'Heureux Guy P.C.Q./C.P.Q.;Picard Christian P.Q.;Roberge Jean-François C.A.Q.-É.F.L.;Vachon Benjamin B.P.;Vigeant Francis Q.S.;Villeneuve François P.L.Q./Q.L.P.;B.V.;B.R.
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;1;366;0;6;1;1;46;95;0;49;28;226;1
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;2;354;1;4;3;0;23;71;0;40;19;161;3
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;3;353;0;6;1;3;45;86;0;21;39;201;6
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;4;353;0;2;2;3;40;93;2;38;34;214;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;5;374;1;2;1;2;24;117;3;36;36;222;5
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;6;367;0;6;3;3;33;81;0;51;30;207;1
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;7;362;1;8;0;0;33;81;1;52;12;188;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;8;368;0;6;1;0;36;84;0;50;21;198;4
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;9;342;2;4;1;2;25;64;0;34;12;144;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;10;367;0;3;2;0;33;101;2;42;37;220;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;1;;11;357;0;3;2;1;45;107;1;30;24;213;4
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;12;380;2;5;1;2;34;106;0;37;20;207;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;13;383;0;6;1;2;35;123;0;36;20;223;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;14;375;0;1;4;0;32;124;2;37;16;216;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;15;388;2;4;0;0;32;153;4;43;21;259;4
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;16;380;0;4;3;1;39;124;0;34;18;223;1
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;17;386;0;7;2;3;34;90;1;60;28;225;1
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;18;378;0;4;3;2;31;127;3;33;33;236;4
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;19;385;0;8;1;2;43;95;0;36;27;212;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;20;379;0;6;5;1;42;102;2;41;14;213;5
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;2;;21;376;0;2;3;3;42;93;3;45;31;222;6
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;22A;248;0;1;2;1;19;40;2;24;27;116;1
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;22B;212;0;3;0;3;24;58;0;18;19;125;1
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;23;397;0;5;0;3;48;113;1;43;22;235;1
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;24;387;0;1;0;4;38;85;2;42;24;196;7
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;25;399;2;7;1;3;37;126;1;42;34;253;4
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;26;397;0;3;0;0;31;126;4;52;44;260;4
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;27;399;1;7;4;3;48;109;1;55;40;268;2
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;28;406;4;9;0;2;34;146;0;42;37;274;4
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;29;415;0;4;0;0;49;124;1;62;13;253;3
238;Chambly;2018-10-01;G;Saint-Basile-le-Grand, v;3;;30;396;0;4;0;3;44;95;1;70;24;241;5
