Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auger Pierre Michel P.L.Q./Q.L.P.;Dufresne Stéphanie P.V.Q./G.P.Q.;Fortin Pierre-Benoit P.C.Q./C.P.Q.;Gauthier Éric É.A.;Lebel Sonia C.A.Q.-É.F.L.;Leclerc Gaëtan P.Q.;Rouss Anthony B.P.;Roy Cullen Steven Q.S.;B.V.;B.R.
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;1;313;20;6;2;0;75;20;3;18;144;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;2;328;23;1;6;0;95;30;0;30;185;0
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;3;325;17;2;4;0;83;16;0;29;151;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;4;335;32;1;2;1;94;20;0;21;171;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;5;321;30;1;7;1;85;20;1;24;169;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;6;324;30;1;4;0;94;10;1;19;159;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;7;323;12;4;3;0;82;21;0;33;155;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;8;324;22;5;7;2;90;16;0;24;166;7
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;9;320;14;1;2;2;94;13;1;17;144;7
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;10;313;17;3;1;2;98;28;0;26;175;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;11;320;22;2;6;0;84;15;5;21;155;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;26;;12;328;25;6;2;0;76;27;1;27;164;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;27;;13;362;28;0;2;0;78;28;2;35;173;6
676;Champlain;2018-10-01;G;Trois-Rivières, v;27;;14;368;26;7;3;0;85;34;5;34;194;6
676;Champlain;2018-10-01;G;Trois-Rivières, v;27;;15;354;29;1;5;0;105;16;1;24;181;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;27;;16;381;22;6;3;0;112;21;3;24;191;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;27;;17;363;26;2;3;0;92;19;0;23;165;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;27;;18;348;20;3;9;6;85;18;0;31;172;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;19;381;41;7;5;0;111;18;1;26;209;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;20;389;34;4;2;1;96;28;1;29;195;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;21;383;33;2;5;0;114;24;0;34;212;0
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;22;401;42;5;1;0;113;19;0;29;209;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;23;383;33;9;2;1;136;24;3;17;225;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;24;378;17;1;2;1;96;17;2;21;157;0
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;25;380;28;3;2;3;74;16;0;26;152;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;26;379;25;6;3;0;99;24;0;24;181;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;27;404;34;4;3;0;138;14;0;22;215;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;28;389;36;6;3;2;158;17;0;14;236;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;29;392;26;4;7;0;97;21;1;17;173;5
676;Champlain;2018-10-01;G;Trois-Rivières, v;28;;30;372;44;7;5;0;82;21;2;30;191;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;31;362;34;3;1;0;97;19;1;29;184;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;32;353;41;2;3;0;106;21;0;22;195;1
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;33;366;48;2;4;1;98;29;1;18;201;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;34;358;30;5;10;0;77;23;0;34;179;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;29;;35;352;19;1;3;1;69;12;2;19;126;0
