Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Albert Alexandre Q.S.;Carrière Marc P.L.Q./Q.L.P.;Ippersiel Blake P.Q.;Lévesque Mathieu C.A.Q.-É.F.L.;Roy Françoise P.M.L.Q.;Tanguay Rowen P.C.Q./C.P.Q.;B.V.;B.R.
620;Chapleau;2018-10-01;G;Gatineau, v;28;;1;325;28;27;13;77;2;0;147;4
620;Chapleau;2018-10-01;G;Gatineau, v;28;;2;329;28;73;22;60;0;8;191;2
620;Chapleau;2018-10-01;G;Gatineau, v;28;;3;335;17;82;14;71;1;2;187;8
620;Chapleau;2018-10-01;G;Gatineau, v;28;;4;329;33;66;22;67;0;6;194;0
620;Chapleau;2018-10-01;G;Gatineau, v;28;;5;355;24;50;11;64;1;3;153;2
620;Chapleau;2018-10-01;G;Gatineau, v;29;;6;386;21;55;22;54;1;4;157;3
620;Chapleau;2018-10-01;G;Gatineau, v;29;;7;399;48;58;14;84;1;8;213;3
620;Chapleau;2018-10-01;G;Gatineau, v;29;;8;410;42;69;23;71;1;3;209;3
620;Chapleau;2018-10-01;G;Gatineau, v;29;;9;408;34;48;22;69;0;7;180;5
620;Chapleau;2018-10-01;G;Gatineau, v;29;;10;386;30;55;16;56;0;5;162;4
620;Chapleau;2018-10-01;G;Gatineau, v;29;;11;383;31;67;20;64;3;1;186;4
620;Chapleau;2018-10-01;G;Gatineau, v;29;;12;370;20;49;10;69;2;3;153;4
620;Chapleau;2018-10-01;G;Gatineau, v;30;;13;298;19;46;4;40;0;1;110;2
620;Chapleau;2018-10-01;G;Gatineau, v;30;;14;387;28;37;10;52;2;7;136;3
620;Chapleau;2018-10-01;G;Gatineau, v;30;;15;393;24;46;10;62;0;3;145;5
620;Chapleau;2018-10-01;G;Gatineau, v;30;;16;407;19;37;13;41;5;4;119;3
620;Chapleau;2018-10-01;G;Gatineau, v;31;;17;380;15;44;8;42;1;5;115;3
620;Chapleau;2018-10-01;G;Gatineau, v;31;;18;372;23;88;12;79;1;3;206;4
620;Chapleau;2018-10-01;G;Gatineau, v;31;;19;378;15;70;7;63;4;6;165;2
620;Chapleau;2018-10-01;G;Gatineau, v;31;;20;372;20;56;8;76;0;0;160;4
620;Chapleau;2018-10-01;G;Gatineau, v;32;;21;404;23;43;9;85;1;5;166;1
620;Chapleau;2018-10-01;G;Gatineau, v;32;;22;404;36;43;19;73;0;9;180;2
620;Chapleau;2018-10-01;G;Gatineau, v;32;;23;378;35;52;13;93;2;6;201;2
620;Chapleau;2018-10-01;G;Gatineau, v;32;;24;404;21;65;24;87;1;2;200;3
620;Chapleau;2018-10-01;G;Gatineau, v;32;;25;389;30;37;20;62;3;1;153;4
620;Chapleau;2018-10-01;G;Gatineau, v;32;;26;398;28;49;11;76;2;1;167;1
620;Chapleau;2018-10-01;G;Gatineau, v;33;;27;369;33;45;10;56;2;5;151;2
620;Chapleau;2018-10-01;G;Gatineau, v;33;;28;374;22;23;11;87;1;3;147;0
620;Chapleau;2018-10-01;G;Gatineau, v;33;;29;366;15;30;10;53;1;1;110;0
620;Chapleau;2018-10-01;G;Gatineau, v;33;;30;371;20;37;6;50;0;2;115;2
620;Chapleau;2018-10-01;G;Gatineau, v;33;;31;368;27;52;12;69;2;4;166;3
620;Chapleau;2018-10-01;G;Gatineau, v;33;;32;360;23;30;9;41;3;1;107;5
620;Chapleau;2018-10-01;G;Gatineau, v;33;;33;365;21;55;3;56;0;2;137;6
620;Chapleau;2018-10-01;G;Gatineau, v;33;;34;358;17;34;14;55;1;2;123;0
620;Chapleau;2018-10-01;G;Gatineau, v;34;;35;396;42;80;8;80;0;7;217;6
620;Chapleau;2018-10-01;G;Gatineau, v;34;;36;389;25;65;21;84;0;2;197;6
620;Chapleau;2018-10-01;G;Gatineau, v;34;;37;401;46;36;11;91;0;4;188;7
620;Chapleau;2018-10-01;G;Gatineau, v;34;;38;418;54;49;17;98;0;3;221;3
620;Chapleau;2018-10-01;G;Gatineau, v;34;;39;417;35;69;15;82;0;4;205;2
620;Chapleau;2018-10-01;G;Gatineau, v;34;;40;391;24;76;13;83;2;1;199;2
620;Chapleau;2018-10-01;G;Gatineau, v;34;;41;417;23;61;10;74;0;7;175;5
620;Chapleau;2018-10-01;G;Gatineau, v;34;;42;402;37;97;11;99;1;5;250;2
620;Chapleau;2018-10-01;G;Gatineau, v;34;;43;397;42;80;9;78;2;2;213;6
620;Chapleau;2018-10-01;G;Gatineau, v;34;;44;405;35;67;24;84;0;1;211;6
620;Chapleau;2018-10-01;G;Gatineau, v;34;;45;403;37;86;21;74;0;6;224;7
620;Chapleau;2018-10-01;G;Gatineau, v;34;;46;377;23;42;9;70;1;1;146;6
620;Chapleau;2018-10-01;G;Gatineau, v;34;;47;399;56;68;17;73;1;0;215;6
620;Chapleau;2018-10-01;G;Gatineau, v;34;;48;398;39;46;17;72;2;2;178;3
620;Chapleau;2018-10-01;G;Gatineau, v;34;;49;420;41;53;14;74;0;5;187;1
