Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Germain Élisabeth Q.S.;Julien Jonatan C.A.Q.-É.F.L.;Morin Annie P.Q.;Pelletier Daniel É.A.;Tremblay Valérie P.C.Q./C.P.Q.;B.V.;B.R.
748;Charlesbourg;2018-10-01;G;Québec, v;78;;1;375;20;27;59;8;1;10;125;9
748;Charlesbourg;2018-10-01;G;Québec, v;78;;2;386;29;34;70;16;0;3;152;8
748;Charlesbourg;2018-10-01;G;Québec, v;78;;3;390;39;30;72;17;0;6;164;3
748;Charlesbourg;2018-10-01;G;Québec, v;78;;4;383;43;33;67;13;0;4;160;5
748;Charlesbourg;2018-10-01;G;Québec, v;78;;5;382;28;36;64;15;4;8;155;6
748;Charlesbourg;2018-10-01;G;Québec, v;79;;6;420;39;18;58;17;0;6;138;2
748;Charlesbourg;2018-10-01;G;Québec, v;79;;7A;220;15;23;35;17;1;6;97;0
748;Charlesbourg;2018-10-01;G;Québec, v;79;;7B;215;17;13;43;10;0;1;84;0
748;Charlesbourg;2018-10-01;G;Québec, v;79;;8;412;31;21;95;17;2;10;176;2
748;Charlesbourg;2018-10-01;G;Québec, v;79;;9;415;39;29;82;13;2;3;168;2
748;Charlesbourg;2018-10-01;G;Québec, v;79;;10;407;37;24;73;17;0;12;163;2
748;Charlesbourg;2018-10-01;G;Québec, v;80;;11;376;22;30;60;21;1;7;141;1
748;Charlesbourg;2018-10-01;G;Québec, v;80;;12;363;24;25;60;12;2;8;131;4
748;Charlesbourg;2018-10-01;G;Québec, v;80;;13;350;31;37;59;22;1;8;158;1
748;Charlesbourg;2018-10-01;G;Québec, v;80;;14;367;40;39;72;10;0;6;167;6
748;Charlesbourg;2018-10-01;G;Québec, v;80;;15;370;36;38;89;32;1;5;201;7
748;Charlesbourg;2018-10-01;G;Québec, v;81;;16;400;32;36;80;23;1;9;181;6
748;Charlesbourg;2018-10-01;G;Québec, v;81;;17;399;29;20;80;18;2;2;151;4
748;Charlesbourg;2018-10-01;G;Québec, v;81;;18A;226;21;11;53;5;0;5;95;0
748;Charlesbourg;2018-10-01;G;Québec, v;81;;18B;212;22;16;39;11;1;0;89;0
748;Charlesbourg;2018-10-01;G;Québec, v;81;;19A;215;15;14;34;14;2;6;85;3
748;Charlesbourg;2018-10-01;G;Québec, v;81;;19B;217;15;17;32;10;1;2;77;1
748;Charlesbourg;2018-10-01;G;Québec, v;81;;20;422;26;25;71;23;2;3;150;6
