Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Andréanne N.P.D.Q.;Chiasson Albert C.P.Q.;Crossan Jessica Q.S.;Foster Émilie C.A.Q.-É.F.L.;Leclerc Nathalie P.Q.;Simard Caroline P.L.Q./Q.L.P.;B.V.;B.R.;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Sainte-Catherine, m;1;;1;175;0;1;9;37;40;21;108;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Sagard, no;1;;2;106;1;3;12;28;11;15;70;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Mont-Élie, no;1;Regr. BVO-2;3;53;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Siméon, m;1;;4;327;0;0;13;78;21;23;135;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Siméon, m;1;;5;334;2;1;13;57;21;29;123;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Siméon, m;1;;6;348;2;2;22;70;31;22;149;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;1;;7;387;1;0;31;97;38;40;207;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;1;;8;375;1;0;29;75;35;48;188;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;1;;9;389;0;1;29;71;51;25;177;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;1;;10;382;0;3;44;74;43;21;185;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;1;;11;379;2;1;23;78;41;11;156;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;1;;12;354;1;0;12;107;23;28;171;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;1;;13;398;0;1;28;93;43;19;184;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;2;;14;383;0;5;19;62;30;25;141;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;2;;15;366;2;2;19;50;33;21;127;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;2;;16;362;4;0;26;57;30;24;141;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;2;;17;396;1;3;36;58;49;31;178;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;3;;18;357;0;3;18;63;33;24;141;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;3;;19;368;0;1;34;91;33;25;184;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;3;;20;368;3;2;15;66;39;29;154;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;3;;21;363;0;0;25;89;38;27;179;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;3;;22;356;5;0;26;72;24;16;143;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;3;;23;358;1;4;17;76;30;28;156;6;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;3;;24;354;1;1;19;88;42;33;184;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Clermont, v;1;;25;361;1;0;20;79;50;33;183;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Clermont, v;1;;26;371;0;1;26;88;57;33;205;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Clermont, v;1;;27;364;0;1;20;93;42;19;175;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Clermont, v;1;;28;328;1;3;15;102;30;30;181;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Clermont, v;1;;29;364;0;0;24;121;45;27;217;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Clermont, v;1;;30;347;2;1;22;63;30;34;152;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Clermont, v;1;;31;372;0;1;18;101;25;36;181;9;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Aimé-des-Lacs, m;1;;32;273;1;1;24;83;19;32;160;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Aimé-des-Lacs, m;1;;33;286;3;3;25;97;25;31;184;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Aimé-des-Lacs, m;1;;34;288;0;1;15;89;24;22;151;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Notre-Dame-des-Monts, m;1;;35;325;1;2;29;81;48;26;187;7;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Notre-Dame-des-Monts, m;1;;36;317;5;2;18;73;33;36;167;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Hilarion, p;1;;37;302;1;0;24;73;26;63;187;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Hilarion, p;1;;38;295;0;0;17;81;26;34;158;7;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Hilarion, p;1;;39;309;2;0;23;88;34;35;182;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Urbain, p;1;;40;356;0;3;21;100;41;46;211;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Urbain, p;1;;41;373;1;4;25;86;48;48;212;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Urbain, p;1;;42;364;3;0;18;79;32;52;184;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;1;;43;353;0;1;33;53;32;51;170;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;1;;44;357;0;0;38;40;38;38;154;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;1;;45;357;2;1;23;57;22;55;160;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;1;;46;375;1;3;34;56;30;24;148;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;1;;47;347;1;2;32;47;29;32;143;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;2;;48;345;2;0;32;50;29;31;144;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;2;;49;362;0;1;31;39;29;31;131;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;2;;50;279;0;1;18;31;13;25;88;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;2;;51;373;1;2;30;50;39;23;145;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;2;;52;362;0;3;28;70;29;41;171;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;3;;53;377;3;0;20;59;27;44;153;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;3;;54;369;1;2;19;49;28;35;134;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;3;;55;366;0;1;37;48;23;32;141;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;3;;56;400;0;0;36;71;43;29;179;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;3;;57;377;0;1;33;51;40;30;155;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;3;;58;377;1;1;34;67;33;22;158;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Les Éboulements, m;1;;59;368;1;1;45;79;36;64;226;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Les Éboulements, m;1;;60;370;1;2;55;66;36;59;219;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Les Éboulements, m;1;;61;364;0;3;31;60;50;67;211;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Irénée, p;1;;62;278;1;2;29;65;34;39;170;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Irénée, p;1;;63;271;2;1;29;56;48;36;172;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;L'Isle-aux-Coudres, m;1;;64;323;5;1;11;60;25;38;140;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;L'Isle-aux-Coudres, m;1;;65;331;2;0;9;69;27;42;149;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;L'Isle-aux-Coudres, m;1;;66;344;3;4;10;54;28;61;160;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Petite-Rivière-Saint-François, m;1;;67;340;0;0;17;75;37;54;183;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Petite-Rivière-Saint-François, m;1;;68;345;1;2;19;61;28;70;181;2;
