Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Jeff P.C.Q./C.P.Q.;Chassé Marie-Chantal C.A.Q.-É.F.L.;Garcia-McDiarmid Sandrine Q.S.;Masucci-Lauzon Marie-Ève N.P.D.Q.;Moreau Pierre P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Thériault Jean-Philippe P.Q.;B.V.;B.R.
226;Châteauguay;2018-10-01;G;Châteauguay, v;1;;1;422;2;96;39;2;30;4;50;223;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;1;;2;408;5;99;39;3;37;7;26;216;7
226;Châteauguay;2018-10-01;G;Châteauguay, v;1;;3A;200;1;44;24;0;21;1;13;104;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;1;;3B;228;2;50;21;1;26;3;13;116;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;1;;4;425;4;92;48;0;43;3;41;231;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;2;;5;403;5;83;25;2;55;3;30;203;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;2;;6;413;1;78;41;3;76;4;28;231;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;2;;7;418;1;89;34;1;89;5;32;251;7
226;Châteauguay;2018-10-01;G;Châteauguay, v;2;;8;411;4;89;33;1;75;3;25;230;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;2;;9;411;1;83;24;2;61;3;27;201;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;2;;10;414;4;75;41;0;30;7;26;183;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;2;;11;414;5;71;24;4;49;2;13;168;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;12;396;4;70;21;3;65;8;18;189;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;13A;216;2;39;7;2;36;2;19;107;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;13B;235;0;40;14;0;46;1;14;115;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;14;383;2;70;30;0;55;7;35;199;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;15;397;3;88;27;1;86;6;15;226;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;16;394;3;96;37;1;46;4;25;212;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;17;367;1;56;27;1;54;5;23;167;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;18;377;4;59;17;1;61;2;13;157;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;19;385;2;57;30;1;67;10;27;194;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;20;410;2;66;25;7;50;7;21;178;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;21;383;2;78;30;1;63;5;32;211;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;22;411;1;65;27;4;47;1;23;168;6
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;23;389;2;70;30;3;49;1;24;179;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;3;;24;387;2;98;27;4;65;6;26;228;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;25;382;1;51;20;2;78;2;18;172;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;26;381;5;62;19;3;101;0;27;217;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;27;394;5;55;31;3;99;5;18;216;1
