Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dostie Pierre Q.S.;Gagnon Léonard P.C.Q./C.P.Q.;Jean Mireille P.Q.;Laforest Andrée C.A.Q.-É.F.L.;Morency Marie-Josée P.L.Q./Q.L.P.;Philippe Tommy P.V.Q./G.P.Q.;B.V.;B.R.
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;1;399;15;4;40;102;42;2;205;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;2;418;24;2;40;107;32;5;210;8
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;3;384;43;2;33;88;20;3;189;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;4;405;29;8;52;112;39;1;241;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;5;406;21;4;40;107;36;2;210;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;6;389;29;3;66;109;45;3;255;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;7;388;27;1;78;95;39;1;241;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;8;381;27;5;54;79;22;5;192;6
918;Chicoutimi;2018-10-01;G;Saguenay, v;28;;9;411;32;2;33;77;25;2;171;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;10;385;31;1;44;103;33;4;216;0
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;11;374;30;3;42;89;31;8;203;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;12;366;27;4;58;80;34;7;210;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;13;377;23;0;56;102;21;4;206;8
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;14;390;43;2;64;77;31;8;225;6
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;15;385;32;1;60;74;30;6;203;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;16;373;22;3;50;66;15;1;157;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;29;;17;351;36;0;63;45;23;6;173;6
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;18;346;16;2;40;57;27;3;145;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;19;349;31;5;62;72;32;4;206;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;20;356;18;4;41;103;26;3;195;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;21;369;24;2;66;101;26;5;224;7
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;22;365;22;3;47;90;23;7;192;8
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;23;345;18;4;36;70;37;2;167;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;24;355;24;5;45;89;23;2;188;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;30;;25;355;22;1;49;82;27;5;186;3
