Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abou-Khalil Alice C.A.Q.-É.F.L.;Beddad Ouerdia Nacera P.Q.;El-Harrache Omar N.P.D.Q.;Kabbaj Fatine P.V.Q./G.P.Q.;Keramarios Nick P.C.Q./C.P.Q.;Moulla Rabah Q.S.;Ouellette Guy P.L.Q./Q.L.P.;B.V.;B.R.
460;Chomedey;2018-10-01;G;Laval, v;17;;1;359;48;13;2;4;18;7;92;184;2
460;Chomedey;2018-10-01;G;Laval, v;17;;2;380;33;9;2;2;4;3;104;157;4
460;Chomedey;2018-10-01;G;Laval, v;17;;3;379;60;23;2;2;2;13;103;205;5
460;Chomedey;2018-10-01;G;Laval, v;17;;4;367;50;3;1;8;8;20;91;181;5
460;Chomedey;2018-10-01;G;Laval, v;17;;5;375;40;8;0;2;5;16;93;164;4
460;Chomedey;2018-10-01;G;Laval, v;17;;6;372;31;8;0;4;5;10;97;155;3
460;Chomedey;2018-10-01;G;Laval, v;17;;7;375;51;14;3;9;4;11;83;175;8
460;Chomedey;2018-10-01;G;Laval, v;17;;8;380;36;10;5;1;3;9;101;165;5
460;Chomedey;2018-10-01;G;Laval, v;18;;9;408;49;9;1;3;12;14;80;168;3
460;Chomedey;2018-10-01;G;Laval, v;18;;10;417;37;6;2;4;7;9;72;137;4
460;Chomedey;2018-10-01;G;Laval, v;18;;11A;221;26;12;1;1;7;7;60;114;2
460;Chomedey;2018-10-01;G;Laval, v;18;;11B;210;12;5;0;5;5;10;47;84;1
460;Chomedey;2018-10-01;G;Laval, v;18;;12;405;25;14;1;4;7;21;98;170;2
460;Chomedey;2018-10-01;G;Laval, v;18;;13;406;41;11;1;1;4;4;105;167;3
460;Chomedey;2018-10-01;G;Laval, v;18;;14;411;64;13;0;0;6;11;83;177;5
460;Chomedey;2018-10-01;G;Laval, v;18;;15;411;42;10;2;5;4;23;125;211;3
460;Chomedey;2018-10-01;G;Laval, v;18;;16;399;35;23;2;6;6;16;71;159;1
460;Chomedey;2018-10-01;G;Laval, v;18;;17;417;66;14;2;5;3;20;70;180;2
460;Chomedey;2018-10-01;G;Laval, v;18;;18;411;37;9;6;3;5;12;97;169;3
460;Chomedey;2018-10-01;G;Laval, v;18;;19;395;28;17;3;3;3;16;79;149;4
460;Chomedey;2018-10-01;G;Laval, v;18;;20;403;31;8;3;3;5;13;91;154;2
460;Chomedey;2018-10-01;G;Laval, v;19;;21;403;40;13;1;0;1;4;65;124;1
460;Chomedey;2018-10-01;G;Laval, v;19;;22A;223;18;3;0;1;0;6;57;85;2
460;Chomedey;2018-10-01;G;Laval, v;19;;22B;232;44;13;0;0;2;7;33;99;1
460;Chomedey;2018-10-01;G;Laval, v;19;;23;398;63;11;0;4;0;23;43;144;4
460;Chomedey;2018-10-01;G;Laval, v;19;;24;366;51;9;2;8;2;13;79;164;4
460;Chomedey;2018-10-01;G;Laval, v;19;;25;379;38;15;2;1;0;14;41;111;4
460;Chomedey;2018-10-01;G;Laval, v;19;;26;390;40;19;0;3;1;12;48;123;2
460;Chomedey;2018-10-01;G;Laval, v;19;;27;389;37;12;1;4;4;10;77;145;5
460;Chomedey;2018-10-01;G;Laval, v;19;;28;378;43;20;0;3;9;10;65;150;2
460;Chomedey;2018-10-01;G;Laval, v;19;;29;386;46;19;1;6;3;14;33;122;4
460;Chomedey;2018-10-01;G;Laval, v;19;;30;370;49;20;2;2;2;16;61;152;2
460;Chomedey;2018-10-01;G;Laval, v;19;;31;367;73;16;2;1;2;15;48;157;2
460;Chomedey;2018-10-01;G;Laval, v;19;;32A;270;45;10;0;1;0;7;47;110;1
460;Chomedey;2018-10-01;G;Laval, v;19;;32B;287;47;16;2;1;0;10;54;130;1
460;Chomedey;2018-10-01;G;Laval, v;19;;33;377;73;21;1;3;2;11;82;193;4
460;Chomedey;2018-10-01;G;Laval, v;19;;34;366;48;20;1;7;0;15;89;180;4
460;Chomedey;2018-10-01;G;Laval, v;19;;35;385;62;15;0;1;2;12;80;172;12
460;Chomedey;2018-10-01;G;Laval, v;19;;36;375;49;17;1;6;6;15;54;148;0
460;Chomedey;2018-10-01;G;Laval, v;19;;37;416;66;12;0;5;5;18;67;173;3
460;Chomedey;2018-10-01;G;Laval, v;19;;38;397;78;12;1;5;3;19;91;209;2
460;Chomedey;2018-10-01;G;Laval, v;20;;39;368;64;19;4;2;0;16;66;171;3
460;Chomedey;2018-10-01;G;Laval, v;20;;40;315;50;18;1;3;7;6;46;131;3
460;Chomedey;2018-10-01;G;Laval, v;20;;41;311;27;10;3;2;2;18;46;108;3
460;Chomedey;2018-10-01;G;Laval, v;20;;42;341;46;9;0;0;0;10;36;101;1
460;Chomedey;2018-10-01;G;Laval, v;20;;43;328;29;13;1;3;2;5;76;129;0
460;Chomedey;2018-10-01;G;Laval, v;20;;44;389;38;12;1;5;3;9;92;160;1
460;Chomedey;2018-10-01;G;Laval, v;21;;45;355;51;18;0;2;0;7;51;129;0
460;Chomedey;2018-10-01;G;Laval, v;21;;46;347;23;13;2;2;5;15;57;117;3
460;Chomedey;2018-10-01;G;Laval, v;21;;47;362;34;5;0;4;10;8;103;164;0
460;Chomedey;2018-10-01;G;Laval, v;21;;48;376;36;12;3;4;2;12;106;175;4
460;Chomedey;2018-10-01;G;Laval, v;21;;49;369;53;19;2;4;5;7;89;179;3
460;Chomedey;2018-10-01;G;Laval, v;21;;50;370;39;17;10;4;6;20;98;194;0
460;Chomedey;2018-10-01;G;Laval, v;21;;51;371;27;19;8;4;14;7;103;182;1
460;Chomedey;2018-10-01;G;Laval, v;21;;52;385;29;10;2;5;7;12;76;141;3
460;Chomedey;2018-10-01;G;Laval, v;22;;53;346;29;17;0;2;3;13;56;120;5
460;Chomedey;2018-10-01;G;Laval, v;22;;54;346;37;12;4;5;2;13;46;119;0
460;Chomedey;2018-10-01;G;Laval, v;22;;55;390;42;15;4;2;8;7;78;156;5
460;Chomedey;2018-10-01;G;Laval, v;22;;56;363;38;19;1;5;6;25;58;152;0
460;Chomedey;2018-10-01;G;Laval, v;22;;57;361;29;10;1;2;0;4;73;119;2
460;Chomedey;2018-10-01;G;Laval, v;23;;58;388;30;14;1;3;1;13;59;121;4
460;Chomedey;2018-10-01;G;Laval, v;23;;59;351;75;21;1;3;5;13;76;194;7
460;Chomedey;2018-10-01;G;Laval, v;23;;60;373;64;19;0;6;6;22;85;202;0
460;Chomedey;2018-10-01;G;Laval, v;23;;61;379;30;13;1;1;1;12;78;136;2
460;Chomedey;2018-10-01;G;Laval, v;24;;62;376;34;13;3;1;6;5;60;122;2
460;Chomedey;2018-10-01;G;Laval, v;24;;63;391;48;8;4;5;8;17;85;175;4
460;Chomedey;2018-10-01;G;Laval, v;24;;64;398;34;9;2;5;4;15;80;149;3
460;Chomedey;2018-10-01;G;Laval, v;24;;65;364;25;14;0;2;2;11;67;121;0
460;Chomedey;2018-10-01;G;Laval, v;25;;66;364;17;8;2;3;9;7;86;132;3
460;Chomedey;2018-10-01;G;Laval, v;25;;67;347;9;1;1;4;6;10;101;132;4
460;Chomedey;2018-10-01;G;Laval, v;25;;68;368;18;6;2;2;14;9;109;160;2
460;Chomedey;2018-10-01;G;Laval, v;25;;69;364;20;6;3;4;4;6;111;154;4
460;Chomedey;2018-10-01;G;Laval, v;25;;70;356;11;1;2;1;18;5;126;164;2
