Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Stéphane C.P.Q.;Bolduc Olivier Q.S.;Bonin Serge P.Q.;Gaboury Philippe P.C.Q./C.P.Q.;Henry Evelyne N.P.D.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;1;394;0;32;27;6;1;106;30;202;8
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;2A;245;0;12;6;10;0;101;26;155;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;2B;198;0;8;5;8;1;58;16;96;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;3;424;3;34;18;19;6;127;24;231;8
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;4;398;1;31;28;7;0;99;30;196;15
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;5;405;3;28;25;15;2;126;26;225;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;6;415;1;19;22;11;0;144;44;241;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;7;398;1;27;23;10;4;122;39;226;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;8;422;2;25;17;19;1;124;53;241;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;9;400;3;33;23;5;2;100;25;191;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;10;418;1;39;21;12;0;152;41;266;7
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;11;406;3;45;30;4;0;136;32;250;12
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;1;;12;402;1;51;15;21;4;160;30;282;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;2;;13;328;3;23;27;9;1;89;15;167;3
