Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Renaud P.N.;Dubé Gabriel B.P.;Dufour Guillaume Q.S.;Forget Michel P.Q.;Laboissonnière Simon P.L.Q./Q.L.P.;Proulx Marie-Eve C.A.Q.-É.F.L.;Roussin Marc P.C.Q./C.P.Q.;B.V.;B.R.
826;Côte-du-Sud;2018-10-01;G;Berthier-sur-Mer, m;1;;1;330;4;0;34;19;35;124;6;222;2
826;Côte-du-Sud;2018-10-01;G;Berthier-sur-Mer, m;1;;2;330;3;2;24;16;41;121;1;208;3
826;Côte-du-Sud;2018-10-01;G;Berthier-sur-Mer, m;1;;3;337;0;1;17;10;42;143;4;217;3
826;Côte-du-Sud;2018-10-01;G;Berthier-sur-Mer, m;1;;4;325;1;1;18;24;50;112;6;212;1
826;Côte-du-Sud;2018-10-01;G;Saint-François-de-la-Rivière-du-Sud, m;1;;5;420;8;2;12;24;51;152;6;255;6
826;Côte-du-Sud;2018-10-01;G;Saint-François-de-la-Rivière-du-Sud, m;1;;6;406;1;1;26;20;44;165;6;263;0
826;Côte-du-Sud;2018-10-01;G;Saint-François-de-la-Rivière-du-Sud, m;1;;7;409;0;4;16;18;46;140;6;230;3
826;Côte-du-Sud;2018-10-01;G;Saint-Pierre-de-la-Rivière-du-Sud, p;1;;8;352;2;1;6;21;51;121;3;205;7
826;Côte-du-Sud;2018-10-01;G;Saint-Pierre-de-la-Rivière-du-Sud, p;1;;9;335;4;0;22;15;42;124;4;211;6
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;1;;10;359;3;2;22;10;31;111;2;181;1
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;1;;11;353;3;2;12;11;40;112;3;183;1
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;1;;12;351;1;0;7;12;25;99;0;144;3
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;1;;13;360;2;3;17;15;32;118;6;193;4
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;1;;14;370;0;0;14;5;41;124;3;187;1
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;1;;15;364;2;0;15;13;40;141;11;222;1
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;2;;16;373;0;2;12;9;21;115;6;165;1
826;Côte-du-Sud;2018-10-01;G;Montmagny, v;2;;17;376;0;2;11;17;26;121;4;181;2
