Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarco Jérémie P.V.Q./G.P.Q.;Birnbaum David P.L.Q./Q.L.P.;Cohn Mélodie C.A.Q.-É.F.L.;Johnston Diane P.M.L.Q.;Kumuyange Jean-Claude Q.S.;Loran Yaniv P.C.Q./C.P.Q.;Pion Eliane P.Q.;Smit Leigh N.P.D.Q.;B.V.;B.R.
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;1;387;3;91;4;0;0;10;1;0;109;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;2;406;6;131;12;1;2;6;1;0;159;2
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;3;394;2;103;4;0;1;7;0;5;122;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;4;390;4;117;8;0;4;11;0;3;147;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;5;390;1;90;6;0;1;12;0;0;110;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;6;384;3;60;4;0;0;4;1;0;72;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;7;393;0;95;9;1;1;13;1;2;122;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;8;392;1;99;11;0;3;13;1;0;128;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;1;;9;396;0;98;9;1;3;8;1;1;121;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;10;390;11;127;3;0;12;10;2;1;166;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;11;417;10;131;8;0;7;7;2;4;169;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;12;410;4;109;13;1;5;7;3;4;146;1
