Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brulé Martin P.L.;Charette Benoit C.A.Q.-É.F.L.;Dagenais Isabelle P.V.Q./G.P.Q.;Diop Fabienne Fatou P.L.Q./Q.L.P.;Emond Eric C.I.N.Q.;Fodor Delia P.C.Q./C.P.Q.;Goyer Daniel P.Q.;Lesage-Lanthier Audrey Q.S.;Paré Denis C.P.Q.;Roker Jr Hans B.P.;B.V.;B.R.;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;1;370;4;63;4;11;0;4;24;36;1;0;147;3;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;2;375;1;61;0;27;0;2;36;27;1;0;155;0;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;3;375;0;72;2;33;0;2;39;29;1;1;179;4;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;4;379;1;93;7;29;0;7;43;24;1;0;205;9;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;5;379;1;67;8;54;1;4;35;18;3;0;191;1;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;6;377;2;93;5;37;0;3;41;33;0;1;215;1;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;7;377;1;83;0;31;0;4;36;40;3;0;198;2;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;8;364;3;82;7;27;2;2;34;26;0;0;183;5;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;;9;384;4;62;5;28;1;3;37;46;4;2;192;6;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;10;396;2;64;16;47;2;4;31;38;1;1;206;6;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;11;396;1;72;6;53;0;0;34;37;0;0;203;3;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;12;411;0;89;10;30;0;1;37;39;2;2;210;4;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;13;391;1;76;7;45;3;2;49;44;1;2;230;2;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;14;380;2;78;6;39;0;0;33;34;0;0;192;1;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;15;400;0;81;6;37;0;1;43;41;0;0;209;5;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;16;405;4;68;5;20;1;2;46;53;1;2;202;5;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;17;394;1;77;4;36;0;3;35;33;2;2;193;5;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;18;399;3;70;5;24;0;4;29;46;0;4;185;7;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;19;382;0;91;5;33;0;4;28;39;2;1;203;6;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;20;410;1;110;7;51;0;4;45;30;0;0;248;7;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;2;;21;407;2;84;7;44;0;1;44;32;2;1;217;5;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;3;;22;362;1;76;5;40;1;3;29;24;0;0;179;2;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;3;;23;361;1;59;4;30;0;2;29;36;0;0;161;4;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;3;;24;366;3;61;6;17;0;0;43;32;5;0;167;1;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;3;;25;350;3;79;6;31;1;2;32;28;0;1;183;1;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;3;;26;364;0;59;5;40;0;7;39;35;9;0;194;4;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;3;;27;349;4;68;5;25;0;2;28;28;0;4;164;5;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;28;380;1;60;4;45;0;4;26;32;2;1;175;5;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;29;373;1;88;9;34;0;2;29;34;3;1;201;3;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;30;390;3;60;9;23;1;1;31;32;2;2;164;2;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;31;360;2;79;9;37;2;3;42;42;5;1;222;4;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;32;359;3;70;2;39;0;4;37;32;1;2;190;1;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;33;375;2;67;13;36;0;2;30;35;2;0;187;1;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;34;367;4;50;4;41;0;5;37;32;0;1;174;0;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;;35;368;0;67;7;30;2;3;37;26;1;2;175;3;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;;36;394;2;88;5;23;0;5;55;39;10;1;228;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;;37;381;0;85;1;18;0;3;37;33;2;0;179;3;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;;38;401;1;60;5;23;0;4;43;23;1;2;162;7;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;;39;393;2;94;5;29;0;4;41;28;4;0;207;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;;40;381;1;78;3;16;0;0;51;45;9;2;205;6;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;;41;395;1;53;3;8;1;1;42;24;5;1;139;5;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;42;351;1;53;4;9;0;1;25;35;19;0;147;3;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;43;381;1;71;3;7;0;3;39;40;1;3;168;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;44;380;3;88;3;17;1;3;34;27;4;0;180;1;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;45;360;0;81;2;19;0;1;37;27;1;0;168;7;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;46;368;1;85;6;19;3;1;42;28;0;0;185;1;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;47;379;2;81;1;15;2;0;46;21;3;0;171;6;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;48;383;2;103;5;38;0;5;29;25;0;2;209;4;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;49;349;2;97;1;17;0;0;22;14;1;0;154;3;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;;50;367;2;95;4;32;1;5;27;30;2;1;199;4;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;3;;51;404;0;84;12;25;0;4;36;32;2;3;198;6;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;3;;52;413;0;76;7;20;0;6;48;22;1;1;181;6;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;3;;53;401;0;105;0;14;0;2;37;25;2;0;185;4;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;3;;54;412;5;110;5;36;0;1;50;22;3;3;235;4;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;3;;55;411;2;72;8;25;0;3;42;35;4;5;196;4;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;4;;56;394;2;85;6;21;0;3;42;24;5;1;189;6;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;4;;57;402;0;79;1;21;0;5;42;36;3;1;188;6;
