Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Deland Kevin P.L.Q./Q.L.P.;Dinard Lannïck Q.S.;Marcoux Sylvain Ind;Picard Francois P.C.Q./C.P.Q.;Roy Diane P.Q.;Schneeberger Sébastien C.A.Q.-É.F.L.;Therion Steve É.A.;B.V.;B.R.;
138;Drummond-Bois-Francs;2018-10-01;G;Saints-Martyrs-Canadiens, p;1;;1;212;14;16;1;1;21;62;0;115;1;
138;Drummond-Bois-Francs;2018-10-01;G;Ham-Nord, ct;1;;2;343;20;59;0;5;24;87;0;195;1;
138;Drummond-Bois-Francs;2018-10-01;G;Ham-Nord, ct;1;;3;327;26;26;1;2;26;111;2;194;1;
138;Drummond-Bois-Francs;2018-10-01;G;Notre-Dame-de-Ham, m;1;;4;319;11;41;1;8;30;116;0;207;3;
138;Drummond-Bois-Francs;2018-10-01;G;Sainte-Hélène-de-Chester, m;1;;5;301;24;40;2;5;31;84;0;186;6;
138;Drummond-Bois-Francs;2018-10-01;G;Chesterville, m;1;;6;345;24;28;1;8;28;115;1;205;1;
138;Drummond-Bois-Francs;2018-10-01;G;Chesterville, m;1;;7;356;16;30;1;8;31;103;0;189;3;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Rémi-de-Tingwick, m;1;;8;368;27;27;1;2;35;143;0;235;4;
138;Drummond-Bois-Francs;2018-10-01;G;Tingwick, m;1;;9;375;32;34;1;1;27;108;1;204;2;
138;Drummond-Bois-Francs;2018-10-01;G;Tingwick, m;1;;10;365;15;39;3;7;22;120;0;206;6;
138;Drummond-Bois-Francs;2018-10-01;G;Tingwick, m;1;;11;368;19;37;1;2;26;101;1;187;3;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;12;391;18;29;0;6;22;139;0;214;3;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;13;379;38;23;2;9;23;124;0;219;2;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;14;377;18;32;2;3;20;101;2;178;4;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;15;397;23;35;3;4;14;151;1;231;5;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;16;383;20;18;4;3;20;106;1;172;2;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;17;382;24;26;2;7;20;101;1;181;8;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;18;387;23;37;1;5;23;95;0;184;7;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;19;395;23;29;0;4;26;142;0;224;4;
138;Drummond-Bois-Francs;2018-10-01;G;Warwick, v;1;;20;376;31;30;3;6;21;126;2;219;5;
138;Drummond-Bois-Francs;2018-10-01;G;Kingsey Falls, v;1;;21;371;20;39;0;4;27;137;0;227;3;
138;Drummond-Bois-Francs;2018-10-01;G;Kingsey Falls, v;1;;22;383;49;48;1;4;19;139;0;260;5;
138;Drummond-Bois-Francs;2018-10-01;G;Kingsey Falls, v;1;;23;384;30;33;1;5;35;127;0;231;8;
138;Drummond-Bois-Francs;2018-10-01;G;Kingsey Falls, v;1;;24;352;37;22;2;9;25;119;0;214;9;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Félix-de-Kingsey, m;1;;25;401;57;34;1;8;34;131;0;265;4;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Félix-de-Kingsey, m;1;;26;393;33;35;2;9;18;139;2;238;4;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Félix-de-Kingsey, m;1;;27;385;26;32;1;9;37;133;2;240;6;
138;Drummond-Bois-Francs;2018-10-01;G;Sainte-Séraphine, p;1;;28;296;22;21;0;7;19;116;1;186;7;
138;Drummond-Bois-Francs;2018-10-01;G;Sainte-Élizabeth-de-Warwick, m;1;;29;276;19;20;3;7;23;121;0;193;2;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Albert, m;1;;30;418;24;24;0;9;29;152;0;238;12;
138;Drummond-Bois-Francs;2018-10-01;G;Saint-Albert, m;1;;31;409;16;32;0;12;23;171;0;254;6;
