Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Line P.N.;Bienvenue Marie Francine Q.S.;Fortin Marie-Annick P.Q.;Pelletier François P.C.Q./C.P.Q.;Simard Serge P.L.Q./Q.L.P.;Tremblay François C.A.Q.-É.F.L.;B.V.;B.R.;
914;Dubuc;2018-10-01;G;Saguenay, v;19;;1;365;1;23;44;5;42;87;202;10;
914;Dubuc;2018-10-01;G;Saguenay, v;19;;2;366;1;31;37;5;36;105;215;3;
914;Dubuc;2018-10-01;G;Saguenay, v;19;;3;365;2;21;42;9;34;88;196;6;
914;Dubuc;2018-10-01;G;Saguenay, v;19;;4;380;3;26;55;5;28;102;219;2;
914;Dubuc;2018-10-01;G;Saguenay, v;19;;5;367;3;17;51;3;35;81;190;5;
914;Dubuc;2018-10-01;G;Saguenay, v;19;;6;362;4;18;61;7;24;98;212;6;
914;Dubuc;2018-10-01;G;Saguenay, v;19;;7;363;2;22;45;3;24;99;195;8;
914;Dubuc;2018-10-01;G;Saguenay, v;20;;8;399;7;33;35;3;33;80;191;4;
914;Dubuc;2018-10-01;G;Saguenay, v;20;;9;405;3;19;27;4;26;86;165;1;
914;Dubuc;2018-10-01;G;Saguenay, v;20;;10;367;3;37;41;6;28;84;199;4;
914;Dubuc;2018-10-01;G;Saguenay, v;20;;11;399;9;33;61;5;51;107;266;1;
914;Dubuc;2018-10-01;G;Saguenay, v;20;;12;400;6;29;55;3;39;87;219;8;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;13;408;9;23;66;5;53;88;244;5;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;14;401;5;23;39;10;44;102;223;6;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;15;398;3;12;57;11;44;84;211;9;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;16;397;2;14;60;11;45;82;214;4;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;17;407;4;32;62;5;40;73;216;5;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;18;377;5;26;67;7;29;84;218;6;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;19;396;0;23;56;8;47;66;200;5;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;20;421;5;26;50;11;48;86;226;5;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;21;411;3;24;56;10;47;93;233;7;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;22;396;4;32;62;9;41;74;222;3;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;23;387;5;15;43;8;36;99;206;5;
914;Dubuc;2018-10-01;G;Saguenay, v;21;;24;421;0;33;47;5;75;80;240;1;
