Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Line C.A.Q.-É.F.L.;Leblanc Alexandre P.C.Q./C.P.Q.;Méthot Laurence P.L.Q./Q.L.P.;Richard Lorraine P.Q.;Roux Martine Q.S.;B.V.;B.R.;
902;Duplessis;2018-10-01;G;L'Île-d'Anticosti, m;1;;1;163;14;2;11;34;17;78;2;
902;Duplessis;2018-10-01;G;Blanc-Sablon, m;1;;2;204;2;2;19;1;1;25;1;
902;Duplessis;2018-10-01;G;Blanc-Sablon, m;1;;3;304;28;4;46;10;3;91;2;
902;Duplessis;2018-10-01;G;Blanc-Sablon, m;1;;4;303;27;7;41;14;4;93;2;
902;Duplessis;2018-10-01;G;Blanc-Sablon, m;1;;5;85;1;0;10;1;0;12;0;
902;Duplessis;2018-10-01;G;Bonne-Espérance, m;1;Regr. BVDS-1;6;36;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Bonne-Espérance, m;1;;7;362;2;4;72;4;0;82;0;
902;Duplessis;2018-10-01;G;Bonne-Espérance, m;1;;8;252;4;5;47;1;0;57;0;
902;Duplessis;2018-10-01;G;Saint-Augustin, m;1;;9;431;6;7;53;3;2;71;1;
902;Duplessis;2018-10-01;G;Pakuashipi, ei;1;;10;183;3;0;6;4;4;17;1;
902;Duplessis;2018-10-01;G;Gros-Mécatina, m;1;;11;309;2;8;80;3;0;93;0;
902;Duplessis;2018-10-01;G;Gros-Mécatina, m;1;;12;79;2;0;25;0;0;27;0;
902;Duplessis;2018-10-01;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;13;126;12;1;12;16;5;46;3;
902;Duplessis;2018-10-01;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;14;194;1;4;84;3;1;93;0;
902;Duplessis;2018-10-01;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;15;199;4;9;75;3;5;96;0;
902;Duplessis;2018-10-01;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;16;55;3;0;3;1;5;12;0;
902;Duplessis;2018-10-01;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;17;117;3;1;52;1;0;57;0;
902;Duplessis;2018-10-01;G;La Romaine, r;1;Regr. BVDS-1;18;234;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;La Romaine, r;1;;19;268;8;2;11;18;8;47;0;
902;Duplessis;2018-10-01;G;Nutashkuan, r;1;;20;563;2;2;36;5;7;52;0;
902;Duplessis;2018-10-01;G;Natashquan, m;1;;21;236;41;0;15;46;23;125;4;
902;Duplessis;2018-10-01;G;Aguanish, m;1;;22;220;26;1;21;83;4;135;1;
902;Duplessis;2018-10-01;G;Baie-Johan-Beetz, m;1;;23;73;12;0;7;26;7;52;1;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;24;318;34;1;7;79;9;130;1;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;25;288;38;1;15;82;8;144;2;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;26;317;34;0;7;129;12;182;1;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;27;338;35;0;8;95;17;155;2;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;28;371;39;0;12;125;12;188;5;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;29;322;23;0;15;117;11;166;2;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;30;370;53;0;2;125;20;200;3;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;;31;356;33;0;13;103;12;161;1;
902;Duplessis;2018-10-01;G;Mingan, r;1;Regr. BVDS-1;32;229;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Longue-Pointe-de-Mingan, m;1;;33;351;54;2;17;64;19;156;1;
902;Duplessis;2018-10-01;G;Rivière-Saint-Jean, m;1;;34;200;45;0;12;33;8;98;2;
902;Duplessis;2018-10-01;G;Rivière-au-Tonnerre, m;1;;35;250;60;0;20;27;10;117;3;
902;Duplessis;2018-10-01;G;Maliotenam, r;1;;36;417;10;19;6;7;19;61;0;
902;Duplessis;2018-10-01;G;Maliotenam, r;1;;37A;257;2;0;10;4;11;27;0;
902;Duplessis;2018-10-01;G;Maliotenam, r;1;;37B;231;1;0;9;0;7;17;0;
902;Duplessis;2018-10-01;G;Sept-Îles, v;1;;38;271;60;3;28;41;15;147;1;
902;Duplessis;2018-10-01;G;Sept-Îles, v;1;;39;317;50;2;30;48;18;148;4;
902;Duplessis;2018-10-01;G;Sept-Îles, v;2;;40;201;46;3;6;47;15;117;1;
902;Duplessis;2018-10-01;G;Sept-Îles, v;2;;41;199;46;2;18;23;22;111;0;
902;Duplessis;2018-10-01;G;Sept-Îles, v;3;;42;329;61;2;13;59;26;161;0;
902;Duplessis;2018-10-01;G;Sept-Îles, v;3;;43;336;84;4;13;51;18;170;3;
902;Duplessis;2018-10-01;G;Sept-Îles, v;3;;44;332;71;4;19;56;18;168;4;
902;Duplessis;2018-10-01;G;Sept-Îles, v;3;;45;351;85;5;11;70;24;195;5;
902;Duplessis;2018-10-01;G;Sept-Îles, v;3;;46;319;61;4;15;63;18;161;3;
902;Duplessis;2018-10-01;G;Sept-Îles, v;3;;47;335;71;3;15;64;19;172;6;
902;Duplessis;2018-10-01;G;Sept-Îles, v;3;;48;336;74;4;17;59;21;175;4;
902;Duplessis;2018-10-01;G;Sept-Îles, v;4;;49;339;67;2;18;57;29;173;4;
902;Duplessis;2018-10-01;G;Sept-Îles, v;4;;50;320;75;4;23;65;10;177;5;
902;Duplessis;2018-10-01;G;Sept-Îles, v;4;;51;332;81;2;21;64;26;194;0;
902;Duplessis;2018-10-01;G;Sept-Îles, v;4;;52;354;51;2;10;62;22;147;7;
902;Duplessis;2018-10-01;G;Sept-Îles, v;4;;53;355;56;3;20;56;36;171;5;
902;Duplessis;2018-10-01;G;Sept-Îles, v;5;;54;395;84;2;30;61;29;206;6;
902;Duplessis;2018-10-01;G;Sept-Îles, v;5;;55;382;60;0;31;50;17;158;3;
902;Duplessis;2018-10-01;G;Sept-Îles, v;5;;56;393;80;2;39;68;18;207;7;
902;Duplessis;2018-10-01;G;Sept-Îles, v;5;;57;309;51;4;16;32;22;125;2;
902;Duplessis;2018-10-01;G;Sept-Îles, v;5;;58;394;51;5;24;43;19;142;3;
902;Duplessis;2018-10-01;G;Sept-Îles, v;6;;59;407;76;4;34;50;29;193;3;
902;Duplessis;2018-10-01;G;Sept-Îles, v;6;;60;358;64;3;32;55;15;169;6;
902;Duplessis;2018-10-01;G;Sept-Îles, v;6;;61;351;68;1;17;41;14;141;6;
902;Duplessis;2018-10-01;G;Sept-Îles, v;6;;62;355;48;3;19;49;29;148;5;
902;Duplessis;2018-10-01;G;Sept-Îles, v;6;;63;357;50;4;35;48;21;158;4;
902;Duplessis;2018-10-01;G;Sept-Îles, v;6;;64;344;46;1;39;59;13;158;3;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;;65;308;39;2;21;36;15;113;5;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;;66;326;56;0;52;47;13;168;2;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;;67;313;54;1;11;44;25;135;4;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;;68;324;68;2;16;59;14;159;1;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;;69;316;62;1;28;54;22;167;2;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;;70;329;40;2;27;41;19;129;0;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;;71;291;41;1;10;30;12;94;1;
