Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dudas Adriana C.A.Q.-É.F.L.;Gilbert-Parisée David P.V.Q./G.P.Q.;Lavigne Odette P.Q.;Mahmoodi Karim N.P.D.Q.;Sauvé Monique P.L.Q./Q.L.P.;Yata Nora Q.S.;Zuniga Lopez Juliett P.C.Q./C.P.Q.;B.V.;B.R.;
466;Fabre;2018-10-01;G;Laval, v;1;;1;352;62;8;28;3;62;36;0;199;3;
466;Fabre;2018-10-01;G;Laval, v;1;;2;359;50;8;48;0;70;21;1;198;7;
466;Fabre;2018-10-01;G;Laval, v;1;;3;360;56;8;22;2;79;14;3;184;4;
466;Fabre;2018-10-01;G;Laval, v;1;;4;385;64;3;9;0;111;13;2;202;1;
466;Fabre;2018-10-01;G;Laval, v;2;;5;417;69;12;46;0;35;36;4;202;5;
466;Fabre;2018-10-01;G;Laval, v;2;;6;388;65;14;40;4;45;37;3;208;6;
466;Fabre;2018-10-01;G;Laval, v;2;;7;387;64;9;38;2;19;29;5;166;5;
466;Fabre;2018-10-01;G;Laval, v;2;;8;404;47;11;41;1;37;32;5;174;6;
466;Fabre;2018-10-01;G;Laval, v;2;;9;394;61;4;38;0;30;22;2;157;4;
466;Fabre;2018-10-01;G;Laval, v;2;;10;402;68;5;39;0;30;34;3;179;3;
466;Fabre;2018-10-01;G;Laval, v;2;;11;410;82;8;40;1;36;27;5;199;7;
466;Fabre;2018-10-01;G;Laval, v;2;;12;416;75;5;43;3;45;32;5;208;1;
466;Fabre;2018-10-01;G;Laval, v;2;;13;385;56;0;42;1;29;31;6;165;4;
466;Fabre;2018-10-01;G;Laval, v;2;;14;395;68;4;14;2;47;26;3;164;1;
466;Fabre;2018-10-01;G;Laval, v;2;;15;406;72;12;30;3;47;18;5;187;1;
466;Fabre;2018-10-01;G;Laval, v;2;;16;399;77;1;41;0;55;37;1;212;4;
466;Fabre;2018-10-01;G;Laval, v;2;;17;406;46;4;19;4;53;18;2;146;1;
466;Fabre;2018-10-01;G;Laval, v;2;;18;402;63;7;25;2;97;22;4;220;5;
466;Fabre;2018-10-01;G;Laval, v;2;;19;410;78;9;43;1;51;28;3;213;2;
466;Fabre;2018-10-01;G;Laval, v;2;;20;404;74;4;33;2;51;32;1;197;2;
466;Fabre;2018-10-01;G;Laval, v;2;;21;394;57;5;19;5;77;18;6;187;2;
466;Fabre;2018-10-01;G;Laval, v;2;;22;393;68;6;34;3;52;20;3;186;8;
466;Fabre;2018-10-01;G;Laval, v;3;;23;416;83;8;48;0;63;31;5;238;7;
466;Fabre;2018-10-01;G;Laval, v;3;;24;410;81;11;32;1;61;34;0;220;5;
466;Fabre;2018-10-01;G;Laval, v;3;;25;400;40;9;26;0;51;32;6;164;1;
466;Fabre;2018-10-01;G;Laval, v;3;;26;405;77;10;38;1;60;19;1;206;2;
466;Fabre;2018-10-01;G;Laval, v;3;;27;398;49;1;14;4;96;12;5;181;5;
466;Fabre;2018-10-01;G;Laval, v;3;;28;408;76;5;31;3;57;30;6;208;6;
466;Fabre;2018-10-01;G;Laval, v;3;;29;420;45;1;8;1;127;10;4;196;2;
466;Fabre;2018-10-01;G;Laval, v;3;;30;417;89;4;18;2;64;23;3;203;0;
466;Fabre;2018-10-01;G;Laval, v;3;;31;384;51;4;12;1;103;17;0;188;4;
466;Fabre;2018-10-01;G;Laval, v;3;;32;415;66;2;15;3;110;15;8;219;2;
466;Fabre;2018-10-01;G;Laval, v;3;;33;409;46;4;20;1;96;12;10;189;4;
466;Fabre;2018-10-01;G;Laval, v;4;;34;400;52;8;6;1;113;16;8;204;3;
466;Fabre;2018-10-01;G;Laval, v;4;;35;407;82;1;20;1;89;25;4;222;4;
466;Fabre;2018-10-01;G;Laval, v;4;;36;392;77;5;38;1;59;26;0;206;2;
466;Fabre;2018-10-01;G;Laval, v;4;;37;388;84;9;23;2;64;23;6;211;2;
466;Fabre;2018-10-01;G;Laval, v;4;;38;391;59;6;40;2;59;20;5;191;1;
466;Fabre;2018-10-01;G;Laval, v;4;;39;388;55;5;28;1;82;21;4;196;2;
466;Fabre;2018-10-01;G;Laval, v;4;;40;395;79;5;24;0;97;25;7;237;3;
466;Fabre;2018-10-01;G;Laval, v;5;;41;404;87;3;34;1;77;18;3;223;2;
466;Fabre;2018-10-01;G;Laval, v;5;;42;402;69;11;43;2;67;26;3;221;6;
466;Fabre;2018-10-01;G;Laval, v;5;;43;390;75;3;32;2;56;23;2;193;3;
466;Fabre;2018-10-01;G;Laval, v;5;;44;392;58;6;18;2;86;20;12;202;1;
466;Fabre;2018-10-01;G;Laval, v;5;;45;410;70;5;34;0;70;21;8;208;0;
466;Fabre;2018-10-01;G;Laval, v;5;;46;402;74;7;37;0;73;23;3;217;4;
466;Fabre;2018-10-01;G;Laval, v;5;;47;410;71;8;35;5;87;25;4;235;0;
466;Fabre;2018-10-01;G;Laval, v;5;;48;396;52;3;43;3;48;15;0;164;1;
466;Fabre;2018-10-01;G;Laval, v;5;;49;383;34;3;19;0;97;11;9;173;3;
466;Fabre;2018-10-01;G;Laval, v;5;;50;404;46;2;22;2;107;18;3;200;3;
466;Fabre;2018-10-01;G;Laval, v;5;;51;404;49;3;11;0;100;5;8;176;1;
466;Fabre;2018-10-01;G;Laval, v;5;;52;401;44;3;13;0;88;7;3;158;1;
466;Fabre;2018-10-01;G;Laval, v;5;;53;392;21;1;2;2;111;4;1;142;0;
466;Fabre;2018-10-01;G;Laval, v;5;;54;403;29;1;9;2;118;0;4;163;1;
466;Fabre;2018-10-01;G;Laval, v;5;;55A;231;19;3;7;1;49;4;3;86;0;
466;Fabre;2018-10-01;G;Laval, v;5;;55B;227;28;1;2;1;48;5;2;87;1;
466;Fabre;2018-10-01;G;Laval, v;5;;56;381;55;2;8;3;75;8;1;152;2;
