Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boulay Alexandre P.L.Q./Q.L.P.;Dumont-Blanchet Alexis Q.S.;LeBouthillier Louis C.A.Q.-É.F.L.;Perry Mélançon Méganne P.Q.;B.V.;B.R.;
854;Gaspé;2018-10-01;G;Cap-Chat, v;1;;1;351;9;21;39;49;118;2;
854;Gaspé;2018-10-01;G;Cap-Chat, v;1;;2;332;11;22;34;24;91;0;
854;Gaspé;2018-10-01;G;Cap-Chat, v;1;;3;341;14;21;29;33;97;0;
854;Gaspé;2018-10-01;G;Cap-Chat, v;1;;4;354;20;22;42;30;114;5;
854;Gaspé;2018-10-01;G;Cap-Chat, v;1;;5;341;21;17;18;24;80;2;
854;Gaspé;2018-10-01;G;Cap-Chat, v;1;;6;337;17;19;29;34;99;5;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;1;;7;321;22;15;32;30;99;1;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;1;;8;319;14;20;38;29;101;1;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;1;;9;291;17;16;31;24;88;2;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;1;;10;315;13;30;36;20;99;6;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;2;;11;385;38;13;32;29;112;5;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;2;;12;373;24;17;30;35;106;7;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;2;;13;408;42;26;28;39;135;4;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;2;;14;392;31;19;38;29;117;0;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;2;;15;382;36;25;25;21;107;2;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;3;;16;356;14;21;33;32;100;4;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;3;;17;335;24;17;31;26;98;1;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;3;;18;322;15;14;29;18;76;0;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;3;;19;324;19;9;41;15;84;1;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;3;;20;328;11;25;46;22;104;3;
854;Gaspé;2018-10-01;G;Sainte-Anne-des-Monts, v;3;;21;359;24;18;40;30;112;0;
854;Gaspé;2018-10-01;G;Mont-Albert, no;1;;22;163;15;12;31;14;72;4;
854;Gaspé;2018-10-01;G;La Martre, m;1;;23;204;10;43;17;33;103;1;
854;Gaspé;2018-10-01;G;Marsoui, vl;1;;24;236;30;10;36;44;120;4;
854;Gaspé;2018-10-01;G;Rivière-à-Claude, m;1;;25;114;33;6;16;14;69;0;
854;Gaspé;2018-10-01;G;Mont-Saint-Pierre, vl;1;;26;148;28;10;24;23;85;3;
854;Gaspé;2018-10-01;G;Saint-Maxime-du-Mont-Louis, m;1;;27;301;28;24;34;39;125;3;
854;Gaspé;2018-10-01;G;Saint-Maxime-du-Mont-Louis, m;1;;28;298;16;17;34;40;107;2;
854;Gaspé;2018-10-01;G;Saint-Maxime-du-Mont-Louis, m;1;;29;351;39;6;30;20;95;1;
854;Gaspé;2018-10-01;G;Sainte-Madeleine-de-la-Rivière-Madeleine, m;1;;30;271;51;9;29;25;114;2;
854;Gaspé;2018-10-01;G;Murdochville, v;1;;31;273;23;8;26;43;100;4;
854;Gaspé;2018-10-01;G;Murdochville, v;1;;32;239;24;6;24;38;92;1;
854;Gaspé;2018-10-01;G;Grande-Vallée, m;1;;33;301;50;13;28;63;154;2;
854;Gaspé;2018-10-01;G;Grande-Vallée, m;1;;34;302;50;13;35;36;134;4;
854;Gaspé;2018-10-01;G;Grande-Vallée, m;1;;35;323;66;11;34;58;169;0;
854;Gaspé;2018-10-01;G;Petite-Vallée, m;1;;36;146;28;9;22;32;91;2;
854;Gaspé;2018-10-01;G;Cloridorme, ct;1;;37;279;55;9;33;29;126;1;
854;Gaspé;2018-10-01;G;Cloridorme, ct;1;;38;293;51;11;27;39;128;1;
854;Gaspé;2018-10-01;G;Gaspé, v;1;;39;357;46;17;19;55;137;6;
854;Gaspé;2018-10-01;G;Gaspé, v;1;;40;365;37;20;21;63;141;1;
854;Gaspé;2018-10-01;G;Gaspé, v;1;;41;353;44;11;25;61;141;2;
854;Gaspé;2018-10-01;G;Gaspé, v;2;;42;365;47;11;22;54;134;0;
854;Gaspé;2018-10-01;G;Gaspé, v;2;;43;353;49;11;28;57;145;0;
854;Gaspé;2018-10-01;G;Gaspé, v;2;;44;393;63;14;13;49;139;3;
854;Gaspé;2018-10-01;G;Gaspé, v;2;;45;355;38;10;31;55;134;1;
854;Gaspé;2018-10-01;G;Gaspé, v;2;;46;354;54;11;19;35;119;0;
854;Gaspé;2018-10-01;G;Gaspé, v;2;;47;367;57;13;21;67;158;1;
854;Gaspé;2018-10-01;G;Gaspé, v;3;;48;337;40;18;13;75;146;5;
854;Gaspé;2018-10-01;G;Gaspé, v;3;;49;410;45;43;35;61;184;3;
854;Gaspé;2018-10-01;G;Gaspé, v;3;;50;286;40;44;19;58;161;2;
854;Gaspé;2018-10-01;G;Gaspé, v;4;;51;386;65;28;10;43;146;6;
854;Gaspé;2018-10-01;G;Gaspé, v;4;;52;417;90;24;22;80;216;2;
854;Gaspé;2018-10-01;G;Gaspé, v;4;;53;375;65;12;16;64;157;1;
854;Gaspé;2018-10-01;G;Gaspé, v;5;;54;353;49;9;17;49;124;3;
854;Gaspé;2018-10-01;G;Gaspé, v;5;;55;355;28;28;14;35;105;1;
854;Gaspé;2018-10-01;G;Gaspé, v;5;;56;327;51;20;14;40;125;2;
854;Gaspé;2018-10-01;G;Gaspé, v;5;;57;350;37;14;17;47;115;1;
854;Gaspé;2018-10-01;G;Gaspé, v;5;;58;346;51;31;15;55;152;5;
854;Gaspé;2018-10-01;G;Gaspé, v;6;;59;361;48;17;7;57;129;3;
854;Gaspé;2018-10-01;G;Gaspé, v;6;;60;373;60;27;15;55;157;2;
854;Gaspé;2018-10-01;G;Gaspé, v;6;;61;361;79;15;25;74;193;5;
854;Gaspé;2018-10-01;G;Gaspé, v;6;;62;388;91;28;20;56;195;1;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;63;402;87;26;12;25;150;3;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;64;371;71;19;10;51;151;0;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;65;332;26;11;11;23;71;0;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;66;387;40;41;11;58;150;4;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;67;396;63;40;21;73;197;0;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;68;413;64;22;12;73;171;5;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;69A;217;42;26;9;20;97;2;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;69B;211;49;19;6;22;96;4;
854;Gaspé;2018-10-01;G;Gaspé, v;7;;70;387;81;42;22;26;171;2;
854;Gaspé;2018-10-01;G;Percé, v;1;;71;317;70;17;17;20;124;0;
854;Gaspé;2018-10-01;G;Percé, v;1;;72;313;81;2;8;4;95;1;
854;Gaspé;2018-10-01;G;Percé, v;1;;73;298;54;13;32;22;121;0;
854;Gaspé;2018-10-01;G;Percé, v;2;;74;356;35;20;32;63;150;2;
854;Gaspé;2018-10-01;G;Percé, v;2;;75;334;44;15;19;38;116;5;
