Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belec Mario P.C.Q./C.P.Q.;Bernard Milan Q.S.;Boychuk Jasper P.V.Q./G.P.Q.;Bussière Robert C.A.Q.-É.F.L.;Carreiro-Benoit Jonathan P.Q.;Deschênes Alexandre P.M.L.Q.;Farrell Luce P.L.Q./Q.L.P.;B.V.;B.R.
614;Gatineau;2018-10-01;G;La Pêche, m;1;;1;362;10;10;5;96;12;0;35;168;2
614;Gatineau;2018-10-01;G;La Pêche, m;2;;2;244;2;19;3;75;8;1;18;126;1
614;Gatineau;2018-10-01;G;La Pêche, m;3;;3;263;1;11;4;93;4;0;20;133;0
614;Gatineau;2018-10-01;G;La Pêche, m;4;;4;381;2;22;2;111;6;0;27;170;0
614;Gatineau;2018-10-01;G;La Pêche, m;4;;5;385;5;24;1;102;2;0;50;184;0
614;Gatineau;2018-10-01;G;La Pêche, m;4;;6;378;1;26;2;100;8;0;33;170;2
614;Gatineau;2018-10-01;G;La Pêche, m;4;;7;382;0;10;5;98;10;1;38;162;3
614;Gatineau;2018-10-01;G;La Pêche, m;4;;8;373;5;23;3;108;13;1;23;176;4
614;Gatineau;2018-10-01;G;La Pêche, m;4;;9;379;1;15;24;54;4;1;66;165;4
614;Gatineau;2018-10-01;G;La Pêche, m;5;;10;326;1;12;12;33;6;0;83;147;0
614;Gatineau;2018-10-01;G;La Pêche, m;5;;11;327;2;13;15;48;7;1;78;164;1
614;Gatineau;2018-10-01;G;La Pêche, m;5;;12;328;3;10;10;13;4;0;95;135;0
614;Gatineau;2018-10-01;G;La Pêche, m;6;;13;381;8;19;14;14;3;0;92;150;0
614;Gatineau;2018-10-01;G;La Pêche, m;6;;14;390;3;13;21;29;3;0;103;172;2
614;Gatineau;2018-10-01;G;La Pêche, m;6;;15;386;5;15;31;26;2;0;119;198;0
614;Gatineau;2018-10-01;G;La Pêche, m;6;;16;394;6;15;13;40;11;1;101;187;1
614;Gatineau;2018-10-01;G;La Pêche, m;6;;17;397;12;25;14;37;7;1;69;165;0
614;Gatineau;2018-10-01;G;Cantley, m;1;;18;383;2;21;6;54;15;0;40;138;1
614;Gatineau;2018-10-01;G;Cantley, m;1;;19;387;9;41;10;57;8;1;24;150;2
614;Gatineau;2018-10-01;G;Cantley, m;1;;20;398;7;18;3;86;18;0;36;168;1
614;Gatineau;2018-10-01;G;Cantley, m;1;;21;390;6;26;5;101;17;0;32;187;2
614;Gatineau;2018-10-01;G;Cantley, m;1;;22;382;5;22;6;87;19;2;43;184;2
614;Gatineau;2018-10-01;G;Cantley, m;1;;23;387;6;27;8;90;16;0;37;184;1
