Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchemin Chantal P.Q.;Bélanger Pierre P.C.Q./C.P.Q.;Bonnardel François C.A.Q.-É.F.L.;Deschamps Stéphane P.N.;Laverdure Lyne P.L.Q./Q.L.P.;Legault Anne-Sophie Q.S.;Poulin Daphné P.V.Q./G.P.Q.;Robidas Kevin B.P.;B.V.;B.R.;
206;Granby;2018-10-01;G;Granby, v;1;;1;369;17;4;129;1;20;18;4;0;193;4;
206;Granby;2018-10-01;G;Granby, v;1;;2;374;11;1;102;1;21;24;1;2;163;2;
206;Granby;2018-10-01;G;Granby, v;1;;3;377;16;5;112;2;27;9;1;0;172;2;
206;Granby;2018-10-01;G;Granby, v;1;;4;371;8;4;103;0;26;12;2;0;155;6;
206;Granby;2018-10-01;G;Granby, v;1;;5;364;13;2;117;1;26;12;5;1;177;3;
206;Granby;2018-10-01;G;Granby, v;1;;6;375;9;2;121;1;25;10;0;0;168;0;
206;Granby;2018-10-01;G;Granby, v;1;;7;366;13;2;128;0;24;26;0;1;194;2;
206;Granby;2018-10-01;G;Granby, v;1;;8;377;8;0;111;0;11;41;1;0;172;0;
206;Granby;2018-10-01;G;Granby, v;2;;9;411;18;3;132;0;24;36;4;0;217;3;
206;Granby;2018-10-01;G;Granby, v;2;;10;399;17;2;143;1;15;23;4;3;208;3;
206;Granby;2018-10-01;G;Granby, v;2;;11;417;26;2;162;4;22;30;9;2;257;1;
206;Granby;2018-10-01;G;Granby, v;2;;12;410;23;3;114;1;26;24;5;2;198;4;
206;Granby;2018-10-01;G;Granby, v;2;;13;411;29;2;142;0;28;37;1;1;240;2;
206;Granby;2018-10-01;G;Granby, v;2;;14;412;10;4;122;4;27;28;2;0;197;4;
206;Granby;2018-10-01;G;Granby, v;2;;15;404;25;1;100;3;13;33;5;0;180;5;
206;Granby;2018-10-01;G;Granby, v;3;;16;412;11;1;101;2;21;24;3;1;164;3;
206;Granby;2018-10-01;G;Granby, v;3;;17;417;21;2;110;0;24;55;4;1;217;3;
206;Granby;2018-10-01;G;Granby, v;3;;18A;209;7;0;61;1;7;18;1;0;95;2;
206;Granby;2018-10-01;G;Granby, v;3;;18B;218;10;1;43;3;6;25;1;4;93;3;
206;Granby;2018-10-01;G;Granby, v;3;;19;396;13;2;79;0;11;23;3;1;132;3;
206;Granby;2018-10-01;G;Granby, v;3;;20;400;16;3;112;0;18;26;2;1;178;1;
206;Granby;2018-10-01;G;Granby, v;3;;21;417;26;4;97;0;15;26;6;1;175;2;
206;Granby;2018-10-01;G;Granby, v;3;;22;402;25;1;96;1;10;45;4;2;184;3;
206;Granby;2018-10-01;G;Granby, v;4;;23;387;29;1;129;0;28;36;6;0;229;1;
206;Granby;2018-10-01;G;Granby, v;4;;24;394;22;2;127;0;22;37;1;0;211;1;
206;Granby;2018-10-01;G;Granby, v;4;;25;406;18;1;140;0;21;43;1;0;224;2;
206;Granby;2018-10-01;G;Granby, v;4;;26;402;21;2;153;1;19;35;1;0;232;3;
206;Granby;2018-10-01;G;Granby, v;4;;27;403;6;3;141;0;28;42;1;0;221;3;
206;Granby;2018-10-01;G;Granby, v;4;;28;398;22;1;145;2;25;30;2;0;227;3;
206;Granby;2018-10-01;G;Granby, v;4;;29;392;20;3;135;2;29;28;6;0;223;0;
206;Granby;2018-10-01;G;Granby, v;4;;30;404;29;2;115;2;34;20;3;0;205;2;
206;Granby;2018-10-01;G;Granby, v;4;;31;393;22;3;90;0;33;34;2;0;184;6;
206;Granby;2018-10-01;G;Granby, v;5;;32;379;30;2;117;0;36;44;5;0;234;1;
