Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubé Vincent P.C.Q./C.P.Q.;Chartrand Sabrina P.L.Q./Q.L.P.;Dick Robin P.V.Q./G.P.Q.;Girard Eric C.A.Q.-É.F.L.;Lavoie Chantal C.P.Q.;Meloche Jean-Philippe P.Q.;Surprenant Claude Ind;Torres Fabien Q.S.;B.V.;B.R.;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;1;409;0;47;6;102;0;54;13;48;270;0;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;2;407;0;59;3;104;2;52;5;56;281;2;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;3;402;3;37;5;109;1;36;2;38;231;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;4;401;0;49;8;95;1;30;8;25;216;2;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;5;414;3;54;2;115;0;48;3;31;256;6;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;6;394;2;66;5;91;1;44;1;45;255;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;7A;199;0;18;3;56;0;10;4;7;98;1;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;7B;220;1;33;2;55;3;19;8;20;141;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;8;393;2;38;5;72;0;44;9;60;230;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;9;412;0;35;9;78;0;55;3;58;238;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;1;;10;410;3;60;6;97;1;35;7;38;247;0;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;2;;11;356;3;15;8;70;2;34;1;42;175;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;2;;12;366;0;27;1;60;1;24;6;35;154;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;2;;13;362;0;10;4;54;2;40;7;56;173;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;2;;14;363;4;19;3;52;2;38;6;60;184;0;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;2;;15;359;2;17;4;74;1;43;5;48;194;0;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;2;;16;369;0;22;3;81;4;25;4;28;167;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;17;376;3;25;4;53;5;23;4;34;151;1;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;18;390;0;11;2;81;1;24;1;47;167;9;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;19;377;0;15;8;53;2;34;0;52;164;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;20;374;1;23;5;62;0;46;6;45;188;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;21;380;0;15;8;52;2;43;8;55;183;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;22;378;3;17;3;52;3;33;1;56;168;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;23;379;1;26;6;52;1;37;5;51;179;2;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;24A;216;0;19;0;30;1;11;2;6;69;2;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;24B;219;1;15;3;38;0;17;1;28;103;2;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;25;386;3;23;3;54;2;42;9;59;195;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;3;;26;362;2;17;4;60;2;45;2;40;172;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;27;402;1;21;8;74;4;48;1;48;205;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;28;387;1;21;3;71;2;39;3;40;180;2;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;29;411;1;28;3;101;1;43;4;44;225;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;30;392;3;31;2;71;0;30;5;22;164;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;31;399;2;31;6;65;1;41;2;39;187;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;32;382;1;20;6;66;1;17;9;42;162;6;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;33;396;4;18;7;53;2;32;4;63;183;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;4;;34;403;7;17;6;63;5;27;2;42;169;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;5;;35;392;2;11;2;73;3;36;0;35;162;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;5;;36;391;3;31;1;79;1;34;4;33;186;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;5;;37;412;5;30;2;68;4;24;3;35;171;1;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;5;;38;399;3;25;5;83;1;42;3;43;205;8;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;5;;39;399;1;15;4;88;1;26;1;40;176;6;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;5;;40;402;5;11;6;87;3;42;6;48;208;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;41A;201;3;9;1;32;2;12;3;23;85;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;41B;233;1;14;1;39;0;22;6;19;102;1;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;42;405;4;36;6;101;1;32;3;34;217;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;43;392;0;44;3;78;0;15;1;23;164;1;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;44;404;2;47;1;102;0;22;0;33;207;1;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;45;388;3;31;5;77;2;27;1;31;177;5;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;46;414;3;37;9;86;1;39;8;44;227;4;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;47;419;6;27;5;100;4;41;4;35;222;7;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;48;418;3;24;1;81;3;25;5;43;185;6;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;49;414;2;31;6;91;1;27;1;40;199;6;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;50;403;2;45;3;108;0;25;3;42;228;3;
502;Groulx;2018-10-01;G;Sainte-Thérèse, v;6;;51;405;0;68;2;126;0;25;1;37;259;0;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;52;381;1;29;3;87;2;40;3;39;204;4;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;53;396;1;25;1;85;3;32;4;36;187;7;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;54A;264;0;23;1;51;0;13;4;12;104;3;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;54B;261;0;23;2;49;2;21;2;16;115;1;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;55A;241;1;20;7;47;0;12;2;7;96;0;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;55B;244;1;29;3;68;1;17;1;12;132;4;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;56;389;6;23;3;61;4;34;2;35;168;3;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;57;418;2;39;3;108;3;37;6;27;225;2;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;58;393;1;26;1;97;1;38;2;52;218;5;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;59;387;0;33;2;127;1;39;5;49;256;8;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;60;373;0;40;7;95;1;31;2;37;213;2;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;61;379;3;34;6;118;1;33;3;54;252;4;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;62;389;3;27;4;114;0;46;2;36;232;6;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;63;383;2;46;4;80;1;33;0;46;212;0;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;64;377;5;37;5;76;0;26;2;39;190;5;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;65A;230;21;16;1;46;2;11;6;20;123;1;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;65B;200;0;1;0;16;0;4;1;5;27;1;
502;Groulx;2018-10-01;G;Boisbriand, v;1;Regr. BVDS-1;66;382;0;0;0;0;0;0;0;0;0;0;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;67;407;0;6;0;28;1;7;0;13;55;1;
502;Groulx;2018-10-01;G;Boisbriand, v;1;;68;395;3;28;3;74;7;24;2;54;195;5;
502;Groulx;2018-10-01;G;Boisbriand, v;2;;69;397;2;55;4;115;0;20;8;43;247;1;
502;Groulx;2018-10-01;G;Boisbriand, v;2;;70;382;1;39;8;109;3;31;3;45;239;2;
502;Groulx;2018-10-01;G;Boisbriand, v;2;;71;412;5;38;6;99;2;48;5;62;265;3;
502;Groulx;2018-10-01;G;Boisbriand, v;2;;72;413;1;23;3;88;5;29;3;47;199;10;
502;Groulx;2018-10-01;G;Boisbriand, v;2;;73;388;0;54;4;107;1;23;4;51;244;6;
502;Groulx;2018-10-01;G;Boisbriand, v;2;;74;403;8;54;5;121;1;29;4;46;268;1;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;75;391;2;36;6;96;1;31;7;54;233;2;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;76;388;3;48;2;130;0;42;12;47;284;4;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;77;372;3;34;5;88;2;27;11;62;232;8;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;78;383;3;14;7;116;3;34;4;29;210;4;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;79;378;0;32;1;129;1;32;5;29;229;6;
502;Groulx;2018-10-01;G;Boisbriand, v;3;;80;371;2;29;7;90;2;42;2;41;215;1;
