Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baland Eric-Abel N.P.D.Q.;Beaudoin Mathieu P.C.Q./C.P.Q.;Beaumier Sarah C.A.Q.-É.F.L.;Boily Gabriel C.P.Q.;Dandenault Christine P.M.L.Q.;Leduc Alexandre Q.S.;Mallette Etienne B.P.;Poirier Carole P.Q.;Provencher-Proulx Julien P.L.Q./Q.L.P.;B.V.;B.R.;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;326;;1;376;5;1;13;1;0;102;3;33;24;182;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;326;;2;368;5;2;25;0;0;67;4;32;27;162;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;326;;3;369;1;0;26;2;1;95;1;30;12;168;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;326;;4;359;0;1;29;0;1;75;0;33;14;153;6;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;326;;5;360;4;2;17;1;0;85;2;28;15;154;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;326;;6;356;2;0;26;2;0;88;0;32;29;179;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;7;396;2;2;16;5;1;56;4;40;48;174;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;8;387;1;3;20;0;2;82;1;28;33;170;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;9;401;0;2;21;2;0;87;5;35;28;180;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;10;378;4;2;29;1;0;77;3;39;39;194;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;11;409;3;1;16;0;0;93;5;31;18;167;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;327;;12;398;1;2;35;3;0;44;0;32;23;140;1;
