Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourdon Rachel C.A.Q.-É.F.L.;Chaussé Jean-Philippe P.C.Q./C.P.Q.;Gaudreault Maryse P.L.Q./Q.L.P.;Jetté Marco C.P.Q.;Nadeau Marysa P.Q.;Pilon Patricia P.V.Q./G.P.Q.;Renaud Benoit Q.S.;Soublière Pierre P.M.L.Q.;St-Jean Nichola N.P.D.Q.;B.V.;B.R.;
602;Hull;2018-10-01;G;Gatineau, v;7;;1;375;53;4;76;0;24;11;24;0;3;195;2;
602;Hull;2018-10-01;G;Gatineau, v;7;;2A;207;23;2;32;0;12;6;11;0;2;88;2;
602;Hull;2018-10-01;G;Gatineau, v;7;;2B;224;32;3;35;0;8;1;18;1;4;102;1;
602;Hull;2018-10-01;G;Gatineau, v;7;;3;398;58;0;74;0;22;8;36;1;2;201;3;
602;Hull;2018-10-01;G;Gatineau, v;7;;4;374;50;2;67;0;19;6;29;0;2;175;0;
602;Hull;2018-10-01;G;Gatineau, v;7;;5;376;51;4;51;1;22;6;17;0;7;159;5;
602;Hull;2018-10-01;G;Gatineau, v;7;;6;408;34;4;68;0;18;4;24;0;4;156;2;
602;Hull;2018-10-01;G;Gatineau, v;7;;7;398;54;7;70;1;16;8;13;0;4;173;0;
602;Hull;2018-10-01;G;Gatineau, v;7;;8A;283;34;3;46;0;17;3;21;0;4;128;0;
602;Hull;2018-10-01;G;Gatineau, v;7;;8B;261;39;2;45;1;16;2;9;0;3;117;5;
602;Hull;2018-10-01;G;Gatineau, v;7;;9;415;47;4;71;0;16;8;25;0;5;176;1;
602;Hull;2018-10-01;G;Gatineau, v;7;;10;401;71;3;55;0;11;7;30;0;4;181;1;
602;Hull;2018-10-01;G;Gatineau, v;7;;11;413;44;9;36;0;16;6;32;0;6;149;3;
602;Hull;2018-10-01;G;Gatineau, v;7;;12;380;56;3;52;0;18;4;30;0;6;169;0;
602;Hull;2018-10-01;G;Gatineau, v;7;;13;388;51;0;74;0;26;9;17;0;6;183;2;
602;Hull;2018-10-01;G;Gatineau, v;7;;14;392;44;5;83;0;19;4;31;0;5;191;1;
602;Hull;2018-10-01;G;Gatineau, v;7;;15;383;44;1;53;0;30;9;37;0;7;181;2;
602;Hull;2018-10-01;G;Gatineau, v;7;;16;390;40;5;76;0;8;2;10;0;6;147;3;
602;Hull;2018-10-01;G;Gatineau, v;7;;17;401;45;3;68;0;14;6;19;0;2;157;1;
602;Hull;2018-10-01;G;Gatineau, v;7;;18A;225;13;1;50;0;5;4;20;0;3;96;0;
602;Hull;2018-10-01;G;Gatineau, v;7;;18B;213;24;3;14;0;3;3;10;0;0;57;0;
602;Hull;2018-10-01;G;Gatineau, v;8;;19;407;36;4;97;0;15;7;19;0;6;184;2;
602;Hull;2018-10-01;G;Gatineau, v;8;;20;395;30;0;41;0;25;6;65;2;3;172;1;
602;Hull;2018-10-01;G;Gatineau, v;8;;21;404;57;1;46;0;30;11;51;1;3;200;2;
602;Hull;2018-10-01;G;Gatineau, v;8;;22;400;35;5;54;0;28;8;58;0;7;195;4;
602;Hull;2018-10-01;G;Gatineau, v;8;;23;414;33;3;77;0;34;7;61;0;9;224;5;
602;Hull;2018-10-01;G;Gatineau, v;8;;24;404;30;0;68;0;20;13;40;0;9;180;3;
602;Hull;2018-10-01;G;Gatineau, v;8;;25;414;51;1;142;0;23;5;17;0;3;242;2;
602;Hull;2018-10-01;G;Gatineau, v;8;;26;401;39;4;68;0;31;9;54;0;12;217;4;
602;Hull;2018-10-01;G;Gatineau, v;8;;27;394;48;3;66;0;32;7;38;0;5;199;3;
602;Hull;2018-10-01;G;Gatineau, v;8;;28;403;49;6;73;0;45;11;61;0;7;252;6;
602;Hull;2018-10-01;G;Gatineau, v;8;;29;404;47;3;51;1;29;8;42;0;4;185;7;
602;Hull;2018-10-01;G;Gatineau, v;8;;30;410;32;1;63;1;23;11;42;0;8;181;1;
602;Hull;2018-10-01;G;Gatineau, v;8;;31;414;43;5;58;1;19;7;41;1;8;183;9;
602;Hull;2018-10-01;G;Gatineau, v;8;;32;414;49;7;68;0;39;9;43;2;8;225;1;
602;Hull;2018-10-01;G;Gatineau, v;8;;33;407;60;4;69;1;25;11;43;1;9;223;1;
602;Hull;2018-10-01;G;Gatineau, v;8;;34;418;33;2;60;0;21;6;43;0;6;171;3;
602;Hull;2018-10-01;G;Gatineau, v;9;;35;410;70;3;98;0;27;6;38;1;4;247;4;
602;Hull;2018-10-01;G;Gatineau, v;9;;36;411;29;3;58;2;10;9;24;0;6;141;0;
602;Hull;2018-10-01;G;Gatineau, v;9;;37;409;75;2;60;0;19;4;32;0;5;197;3;
602;Hull;2018-10-01;G;Gatineau, v;9;;38A;229;21;1;16;1;5;3;13;0;1;61;0;
602;Hull;2018-10-01;G;Gatineau, v;9;;38B;215;20;3;38;1;6;4;12;0;3;87;0;
602;Hull;2018-10-01;G;Gatineau, v;9;;39;398;47;2;74;0;15;6;35;0;5;184;4;
602;Hull;2018-10-01;G;Gatineau, v;9;;40;420;79;3;72;1;29;7;34;0;6;231;2;
602;Hull;2018-10-01;G;Gatineau, v;9;;41;399;71;3;97;0;34;7;25;0;1;238;0;
602;Hull;2018-10-01;G;Gatineau, v;9;;42;406;85;0;46;2;43;8;71;0;1;256;2;
602;Hull;2018-10-01;G;Gatineau, v;9;;43;416;67;5;75;0;28;17;53;0;4;249;2;
602;Hull;2018-10-01;G;Gatineau, v;9;;44;406;77;2;81;1;18;8;50;1;4;242;3;
602;Hull;2018-10-01;G;Gatineau, v;9;;45;406;86;2;65;0;28;9;38;0;5;233;6;
602;Hull;2018-10-01;G;Gatineau, v;9;;46;405;37;2;84;0;21;5;27;0;3;179;4;
602;Hull;2018-10-01;G;Gatineau, v;9;;47;414;53;1;75;1;27;4;27;0;8;196;1;
602;Hull;2018-10-01;G;Gatineau, v;9;;48;422;62;1;76;0;22;3;18;0;2;184;0;
602;Hull;2018-10-01;G;Gatineau, v;9;;49A;213;20;3;32;0;6;2;13;0;3;79;0;
602;Hull;2018-10-01;G;Gatineau, v;9;;49B;243;32;0;36;0;8;3;11;0;5;95;0;
602;Hull;2018-10-01;G;Gatineau, v;9;;50;408;64;5;74;0;21;12;29;2;12;219;2;
602;Hull;2018-10-01;G;Gatineau, v;9;;51;410;56;2;59;0;15;5;20;0;3;160;2;
602;Hull;2018-10-01;G;Gatineau, v;10;;52;389;76;1;80;2;24;7;36;0;6;232;2;
602;Hull;2018-10-01;G;Gatineau, v;10;;53;405;66;0;62;1;44;8;41;0;4;226;1;
602;Hull;2018-10-01;G;Gatineau, v;10;;54;400;62;1;65;1;33;10;25;0;1;198;1;
602;Hull;2018-10-01;G;Gatineau, v;10;;55;378;43;3;49;1;28;12;45;0;4;185;1;
602;Hull;2018-10-01;G;Gatineau, v;10;;56;404;47;0;47;1;36;3;39;0;5;178;0;
602;Hull;2018-10-01;G;Gatineau, v;10;;57;406;39;2;45;0;16;12;23;2;0;139;1;
602;Hull;2018-10-01;G;Gatineau, v;10;;58;380;49;1;60;0;32;5;50;0;1;198;3;
602;Hull;2018-10-01;G;Gatineau, v;10;;59;400;38;0;50;0;26;3;29;0;2;148;4;
602;Hull;2018-10-01;G;Gatineau, v;10;;60;392;47;0;50;0;12;5;11;0;1;126;1;
602;Hull;2018-10-01;G;Gatineau, v;10;;61;396;45;6;48;1;29;7;50;1;4;191;0;
602;Hull;2018-10-01;G;Gatineau, v;10;;62;392;50;5;66;1;46;7;47;2;3;227;2;
602;Hull;2018-10-01;G;Gatineau, v;10;;63;390;72;1;75;1;24;5;38;0;5;221;2;
602;Hull;2018-10-01;G;Gatineau, v;10;;64;390;54;2;67;1;30;4;29;0;3;190;2;
602;Hull;2018-10-01;G;Gatineau, v;10;;65;385;73;7;75;1;46;5;42;0;5;254;2;
602;Hull;2018-10-01;G;Gatineau, v;11;;66;375;48;4;70;0;33;5;50;1;5;216;6;
602;Hull;2018-10-01;G;Gatineau, v;11;;67;373;50;4;47;0;21;3;32;0;1;158;2;
602;Hull;2018-10-01;G;Gatineau, v;11;;68;360;17;4;29;1;5;4;22;0;1;83;1;
602;Hull;2018-10-01;G;Gatineau, v;11;;69;377;24;4;26;0;11;0;6;1;0;72;0;
602;Hull;2018-10-01;G;Gatineau, v;11;;70;376;23;2;43;1;7;1;6;1;2;86;0;
602;Hull;2018-10-01;G;Gatineau, v;11;;71;366;36;3;40;0;13;5;19;0;2;118;0;
602;Hull;2018-10-01;G;Gatineau, v;12;;72;349;40;4;73;0;17;2;19;2;3;160;0;
602;Hull;2018-10-01;G;Gatineau, v;12;;73;333;77;2;42;0;42;10;51;0;3;227;2;
602;Hull;2018-10-01;G;Gatineau, v;12;;74;331;64;4;48;0;25;10;35;0;2;188;1;
602;Hull;2018-10-01;G;Gatineau, v;12;;75;319;29;1;48;0;18;10;17;0;1;124;6;
602;Hull;2018-10-01;G;Gatineau, v;12;;76;333;44;5;46;2;26;7;33;0;4;167;2;
602;Hull;2018-10-01;G;Gatineau, v;13;;77;345;36;1;39;0;15;6;14;0;5;116;3;
602;Hull;2018-10-01;G;Gatineau, v;13;;78;332;45;6;42;0;20;2;23;0;5;143;1;
602;Hull;2018-10-01;G;Gatineau, v;13;;79;345;59;2;61;1;43;5;31;0;3;205;3;
602;Hull;2018-10-01;G;Gatineau, v;13;;80;346;45;5;73;0;25;16;46;0;3;213;4;
602;Hull;2018-10-01;G;Gatineau, v;14;;81;395;39;1;64;0;15;9;24;0;1;153;1;
602;Hull;2018-10-01;G;Gatineau, v;14;;82;377;68;2;63;1;24;3;30;1;4;196;4;
602;Hull;2018-10-01;G;Gatineau, v;14;;83;387;52;1;76;2;24;8;31;0;2;196;2;
602;Hull;2018-10-01;G;Gatineau, v;14;;84;391;40;5;71;4;11;7;23;0;2;163;1;
602;Hull;2018-10-01;G;Gatineau, v;15;;85;355;31;3;38;0;16;6;23;0;2;119;4;
602;Hull;2018-10-01;G;Gatineau, v;15;;86;359;23;2;38;1;8;0;10;2;1;85;0;
602;Hull;2018-10-01;G;Gatineau, v;15;;87;384;43;0;37;0;7;2;21;0;5;115;6;
602;Hull;2018-10-01;G;Gatineau, v;15;;88;367;36;5;52;0;21;5;27;0;2;148;2;
602;Hull;2018-10-01;G;Gatineau, v;15;;89;370;24;1;39;0;18;1;11;0;2;96;0;
602;Hull;2018-10-01;G;Gatineau, v;16;;90;363;37;1;42;2;20;6;27;2;3;140;2;
602;Hull;2018-10-01;G;Gatineau, v;16;;91;376;56;2;57;0;24;3;28;0;2;172;2;
602;Hull;2018-10-01;G;Gatineau, v;16;;92;390;52;1;48;0;31;6;30;0;4;172;2;
602;Hull;2018-10-01;G;Gatineau, v;16;;93;375;45;3;42;0;18;11;25;0;0;144;7;
602;Hull;2018-10-01;G;Gatineau, v;16;;94;381;34;3;35;0;24;5;30;0;3;134;3;
602;Hull;2018-10-01;G;Gatineau, v;16;;95;386;31;2;52;0;27;3;22;1;3;141;2;
602;Hull;2018-10-01;G;Gatineau, v;16;;96;383;49;2;45;0;39;5;42;1;3;186;1;
602;Hull;2018-10-01;G;Gatineau, v;17;;97;413;50;1;52;0;40;8;61;1;3;216;4;
602;Hull;2018-10-01;G;Gatineau, v;17;;98;393;65;3;64;0;41;12;37;1;7;230;2;
602;Hull;2018-10-01;G;Gatineau, v;17;;99;403;54;2;72;2;21;9;46;0;6;212;4;
602;Hull;2018-10-01;G;Gatineau, v;17;;100A;224;20;1;31;0;25;4;20;0;3;104;0;
602;Hull;2018-10-01;G;Gatineau, v;17;;100B;204;14;1;35;0;11;0;5;0;3;69;4;
602;Hull;2018-10-01;G;Gatineau, v;17;;101;410;37;1;43;0;40;11;56;0;3;191;2;
602;Hull;2018-10-01;G;Gatineau, v;17;;102;407;46;1;60;0;42;11;52;0;5;217;3;
602;Hull;2018-10-01;G;Gatineau, v;17;;103;402;47;2;31;0;29;7;44;0;3;163;3;
602;Hull;2018-10-01;G;Gatineau, v;17;;104;425;54;0;53;0;22;7;43;0;5;184;1;
602;Hull;2018-10-01;G;Gatineau, v;17;;105;414;62;2;50;3;24;8;47;2;6;204;1;
602;Hull;2018-10-01;G;Gatineau, v;18;;106;383;20;2;39;0;22;6;57;0;8;154;2;
602;Hull;2018-10-01;G;Gatineau, v;18;;107;422;36;7;51;0;27;5;46;1;3;176;2;
602;Hull;2018-10-01;G;Gatineau, v;18;;108;410;59;2;49;0;22;5;28;0;2;167;2;
602;Hull;2018-10-01;G;Gatineau, v;18;;109;394;53;1;37;1;24;12;45;0;5;178;2;
