Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Billette Stéphane P.L.Q./Q.L.P.;Haliburton Victoria Mary P.V.Q./G.P.Q.;Hébert Huguette P.Q.;Hodgins-Ravensbergen Aiden Q.S.;Isabelle Claire C.A.Q.-É.F.L.;Orme Charles N.P.D.Q.;Ouellette Jérémie P.C.Q./C.P.Q.;B.V.;B.R.;
216;Huntingdon;2018-10-01;G;Akwesasne, r;1;Regr. BVDS-1;1;326;0;0;0;0;0;0;0;0;0;
216;Huntingdon;2018-10-01;G;Akwesasne, r;1;Regr. BVDS-1;2;313;0;0;0;0;0;0;0;0;0;
216;Huntingdon;2018-10-01;G;Akwesasne, r;1;Regr. BVDS-1;3;319;0;0;0;0;0;0;0;0;0;
216;Huntingdon;2018-10-01;G;Akwesasne, r;1;Regr. BVDS-1;4;318;0;0;0;0;0;0;0;0;0;
216;Huntingdon;2018-10-01;G;Dundee, ct;1;;5;276;72;2;21;11;35;2;2;145;0;
216;Huntingdon;2018-10-01;G;Saint-Anicet, m;1;;6;360;47;3;15;16;64;2;2;149;9;
216;Huntingdon;2018-10-01;G;Saint-Anicet, m;1;;7;349;39;2;20;12;49;3;3;128;2;
216;Huntingdon;2018-10-01;G;Saint-Anicet, m;1;;8;360;60;0;19;21;66;0;5;171;3;
216;Huntingdon;2018-10-01;G;Saint-Anicet, m;1;;9;345;55;2;17;13;61;0;2;150;4;
216;Huntingdon;2018-10-01;G;Saint-Anicet, m;1;;10;362;49;6;19;20;71;3;0;168;0;
216;Huntingdon;2018-10-01;G;Saint-Anicet, m;1;;11;349;85;2;12;21;61;1;1;183;5;
216;Huntingdon;2018-10-01;G;Sainte-Barbe, m;1;;12;419;52;4;52;17;101;2;0;228;7;
216;Huntingdon;2018-10-01;G;Sainte-Barbe, m;1;;13;404;69;2;27;28;113;0;1;240;4;
216;Huntingdon;2018-10-01;G;Sainte-Barbe, m;1;;14;372;89;1;26;25;87;1;0;229;3;
216;Huntingdon;2018-10-01;G;Godmanchester, ct;1;;15;382;97;4;8;13;53;0;4;179;0;
