Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Serge P.C.Q./C.P.Q.;Desjardins Dany B.P.;Dionne Nicolas P.Q.;Gaudreau Mylène P.L.Q./Q.L.P.;Jetten-Vigeant Philippe Q.S.;Kolatschek Michelle P.V.Q./G.P.Q.;Renaud Marc-André N.P.D.Q.;Samson Claire C.A.Q.-É.F.L.;B.V.;B.R.;
210;Iberville;2018-10-01;G;Marieville, v;1;;1;374;3;2;35;25;37;2;6;124;234;2;
210;Iberville;2018-10-01;G;Marieville, v;1;;2;385;3;1;33;24;41;2;1;112;217;4;
210;Iberville;2018-10-01;G;Marieville, v;1;;3;397;2;1;63;16;41;4;2;126;255;3;
210;Iberville;2018-10-01;G;Marieville, v;1;;4;397;6;2;48;15;53;2;6;96;228;5;
210;Iberville;2018-10-01;G;Marieville, v;1;;5;373;8;1;57;16;35;11;1;113;242;3;
210;Iberville;2018-10-01;G;Marieville, v;1;;6A;222;2;1;24;5;22;1;3;87;145;1;
210;Iberville;2018-10-01;G;Marieville, v;1;;6B;225;1;0;26;8;28;1;3;70;137;3;
210;Iberville;2018-10-01;G;Marieville, v;1;;7;399;4;3;35;20;63;5;4;91;225;4;
210;Iberville;2018-10-01;G;Marieville, v;1;;8;383;3;6;47;11;41;4;1;99;212;4;
210;Iberville;2018-10-01;G;Marieville, v;1;;9;386;4;3;34;14;37;7;0;100;199;4;
210;Iberville;2018-10-01;G;Marieville, v;1;;10;400;7;1;34;15;42;2;1;107;209;0;
210;Iberville;2018-10-01;G;Marieville, v;1;;11;370;5;3;57;21;32;6;2;121;247;8;
210;Iberville;2018-10-01;G;Marieville, v;2;;12;364;1;0;33;14;33;2;3;108;194;3;
210;Iberville;2018-10-01;G;Marieville, v;2;;13;368;1;0;42;20;33;2;3;91;192;7;
210;Iberville;2018-10-01;G;Marieville, v;2;;14;362;2;2;38;10;33;4;1;94;184;4;
210;Iberville;2018-10-01;G;Marieville, v;2;;15;354;3;4;32;7;30;2;1;74;153;2;
210;Iberville;2018-10-01;G;Marieville, v;2;;16;366;2;1;25;17;39;3;3;104;194;5;
210;Iberville;2018-10-01;G;Marieville, v;2;;17;373;3;2;35;17;39;4;1;107;208;3;
210;Iberville;2018-10-01;G;Marieville, v;2;;18;372;4;1;44;8;40;6;0;128;231;2;
210;Iberville;2018-10-01;G;Marieville, v;2;;19;372;2;1;36;15;36;3;1;93;187;8;
210;Iberville;2018-10-01;G;Marieville, v;2;;20;360;3;0;31;13;49;2;2;115;215;4;
210;Iberville;2018-10-01;G;Marieville, v;2;;21;361;0;3;25;24;29;4;0;107;192;2;
210;Iberville;2018-10-01;G;Sainte-Angèle-de-Monnoir, m;1;;22;343;6;2;70;20;48;7;2;94;249;2;
210;Iberville;2018-10-01;G;Sainte-Angèle-de-Monnoir, m;1;;23;339;2;3;26;26;28;1;1;85;172;3;
210;Iberville;2018-10-01;G;Sainte-Angèle-de-Monnoir, m;1;;24;340;6;3;49;17;57;3;0;85;220;3;
210;Iberville;2018-10-01;G;Sainte-Angèle-de-Monnoir, m;1;;25;347;5;3;37;20;44;3;0;117;229;3;
210;Iberville;2018-10-01;G;Mont-Saint-Grégoire, m;1;;26;399;3;1;43;30;48;4;3;108;240;1;
210;Iberville;2018-10-01;G;Mont-Saint-Grégoire, m;1;;27;413;5;3;47;39;55;4;0;117;270;3;
210;Iberville;2018-10-01;G;Mont-Saint-Grégoire, m;1;;28;423;4;2;43;20;59;6;4;106;244;4;
210;Iberville;2018-10-01;G;Mont-Saint-Grégoire, m;1;;29;390;4;1;45;30;47;4;2;108;241;2;
210;Iberville;2018-10-01;G;Mont-Saint-Grégoire, m;1;;30;416;7;3;32;20;54;8;4;88;216;7;
210;Iberville;2018-10-01;G;Mont-Saint-Grégoire, m;1;;31;396;3;1;33;28;46;4;2;115;232;3;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;32;374;5;3;41;28;44;7;0;110;238;2;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;33;376;2;1;30;20;31;6;1;95;186;5;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;34;385;3;0;35;15;28;4;0;92;177;4;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;35;380;0;2;49;29;35;6;1;77;199;5;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;36;389;4;0;38;29;49;0;0;132;252;1;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;37;380;2;1;36;15;31;4;1;136;226;5;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;38;404;4;2;52;24;39;1;5;129;256;3;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;39;393;3;1;43;15;31;6;2;122;223;7;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;40;394;2;1;44;21;38;5;2;109;222;3;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;23;;41;391;3;1;35;21;28;1;3;96;188;2;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;42;367;9;6;37;24;39;0;2;103;220;0;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;43;369;4;4;35;17;44;7;2;85;198;5;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;44;391;4;2;35;15;37;2;1;100;196;2;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;45;381;2;1;42;18;28;2;1;86;180;0;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;46;377;4;3;31;18;48;3;2;100;209;2;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;47;378;3;2;34;20;37;5;0;105;206;3;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;48;372;3;0;40;24;36;7;1;93;204;4;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;49;372;0;0;29;21;42;2;1;104;199;2;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;50;394;6;1;39;20;39;2;2;74;183;4;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;51;369;3;0;47;15;36;0;4;91;196;8;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;52;379;6;0;34;33;35;6;0;82;196;5;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;24;;53;366;2;1;32;18;39;2;2;82;178;5;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;25;;54;410;3;3;53;34;38;6;1;76;214;6;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;25;;55;409;4;2;54;19;42;6;4;68;199;4;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;25;;56;412;2;0;33;17;33;6;0;94;185;3;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;25;;57;410;3;2;35;15;37;6;1;94;193;6;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;25;;58;395;3;1;37;27;21;4;0;88;181;3;
210;Iberville;2018-10-01;G;Saint-Jean-sur-Richelieu, v;25;;59;398;4;2;35;13;23;1;1;75;154;4;
