Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arseneau Joël P.Q.;Boudreau-Welsh Robert Q.S.;Lapierre Maryse P.L.Q./Q.L.P.;Renaud Yves C.A.Q.-É.F.L.;B.V.;B.R.;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;1;84;4;13;24;0;41;0;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;2;387;74;39;89;18;220;5;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;3;391;84;24;89;21;218;5;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;4;375;82;37;69;13;201;3;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;5;385;67;36;94;26;223;8;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;6;381;69;34;78;28;209;2;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;7;387;65;42;87;23;217;6;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;8;407;95;43;72;23;233;7;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;9;423;86;38;102;28;254;3;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;10;410;103;33;74;19;229;10;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;11;404;85;31;85;21;222;6;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;12;353;78;31;60;21;190;6;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;13;345;67;16;79;25;187;3;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;14;361;51;24;95;21;191;5;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;15;335;62;18;70;16;166;3;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;16;335;59;26;80;26;191;2;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;17;391;85;40;87;24;236;3;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;18;386;105;17;58;27;207;4;
858;Îles-de-la-Madeleine;2018-10-01;G;Les Îles-de-la-Madeleine, m;1;;19A;209;43;14;38;12;107;5;
