Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Cynthia C.P.Q.;Bourgeois Martine P.Q.;Chatel-Launay Nicolas Q.S.;Daiev Teodor Ind;Fortier Louis-Charles P.C.Q./C.P.Q.;Hilchey Karen C.A.Q.-É.F.L.;Kelley Gregory P.L.Q./Q.L.P.;Polson Catherine P.V.Q./G.P.Q.;Séguin France N.P.D.Q.;B.V.;B.R.;
310;Jacques-Cartier;2018-10-01;G;Senneville, vl;1;;1;359;0;5;14;0;2;19;113;16;2;171;0;
310;Jacques-Cartier;2018-10-01;G;Senneville, vl;1;;2;374;0;4;10;0;4;21;108;15;0;162;1;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;3;388;1;7;3;0;4;31;141;12;4;203;1;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;4;366;0;3;7;0;3;23;130;8;10;184;3;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;5;374;0;8;10;0;9;26;128;15;1;197;2;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;6;366;0;5;8;0;3;44;111;5;2;178;1;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;7;384;0;10;15;0;2;23;122;14;4;190;2;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;8;392;0;4;25;1;2;41;72;16;3;164;1;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;9;400;1;11;24;1;5;30;75;16;4;167;0;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;10;365;1;8;13;1;6;19;79;27;3;157;1;
310;Jacques-Cartier;2018-10-01;G;Sainte-Anne-de-Bellevue, v;1;;11;367;0;3;20;0;2;36;75;21;15;172;1;
310;Jacques-Cartier;2018-10-01;G;Baie-D'Urfé, v;1;;12;414;0;3;8;1;7;24;159;16;2;220;2;
310;Jacques-Cartier;2018-10-01;G;Baie-D'Urfé, v;1;;13;399;0;1;10;0;11;15;130;16;1;184;1;
310;Jacques-Cartier;2018-10-01;G;Baie-D'Urfé, v;1;;14;398;0;3;7;0;5;12;156;18;0;201;2;
310;Jacques-Cartier;2018-10-01;G;Baie-D'Urfé, v;1;;15;394;1;1;15;0;5;11;168;15;2;218;0;
310;Jacques-Cartier;2018-10-01;G;Baie-D'Urfé, v;1;;16;403;1;4;7;0;6;19;129;10;3;179;0;
310;Jacques-Cartier;2018-10-01;G;Baie-D'Urfé, v;1;;17;390;0;3;7;0;6;17;125;11;2;171;1;
310;Jacques-Cartier;2018-10-01;G;Baie-D'Urfé, v;1;;18;395;0;5;8;0;2;13;142;16;2;188;2;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;1;;19;351;0;4;9;0;8;14;119;11;0;165;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;1;;20;357;0;4;1;2;1;19;151;2;1;181;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;1;;21;346;0;1;2;0;3;13;145;11;1;176;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;1;;22;359;0;4;3;0;8;17;147;5;0;184;1;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;1;;23;368;0;4;7;0;4;17;143;13;1;189;2;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;1;;24;354;1;9;8;1;8;18;144;11;1;201;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;2;;25;389;1;4;8;0;2;20;159;20;4;218;1;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;2;;26;388;0;5;7;0;4;22;154;13;4;209;3;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;2;;27;391;0;1;3;0;8;19;179;6;0;216;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;2;;28;394;0;2;7;0;2;18;143;10;4;186;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;2;;29;387;1;6;15;1;2;16;158;13;10;222;3;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;3;;30;391;0;5;9;0;3;5;129;20;4;175;2;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;3;;31;389;0;8;5;0;1;18;135;24;3;194;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;3;;32;378;1;5;12;2;4;11;134;15;2;186;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;3;;33;365;2;3;3;0;6;17;137;8;1;177;1;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;3;;34;376;1;8;10;1;10;26;143;8;1;208;1;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;4;;35;375;0;0;5;0;9;15;140;16;1;186;1;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;4;;36;391;2;1;11;0;5;11;145;15;2;192;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;4;;37;369;2;4;8;0;2;20;135;22;0;193;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;4;;38;390;1;3;6;0;2;14;165;22;5;218;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;4;;39;383;0;1;4;0;4;24;149;6;0;188;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;4;;40;383;0;4;9;0;4;22;152;18;0;209;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;5;;41;338;1;2;7;0;5;14;93;24;5;151;2;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;5;;42;355;0;2;8;0;6;13;94;11;4;138;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;5;;43;363;0;1;10;0;6;16;123;20;3;179;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;5;;44;343;0;4;6;0;9;9;124;12;3;167;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;5;;45;346;0;2;8;1;7;24;128;10;3;183;1;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;6;;46;401;0;19;5;1;7;24;141;17;4;218;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;6;;47;372;0;4;8;0;6;19;163;9;7;216;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;6;;48;363;1;7;6;1;9;17;127;10;4;182;1;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;6;;49;356;1;10;12;0;4;21;118;15;7;188;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;6;;50;372;0;19;13;1;3;13;115;25;4;193;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;6;;51;374;0;10;13;0;3;18;144;22;8;218;5;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;7;;52;384;0;1;4;1;6;5;130;6;4;157;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;7;;53;362;0;1;5;0;4;17;167;20;3;217;3;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;7;;54;353;0;1;5;0;2;18;156;10;2;194;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;7;;55;355;0;5;5;0;10;6;133;17;2;178;0;
310;Jacques-Cartier;2018-10-01;G;Beaconsfield, v;7;;56;359;0;6;2;0;6;19;156;19;4;212;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;57;367;0;2;5;0;3;9;108;5;6;138;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;58;369;1;5;8;0;9;22;132;13;2;192;3;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;59;402;0;5;6;0;13;11;127;5;2;169;3;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;60;397;2;6;2;0;6;18;95;5;1;135;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;61A;226;0;1;3;0;2;7;80;20;4;117;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;61B;222;0;2;2;0;2;16;73;2;1;98;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;62;368;0;3;2;0;1;7;102;5;3;123;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;63;366;0;2;3;0;3;8;88;12;2;118;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;1;;64;363;0;4;9;0;7;20;119;12;4;175;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;65;383;1;2;11;1;8;20;167;16;9;235;4;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;66;382;0;1;7;0;12;8;73;13;2;116;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;67;373;0;4;5;3;1;25;83;11;3;135;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;68;368;1;3;9;0;8;15;114;13;3;166;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;69;384;1;4;8;0;5;18;144;11;4;195;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;70;379;1;6;8;0;5;22;142;13;5;202;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;71;364;0;5;8;0;5;11;131;16;2;178;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;2;;72;364;1;2;6;0;6;15;159;12;3;204;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;3;;73;366;0;13;24;0;1;24;101;20;6;189;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;3;;74;357;0;4;4;1;6;21;125;7;6;174;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;3;;75;359;0;14;10;0;5;22;88;10;9;158;7;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;3;;76;366;0;8;7;1;6;14;156;16;4;212;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;3;;77;366;0;4;10;0;2;20;114;13;2;165;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;3;;78;377;0;5;11;1;2;7;144;18;5;193;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;79;377;1;7;8;0;1;22;152;14;3;208;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;80;395;1;5;6;1;8;19;156;19;5;220;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;81;371;0;1;9;1;5;8;152;19;3;198;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;82;379;0;14;8;0;3;30;130;22;5;212;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;83;372;0;7;10;0;7;17;153;21;6;221;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;84;362;0;16;9;0;3;15;112;19;0;174;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;85;377;0;5;2;2;3;14;96;6;5;133;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;86;393;0;0;2;0;2;11;117;6;2;140;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;4;;87;370;0;6;4;0;4;18;97;11;4;144;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;88;355;0;4;3;1;8;9;121;11;4;161;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;89;354;1;6;11;1;6;25;124;5;0;179;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;90;369;0;9;7;0;4;8;162;19;3;212;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;91;359;0;6;10;0;11;12;150;15;3;207;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;92;385;1;5;11;1;7;28;147;19;8;227;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;93;348;1;10;10;2;8;5;122;20;5;183;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;94;365;0;2;10;1;10;16;144;12;12;207;1;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;5;;95;365;2;5;9;0;7;23;129;24;2;201;2;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;6;;96;379;0;15;16;0;3;15;134;20;5;208;0;
310;Jacques-Cartier;2018-10-01;G;Pointe-Claire, v;6;;97;363;2;7;12;0;6;14;122;21;5;189;0;
