Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouffard-Savoie Nicolas É.A.;Bourdon Gertrude P.L.Q./Q.L.P.;Côté Raymond N.P.D.Q.;Deblois Anne P.C.Q./C.P.Q.;Deschênes Marie-Pierre C.P.Q.;Gamache Christiane C.A.Q.-É.F.L.;Moreau Claude P.M.L.Q.;Paradis-Bellefeuille Alex P.V.Q./G.P.Q.;Verreault-Lemieux Charles P.N.;Vignola Claire P.Q.;Zanetti Sol Q.S.;B.V.;B.R.;
736;Jean-Lesage;2018-10-01;G;Québec, v;59;;1A;207;1;13;2;0;1;15;0;2;2;4;40;80;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;59;;1B;246;0;11;1;1;0;20;0;0;1;10;50;94;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;59;;2;380;0;22;2;5;1;54;0;5;1;17;83;190;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;59;;3;412;1;12;4;2;0;54;0;2;5;12;135;227;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;59;;4;391;0;20;3;1;3;42;0;2;3;26;111;211;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;60;;5;419;1;27;6;4;1;39;0;12;0;12;105;207;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;60;;6;367;0;17;5;0;0;33;0;3;3;12;151;224;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;60;;7;360;0;14;1;2;0;29;0;0;1;8;119;174;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;60;;8;364;0;13;0;2;0;32;0;4;0;16;139;206;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;60;;9;349;0;11;2;2;0;30;0;2;0;13;102;162;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;61;;10;366;0;19;0;1;0;29;1;2;1;19;122;194;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;61;;11;342;0;17;1;0;0;35;1;3;3;8;108;176;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;61;;12;327;0;9;3;0;1;33;0;1;2;16;79;144;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;61;;13;359;0;12;3;3;0;42;0;1;2;13;113;189;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;61;;14;369;0;17;1;2;0;25;0;0;2;23;111;181;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;15;388;0;21;3;0;0;52;1;3;1;11;104;196;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;16;392;1;20;1;4;0;34;0;4;1;18;113;196;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;17;409;1;16;4;0;0;30;0;5;0;19;139;214;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;18;369;0;17;1;2;0;25;0;5;0;23;125;198;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;19A;204;0;5;1;0;0;23;0;0;0;10;58;97;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;19B;234;0;17;1;0;0;18;0;1;1;20;42;100;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;20;390;0;16;0;1;0;29;0;1;2;15;95;159;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;21;393;1;26;0;5;0;56;1;4;2;16;84;195;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;22;372;0;24;2;0;2;41;1;1;1;11;102;185;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;23;376;0;9;1;3;1;34;0;2;2;11;78;141;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;24;411;1;28;6;1;2;52;0;5;2;16;93;206;5;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;25;376;0;21;5;1;0;43;0;2;2;13;92;179;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;26;367;0;15;0;2;0;40;0;3;1;19;48;128;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;27;384;0;22;2;0;1;55;0;3;2;27;70;182;7;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;;28;410;0;34;5;5;2;54;0;1;2;7;47;157;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;63;;29;374;1;30;1;4;1;65;0;3;2;14;31;152;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;63;;30;343;1;23;0;2;1;49;0;2;1;13;32;124;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;63;;31;325;0;21;0;4;0;38;0;2;1;8;29;103;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;63;;32;348;0;32;1;1;1;45;0;0;1;14;28;123;5;
736;Jean-Lesage;2018-10-01;G;Québec, v;63;;33;369;0;24;1;5;2;60;0;0;1;12;27;132;6;
736;Jean-Lesage;2018-10-01;G;Québec, v;63;;34;354;0;23;2;6;0;63;1;0;2;7;36;140;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;64;;35;338;0;29;2;0;0;47;0;2;2;19;62;163;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;64;;36;339;0;22;4;3;1;63;0;2;1;12;48;156;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;64;;37;311;1;32;0;7;1;65;0;3;2;10;40;161;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;64;;38;362;0;25;5;4;3;60;0;1;0;8;41;147;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;64;;39;379;0;22;0;5;0;54;0;3;2;11;42;139;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;64;;40;362;0;17;1;3;1;36;0;3;4;6;40;111;7;
736;Jean-Lesage;2018-10-01;G;Québec, v;65;;41;350;0;18;0;2;0;41;1;1;1;17;27;108;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;65;;42;361;1;25;2;5;0;69;2;1;1;12;60;178;7;
736;Jean-Lesage;2018-10-01;G;Québec, v;65;;43;358;0;20;1;4;1;65;0;4;0;17;49;161;2;
736;Jean-Lesage;2018-10-01;G;Québec, v;65;;44;335;0;35;2;1;0;37;0;2;0;8;50;135;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;65;;45;348;0;26;1;5;2;47;0;4;1;10;36;132;4;
736;Jean-Lesage;2018-10-01;G;Québec, v;65;;46;380;1;18;2;4;2;59;0;1;2;15;55;159;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;66;;47;353;1;39;3;3;1;56;0;2;1;15;27;148;7;
736;Jean-Lesage;2018-10-01;G;Québec, v;66;;48;336;0;16;1;2;0;40;0;3;1;14;59;136;6;
736;Jean-Lesage;2018-10-01;G;Québec, v;66;;49;329;0;23;4;4;0;61;0;2;2;15;22;133;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;66;;50;349;0;25;5;2;2;63;0;5;1;22;36;161;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;66;;51;329;0;22;1;2;0;49;1;2;0;21;70;168;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;66;;52;342;0;10;1;2;1;33;0;3;4;14;52;120;4;
