Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barrette Sylvain P.Q.;Bérubé Carl P.C.Q./C.P.Q.;Boutet Ginette P.M.L.Q.;Boutin Joëlle C.A.Q.-É.F.L.;Dahan Ali Ind;Diab Macarena P.V.Q./G.P.Q.;Nadji Hamid N.P.D.Q.;Pouleur Stéphane É.A.;Proulx Sébastien P.L.Q./Q.L.P.;Provost Patrick Q.S.;B.V.;B.R.;
702;Jean-Talon;2018-10-01;G;Québec, v;21;;1;344;18;6;0;49;5;2;1;0;36;19;136;2;
702;Jean-Talon;2018-10-01;G;Québec, v;21;;2;349;36;2;0;32;1;5;0;0;55;31;162;0;
702;Jean-Talon;2018-10-01;G;Québec, v;21;;3;335;12;1;0;59;1;1;0;0;51;37;162;0;
702;Jean-Talon;2018-10-01;G;Québec, v;21;;4;348;24;0;0;59;0;0;1;0;45;37;166;2;
702;Jean-Talon;2018-10-01;G;Québec, v;21;;5;330;26;5;0;47;2;3;0;0;50;34;167;0;
702;Jean-Talon;2018-10-01;G;Québec, v;21;;6;354;11;4;0;66;3;5;2;0;50;37;178;4;
702;Jean-Talon;2018-10-01;G;Québec, v;22;;7;375;18;4;0;41;1;5;0;0;38;42;149;1;
702;Jean-Talon;2018-10-01;G;Québec, v;22;;8;373;34;2;0;54;2;4;1;0;98;33;228;1;
702;Jean-Talon;2018-10-01;G;Québec, v;22;;9;391;24;8;0;60;5;4;2;0;71;40;214;6;
702;Jean-Talon;2018-10-01;G;Québec, v;22;;10;365;15;4;1;69;0;7;0;0;53;41;190;3;
702;Jean-Talon;2018-10-01;G;Québec, v;22;;11;375;28;7;1;66;3;2;3;2;52;32;196;3;
702;Jean-Talon;2018-10-01;G;Québec, v;22;;12;356;16;0;0;53;2;3;3;0;33;36;146;7;
702;Jean-Talon;2018-10-01;G;Québec, v;22;;13;381;19;4;0;49;4;4;1;0;35;36;152;3;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;14;396;18;2;0;44;2;5;0;1;59;20;151;4;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;15;390;35;5;0;84;1;3;0;0;53;42;223;1;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;16;383;35;4;0;72;1;3;0;1;73;41;230;4;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;17;385;21;0;0;61;1;1;4;0;51;48;187;2;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;18;367;41;1;0;78;1;1;0;0;69;19;210;6;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;19;388;35;1;0;61;0;2;2;1;72;43;217;2;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;20;395;32;3;0;75;1;3;1;1;64;30;210;3;
702;Jean-Talon;2018-10-01;G;Québec, v;23;;21;365;32;8;0;56;0;5;1;0;53;46;201;4;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;22;392;16;6;0;57;0;3;2;0;40;48;172;4;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;23;399;22;13;0;76;3;9;1;0;42;54;220;3;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;24;394;32;5;1;97;1;2;2;0;53;34;227;7;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;25;411;23;3;0;67;4;4;2;1;47;43;194;2;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;26;394;34;6;1;51;2;2;1;0;73;40;210;4;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;27;387;20;2;1;40;0;3;3;0;30;46;145;4;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;28;397;28;3;0;49;3;4;1;0;42;37;167;1;
702;Jean-Talon;2018-10-01;G;Québec, v;24;;29;403;14;3;0;68;4;4;2;1;42;37;175;1;
