Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bruneau Marie-Josée P.Q.;Colly Garnet P.M.L.Q.;Dallaire Sylvain P.C.Q./C.P.Q.;Hétu Sylvie P.V.Q./G.P.Q.;Petrari Sarah C.A.Q.-É.F.L.;Rotiroti Filomena P.L.Q./Q.L.P.;Seck Ismaël Q.S.;B.V.;B.R.;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;1;388;7;1;4;2;24;141;12;191;2;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;2;397;8;0;1;3;20;132;8;172;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;3;389;3;0;6;4;18;170;6;207;2;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;4;375;8;1;2;3;20;112;19;165;6;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;5;401;1;1;1;1;21;176;6;207;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;6;402;9;1;2;3;28;141;22;206;2;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;7;399;18;3;1;8;29;157;14;230;4;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;8;386;11;0;7;3;33;130;17;201;1;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;9;386;9;1;2;6;28;143;3;192;4;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;10;380;12;0;5;10;17;166;8;218;5;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;11;386;7;0;2;5;35;135;23;207;2;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;12;389;4;0;2;4;34;129;15;188;2;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;13;389;11;0;3;3;33;123;17;190;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;299;;14;388;13;0;3;3;24;132;11;186;1;
