Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Audet Yves C.P.Q.;Coderre Émile P.V.Q./G.P.Q.;Lamontagne André C.A.Q.-É.F.L.;Leblanc-Marcil Andrew N.P.D.Q.;Saint-Cyr Lanoie Sarah Q.S.;Tétreault Jacques P.Q.;Vaes François P.L.Q./Q.L.P.;Vignola Jean-François P.C.Q./C.P.Q.;B.V.;B.R.;
126;Johnson;2018-10-01;G;Drummondville, v;10;;1;412;0;4;102;3;40;15;18;5;187;7;
126;Johnson;2018-10-01;G;Drummondville, v;10;;2;352;0;6;100;0;37;23;9;1;176;4;
126;Johnson;2018-10-01;G;Drummondville, v;10;;3;375;2;2;92;2;23;25;26;6;178;3;
126;Johnson;2018-10-01;G;Drummondville, v;10;;4A;231;0;1;54;1;43;10;11;4;124;2;
126;Johnson;2018-10-01;G;Drummondville, v;10;;4B;214;0;3;46;0;23;10;15;3;100;2;
126;Johnson;2018-10-01;G;Drummondville, v;10;;5;361;3;3;102;3;37;31;21;1;201;5;
126;Johnson;2018-10-01;G;Drummondville, v;10;;6;352;0;1;90;0;39;21;26;0;177;2;
126;Johnson;2018-10-01;G;Drummondville, v;11;;7;380;1;5;100;0;21;18;13;4;162;5;
126;Johnson;2018-10-01;G;Drummondville, v;11;;8;370;1;7;68;1;34;12;15;1;139;1;
126;Johnson;2018-10-01;G;Drummondville, v;11;;9;380;1;1;90;2;37;16;13;2;162;9;
126;Johnson;2018-10-01;G;Drummondville, v;11;;10;373;0;4;100;1;37;30;20;2;194;2;
126;Johnson;2018-10-01;G;Drummondville, v;11;;11;363;1;4;73;0;31;15;18;4;146;7;
126;Johnson;2018-10-01;G;Drummondville, v;11;;12;397;2;4;75;1;28;29;34;3;176;6;
126;Johnson;2018-10-01;G;Drummondville, v;11;;13;381;2;3;111;1;33;21;23;5;199;3;
126;Johnson;2018-10-01;G;Drummondville, v;11;;14;371;0;2;98;2;39;25;25;1;192;8;
126;Johnson;2018-10-01;G;Drummondville, v;11;;15;385;1;0;81;3;35;13;13;4;150;5;
126;Johnson;2018-10-01;G;Drummondville, v;12;;16;402;8;7;49;3;33;32;9;1;142;2;
126;Johnson;2018-10-01;G;Drummondville, v;12;;17;384;1;3;63;2;37;15;12;2;135;4;
126;Johnson;2018-10-01;G;Drummondville, v;12;;18;393;1;5;80;1;45;17;7;0;156;9;
126;Johnson;2018-10-01;G;Drummondville, v;12;;19;393;1;0;51;0;30;19;9;6;116;2;
126;Johnson;2018-10-01;G;Drummondville, v;12;;20;375;4;6;52;0;30;28;14;2;136;10;
