Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dupuis Sébastien C.P.Q.;Hivon Véronique P.Q.;Imbeault Emilie P.L.Q./Q.L.P.;Sicard Judith Q.S.;St-Jean Étienne P.V.Q./G.P.Q.;St-Louis François C.A.Q.-É.F.L.;B.V.;B.R.;
570;Joliette;2018-10-01;G;Sainte-Mélanie, m;1;;1;351;1;82;7;23;4;64;181;4;
570;Joliette;2018-10-01;G;Sainte-Mélanie, m;1;;2;358;2;103;9;23;4;73;214;2;
570;Joliette;2018-10-01;G;Sainte-Mélanie, m;1;;3;353;2;96;19;14;2;65;198;2;
570;Joliette;2018-10-01;G;Sainte-Mélanie, m;1;;4;355;0;89;4;21;4;53;171;4;
570;Joliette;2018-10-01;G;Sainte-Mélanie, m;1;;5;361;4;86;7;38;1;77;213;4;
570;Joliette;2018-10-01;G;Sainte-Mélanie, m;1;;6;327;4;76;14;30;2;67;193;3;
570;Joliette;2018-10-01;G;Sainte-Mélanie, m;1;;7;357;1;106;8;23;1;81;220;4;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;8;388;1;96;23;20;3;76;219;3;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;9;376;2;98;12;29;2;67;210;7;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;10;391;2;94;8;22;3;80;209;2;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;11;384;0;92;7;20;1;106;226;4;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;12;387;0;92;15;16;2;100;225;2;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;13;383;1;102;8;26;3;80;220;2;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;14;386;0;89;6;23;3;88;209;4;
570;Joliette;2018-10-01;G;Saint-Ambroise-de-Kildare, m;1;;15;381;1;88;7;19;1;78;194;3;
570;Joliette;2018-10-01;G;Notre-Dame-de-Lourdes, m;1;;16;385;1;91;14;30;5;78;219;2;
570;Joliette;2018-10-01;G;Notre-Dame-de-Lourdes, m;1;;17;373;2;100;3;18;3;75;201;3;
570;Joliette;2018-10-01;G;Notre-Dame-de-Lourdes, m;1;;18;405;0;96;4;11;8;90;209;2;
570;Joliette;2018-10-01;G;Notre-Dame-de-Lourdes, m;1;;19;393;3;103;15;23;1;76;221;7;
570;Joliette;2018-10-01;G;Notre-Dame-de-Lourdes, m;1;;20;389;3;101;4;15;4;71;198;1;
570;Joliette;2018-10-01;G;Notre-Dame-de-Lourdes, m;1;;21;373;2;98;4;16;2;90;212;2;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;22;357;2;81;3;14;2;60;162;4;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;23;370;1;79;8;24;4;67;183;4;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;24;362;0;89;10;17;2;64;182;2;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;25;364;1;85;7;14;2;63;172;4;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;26;363;1;60;12;14;2;77;166;0;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;27;355;0;51;12;17;1;46;127;1;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;28;362;0;98;6;16;1;55;176;1;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;29;368;5;86;11;19;2;58;181;1;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;30;369;0;65;21;13;0;34;133;4;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;31;363;1;76;11;14;4;52;158;2;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;32;361;3;61;5;14;4;50;137;1;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;33;347;2;76;13;9;3;56;159;0;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;34;385;2;70;12;19;1;71;175;3;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;35;378;2;101;6;28;6;75;218;4;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;36;385;1;112;8;20;3;87;231;3;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;37;388;3;75;14;10;2;87;191;4;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;38;369;1;75;8;15;1;82;182;1;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;39;352;1;79;12;28;4;83;207;2;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;40;365;2;98;9;22;4;67;202;4;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;41;369;2;116;4;21;4;72;219;0;
570;Joliette;2018-10-01;G;Notre-Dame-des-Prairies, v;1;;42;371;1;96;10;28;1;87;223;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;43A;214;0;80;6;23;1;70;180;4;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;Regr. BVDS-1;43B;226;0;0;0;0;0;0;0;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;44;424;0;109;12;13;1;85;220;2;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;45;398;0;103;14;19;2;71;209;1;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;;46;390;1;86;6;18;1;82;194;0;
