Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duguay Alexandre P.L.Q./Q.L.P.;Gaudreault Sylvain P.Q.;Lapointe Marcel Q.S.;Rochefort Benoit C.A.Q.-É.F.L.;Sion Julie P.V.Q./G.P.Q.;Voyer Jimmy P.C.Q./C.P.Q.;B.V.;B.R.;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;1;388;26;111;10;64;3;5;219;2;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;2;373;28;89;13;65;5;8;208;4;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;3;374;24;95;13;75;7;5;219;8;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;4;371;17;68;15;52;3;3;158;3;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;5;373;16;92;19;90;1;1;219;4;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;6;378;16;107;11;93;1;3;231;2;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;7;377;15;109;19;86;2;1;232;3;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;8;357;17;119;11;78;1;4;230;4;
922;Jonquière;2018-10-01;G;Saguenay, v;1;;9;364;26;83;16;75;0;0;200;3;
922;Jonquière;2018-10-01;G;Saguenay, v;2;;10;363;13;105;9;76;3;2;208;0;
922;Jonquière;2018-10-01;G;Saguenay, v;2;;11;354;18;128;16;57;3;3;225;2;
922;Jonquière;2018-10-01;G;Saguenay, v;2;;12;345;20;63;8;65;6;0;162;2;
922;Jonquière;2018-10-01;G;Saguenay, v;2;;13;372;22;110;18;72;3;1;226;6;
922;Jonquière;2018-10-01;G;Saguenay, v;2;;14;337;9;89;21;68;0;5;192;4;
922;Jonquière;2018-10-01;G;Saguenay, v;2;;15;360;26;103;22;60;2;0;213;4;
922;Jonquière;2018-10-01;G;Saguenay, v;3;;16;345;8;100;16;46;2;3;175;2;
922;Jonquière;2018-10-01;G;Saguenay, v;3;;17;337;23;85;12;60;1;3;184;5;
922;Jonquière;2018-10-01;G;Saguenay, v;3;;18;361;17;87;24;67;7;0;202;4;
922;Jonquière;2018-10-01;G;Saguenay, v;3;;19;365;24;76;16;46;3;0;165;0;
922;Jonquière;2018-10-01;G;Saguenay, v;3;;20;372;15;116;20;79;0;3;233;5;
922;Jonquière;2018-10-01;G;Saguenay, v;3;;21;350;21;123;15;69;2;3;233;4;
922;Jonquière;2018-10-01;G;Saguenay, v;3;;22;364;17;109;15;70;1;1;213;7;
922;Jonquière;2018-10-01;G;Saguenay, v;4;;23;368;24;86;20;83;1;1;215;2;
922;Jonquière;2018-10-01;G;Saguenay, v;4;;24;338;12;83;5;67;4;3;174;3;
922;Jonquière;2018-10-01;G;Saguenay, v;4;;25;337;17;71;20;73;4;3;188;2;
922;Jonquière;2018-10-01;G;Saguenay, v;4;;26;349;8;77;11;53;2;0;151;2;
922;Jonquière;2018-10-01;G;Saguenay, v;4;;27;356;4;80;19;50;2;1;156;0;
922;Jonquière;2018-10-01;G;Saguenay, v;4;;28;377;10;58;9;50;2;1;130;1;
922;Jonquière;2018-10-01;G;Saguenay, v;4;;29;361;16;68;19;57;4;4;168;4;
922;Jonquière;2018-10-01;G;Saguenay, v;5;;30;383;11;108;21;62;3;5;210;2;
922;Jonquière;2018-10-01;G;Saguenay, v;5;;31;405;22;91;6;64;3;2;188;2;
922;Jonquière;2018-10-01;G;Saguenay, v;5;;32;407;18;104;18;79;2;0;221;1;
922;Jonquière;2018-10-01;G;Saguenay, v;5;;33;387;25;86;13;86;1;4;215;2;
922;Jonquière;2018-10-01;G;Saguenay, v;5;;34;400;18;118;15;97;2;1;251;4;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;35;396;28;94;14;91;3;1;231;0;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;36;405;22;101;19;102;0;1;245;1;
922;Jonquière;2018-10-01;G;Saguenay, v;6;;37;375;21;101;16;79;3;0;220;4;
