Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bellavance Eve P.V.Q./G.P.Q.;Bouchard Virginie P.L.Q./Q.L.P.;Brière Marie-Claude Q.S.;Everitt-Raynault Charles-Etienne P.C.Q./C.P.Q.;Langlois Brouillette Sylvie P.Q.;Legault François C.A.Q.-É.F.L.;Tougas Sylvie C.P.Q.;B.V.;B.R.;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;1;373;5;25;29;1;33;110;5;208;3;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;2;407;4;29;25;0;38;107;5;208;7;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;3;379;8;16;31;2;35;118;2;212;8;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;4;393;2;14;29;0;23;116;1;185;0;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;5;400;2;20;27;2;28;99;3;181;5;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;6;397;2;13;31;1;41;94;8;190;2;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;7;385;3;9;34;1;17;103;0;167;5;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;8;374;6;9;39;2;26;96;4;182;0;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;9;371;8;7;39;1;23;72;2;152;2;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;10;387;2;12;22;1;26;86;1;150;3;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;11;384;2;13;34;1;25;84;4;163;5;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;12;396;4;18;38;1;40;122;2;225;8;
554;L'Assomption;2018-10-01;G;Charlemagne, v;1;;13;403;6;20;32;0;37;98;5;198;6;
554;L'Assomption;2018-10-01;G;Repentigny, v;1;;14;398;2;15;42;0;30;108;9;206;4;
554;L'Assomption;2018-10-01;G;Repentigny, v;1;;15;395;3;11;51;1;36;108;2;212;4;
554;L'Assomption;2018-10-01;G;Repentigny, v;1;;16;405;5;12;28;1;38;116;0;200;2;
554;L'Assomption;2018-10-01;G;Repentigny, v;1;;17;398;7;14;26;0;26;111;1;185;2;
554;L'Assomption;2018-10-01;G;Repentigny, v;1;;18;382;7;22;51;0;23;108;2;213;5;
