Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bacchi Loredana C.A.Q.-É.F.L.;Gauthier Claude P.Q.;Lavoie Caleb P.C.Q./C.P.Q.;Le Seigle Yves P.M.L.Q.;Tanguay Marc P.L.Q./Q.L.P.;Touchette David Q.S.;B.V.;B.R.;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;1;384;81;46;5;0;123;29;284;6;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;2;403;81;36;10;2;94;34;257;2;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;3;408;50;26;2;1;102;23;204;4;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;4;397;37;10;6;1;74;21;149;5;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;5;392;28;7;4;1;80;14;134;3;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;6;382;28;18;10;1;104;13;174;2;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;7;407;20;8;1;1;80;9;119;2;
390;LaFontaine;2018-10-01;G;Montréal, v;375;;8;400;35;17;4;0;71;19;146;9;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;9;389;44;7;4;2;124;11;192;5;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;10;406;29;11;2;0;148;16;206;3;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;11;364;26;11;2;0;90;13;142;5;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;12;395;29;13;5;1;108;11;167;7;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;13;385;36;22;4;0;98;20;180;7;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;14;400;36;17;2;0;76;18;149;3;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;15;385;31;11;5;0;101;11;159;7;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;16;394;19;22;2;1;106;23;173;4;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;17;391;20;6;3;0;132;21;182;1;
390;LaFontaine;2018-10-01;G;Montréal, v;376;;18;391;25;6;3;1;103;16;154;4;
390;LaFontaine;2018-10-01;G;Montréal, v;377;;19;376;28;7;6;0;114;8;163;2;
390;LaFontaine;2018-10-01;G;Montréal, v;377;;20;385;47;22;2;1;70;16;158;1;
390;LaFontaine;2018-10-01;G;Montréal, v;377;;21;368;28;11;5;1;110;14;169;8;
390;LaFontaine;2018-10-01;G;Montréal, v;377;;22;370;32;17;2;0;76;10;137;7;
390;LaFontaine;2018-10-01;G;Montréal, v;377;;23;376;24;12;3;0;127;10;176;3;
390;LaFontaine;2018-10-01;G;Montréal, v;378;;24;367;38;6;1;0;80;17;142;2;
390;LaFontaine;2018-10-01;G;Montréal, v;378;;25;387;22;10;6;1;124;11;174;3;
390;LaFontaine;2018-10-01;G;Montréal, v;378;;26;373;35;11;5;0;77;19;147;9;
390;LaFontaine;2018-10-01;G;Montréal, v;378;;27;388;26;6;3;1;116;19;171;1;
390;LaFontaine;2018-10-01;G;Montréal, v;378;;28;380;14;9;3;0;100;5;131;3;
390;LaFontaine;2018-10-01;G;Montréal, v;378;;29;375;23;5;0;0;105;10;143;2;
390;LaFontaine;2018-10-01;G;Montréal, v;378;;30;377;29;12;1;1;92;13;148;2;
