Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Berberi Doni P.Q.;Bouchard Kevin P.N.;Caire Éric C.A.Q.-É.F.L.;Dauphinais Yohann C.P.Q.;Jobin-Lawler Alexandre Q.S.;Lacasse Stéphane P.L.Q./Q.L.P.;Michaud Josée Mélanie É.A.;Plamondon Julie P.C.Q./C.P.Q.;Riedo Sandra Mara P.V.Q./G.P.Q.;Wright Stephen P51;B.V.;B.R.;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;1;;1;339;13;1;115;2;30;16;0;8;1;0;186;1;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;1;;2;342;23;3;95;1;20;27;1;6;9;0;185;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;1;;3;353;12;0;103;0;16;37;0;10;5;0;183;3;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;1;;4;336;21;2;87;1;19;21;0;5;1;0;157;0;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;1;;5;346;18;2;99;2;24;28;0;5;3;0;181;1;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;1;;6;330;10;1;115;0;7;33;1;4;2;0;173;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;1;;7;341;19;0;101;3;21;35;0;10;6;0;195;1;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;2;;8;387;12;2;66;1;32;18;1;8;5;0;145;6;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;2;;9;375;11;2;88;3;22;20;0;2;6;1;155;4;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;2;;10;372;12;0;90;1;13;37;0;3;8;0;164;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;2;;11;383;17;2;114;2;20;41;0;4;8;3;211;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;2;;12;386;21;3;129;0;21;28;0;6;0;0;208;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;3;;13;382;14;1;96;1;29;34;0;1;5;1;182;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;3;;14;380;14;2;108;0;17;28;0;8;1;0;178;6;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;3;;15;398;8;0;116;1;29;32;0;4;5;1;196;2;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;3;;16;384;13;0;107;0;19;24;1;10;6;0;180;3;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;17;398;25;0;134;0;32;49;0;8;1;2;251;9;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;18;402;21;0;155;0;21;41;1;5;0;1;245;3;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;19;391;21;0;132;2;25;22;0;4;6;0;212;14;
720;La Peltrie;2018-10-01;G;L'Ancienne-Lorette, v;4;;20;397;27;3;126;1;23;40;0;6;4;0;230;0;
