Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baronian Sylvia C.A.Q.-É.F.L.;Barrette Gaétan P.L.Q./Q.L.P.;Dini Aziza P.V.Q./G.P.Q.;El Youbi Anwar P.C.Q./C.P.Q.;Gagnon Suzanne P.Q.;Hayes Patrick Ind;Hu Fang Ind;Pagès Marie Q.S.;Sellah Djaouida N.P.D.Q.;B.V.;B.R.;
236;La Pinière;2018-10-01;G;Brossard, v;1;;1;371;56;77;5;0;7;0;0;10;1;156;3;
236;La Pinière;2018-10-01;G;Brossard, v;1;;2;374;29;63;8;4;9;1;3;10;1;128;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;;3;388;39;105;3;1;5;0;3;17;2;175;4;
236;La Pinière;2018-10-01;G;Brossard, v;1;;4;381;37;73;3;5;6;0;1;25;2;152;5;
236;La Pinière;2018-10-01;G;Brossard, v;1;;5;367;43;75;6;3;13;0;1;16;0;157;2;
236;La Pinière;2018-10-01;G;Brossard, v;1;;6;360;62;71;5;6;14;0;1;13;4;176;2;
236;La Pinière;2018-10-01;G;Brossard, v;1;;7;377;16;105;5;10;3;0;1;6;1;147;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;;8;369;26;100;4;3;8;0;0;8;0;149;1;
236;La Pinière;2018-10-01;G;Brossard, v;1;;9;357;31;71;2;0;9;0;1;11;1;126;4;
236;La Pinière;2018-10-01;G;Brossard, v;1;;10;374;36;107;3;2;4;1;0;9;1;163;1;
236;La Pinière;2018-10-01;G;Brossard, v;1;;11;377;26;72;2;4;12;1;0;6;2;125;4;
236;La Pinière;2018-10-01;G;Brossard, v;1;;12;386;51;76;0;0;20;2;1;11;1;162;2;
236;La Pinière;2018-10-01;G;Brossard, v;1;;13;356;46;57;0;1;0;13;0;9;3;129;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;;14;381;57;60;3;1;25;0;0;12;1;159;4;
236;La Pinière;2018-10-01;G;Brossard, v;1;;15A;219;35;21;2;0;12;1;0;7;1;79;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;;15B;232;7;3;0;0;1;0;0;0;0;11;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;;16;402;77;68;0;0;20;0;0;17;0;182;1;
236;La Pinière;2018-10-01;G;Brossard, v;1;;17;365;38;65;1;3;13;0;0;7;1;128;1;
236;La Pinière;2018-10-01;G;Brossard, v;1;;18;387;36;44;4;5;24;0;0;14;0;127;1;
