Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Daniel Q.S.;Caron Alexandre P.V.Q./G.P.Q.;Chouinard Normand P.M.L.Q.;Desmarais Alain P.C.Q./C.P.Q.;Dubé Christian C.A.Q.-É.F.L.;Lepage Cathy P.Q.;Merlini Richard P.L.Q./Q.L.P.;Minato Liana P51;Tall Boukare N.P.D.Q.;B.V.;B.R.;
232;La Prairie;2018-10-01;G;La Prairie, v;1;;1;383;37;3;2;2;84;36;30;0;4;198;8;
232;La Prairie;2018-10-01;G;La Prairie, v;1;;2;364;32;1;0;0;31;37;11;1;1;114;1;
232;La Prairie;2018-10-01;G;La Prairie, v;1;;3;390;33;4;0;1;70;23;27;0;2;160;12;
232;La Prairie;2018-10-01;G;La Prairie, v;1;;4;391;22;3;0;4;68;32;47;0;2;178;1;
232;La Prairie;2018-10-01;G;La Prairie, v;1;;5;382;23;4;0;1;81;34;25;1;3;172;3;
232;La Prairie;2018-10-01;G;La Prairie, v;1;;6;373;16;4;0;4;73;36;13;0;1;147;4;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;7;409;29;1;0;0;81;28;34;0;2;175;0;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;8;411;35;2;0;3;69;37;32;0;1;179;5;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;9;400;38;4;1;1;71;43;17;0;3;178;5;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;10;423;46;6;0;3;62;49;38;0;0;204;6;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;11;404;30;7;0;2;63;56;24;2;1;185;8;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;12;394;34;3;0;0;80;40;49;0;1;207;2;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;13;403;19;5;0;1;73;39;55;0;0;192;1;
232;La Prairie;2018-10-01;G;La Prairie, v;2;;14;415;27;7;0;5;50;34;25;0;3;151;1;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;15;401;18;5;1;4;70;23;37;0;1;159;0;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;16;357;24;8;0;2;77;24;79;0;1;215;2;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;17;372;21;5;0;0;65;27;66;0;3;187;0;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;18;386;22;1;0;4;92;26;34;0;2;181;4;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;19;357;35;4;0;5;84;23;50;0;1;202;1;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;20;394;40;5;1;4;49;33;33;0;2;167;4;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;21;374;30;6;0;2;71;41;8;4;0;162;2;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;22;373;15;2;0;3;67;44;23;3;1;158;5;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;23;384;22;3;0;1;119;25;64;0;0;234;4;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;24;368;19;1;0;5;95;37;53;2;4;216;3;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;25;387;22;7;0;1;95;26;55;0;0;206;3;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;26;390;31;3;0;2;95;25;52;0;3;211;6;
232;La Prairie;2018-10-01;G;La Prairie, v;3;;27;386;31;5;0;1;126;30;53;0;0;246;1;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;28;392;25;3;0;8;104;32;79;0;4;255;6;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;29A;231;15;2;0;0;44;19;30;0;2;112;2;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;29B;234;15;3;0;0;50;12;45;0;1;126;2;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;30A;228;17;6;0;5;47;16;30;0;1;122;1;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;30B;228;14;3;0;2;60;13;34;0;3;129;3;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;31A;349;12;4;0;0;72;29;49;0;0;166;8;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;31B;337;23;5;0;3;77;24;41;0;0;173;5;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;32;397;25;7;0;5;107;44;61;0;4;253;9;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;33;386;23;3;0;1;104;31;74;0;0;236;3;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;34;395;40;5;0;2;97;40;69;1;1;255;2;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;35;390;34;10;0;4;102;39;57;0;3;249;4;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;36;388;33;5;0;0;92;45;52;0;1;228;3;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;37;388;22;6;1;1;82;21;69;1;4;207;3;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;38;383;14;8;0;4;85;36;41;1;0;189;4;
232;La Prairie;2018-10-01;G;La Prairie, v;4;;39;399;35;7;0;2;102;48;43;0;1;238;4;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;40;392;26;5;1;3;96;41;65;0;1;238;3;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;41;372;45;10;0;3;92;38;43;0;1;232;4;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;42;384;32;3;0;4;103;42;40;0;1;225;2;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;43;374;39;7;0;1;98;23;48;0;2;218;1;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;44;394;31;5;1;3;93;41;47;1;2;224;5;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;45;390;30;7;0;8;85;52;36;0;0;218;2;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;46;391;32;5;0;0;110;31;59;0;0;237;3;
232;La Prairie;2018-10-01;G;La Prairie, v;5;;47;391;35;4;0;4;107;45;29;0;0;224;3;
232;La Prairie;2018-10-01;G;Candiac, v;1;;48;374;25;3;1;0;58;38;29;0;1;155;2;
232;La Prairie;2018-10-01;G;Candiac, v;1;;49A;249;15;1;0;0;48;10;27;0;2;103;0;
232;La Prairie;2018-10-01;G;Candiac, v;1;;49B;230;9;2;1;1;25;10;8;0;0;56;2;
232;La Prairie;2018-10-01;G;Candiac, v;1;;50;389;44;3;0;6;81;36;38;0;2;210;3;
232;La Prairie;2018-10-01;G;Candiac, v;1;;51;370;34;5;0;5;64;26;28;0;2;164;1;
232;La Prairie;2018-10-01;G;Candiac, v;1;;52;389;46;4;0;1;110;21;58;3;1;244;2;
232;La Prairie;2018-10-01;G;Candiac, v;1;;53;363;37;6;0;5;59;40;45;0;2;194;4;
232;La Prairie;2018-10-01;G;Candiac, v;1;;54;370;21;1;0;5;79;29;33;2;0;170;3;
232;La Prairie;2018-10-01;G;Candiac, v;1;;55;384;40;7;0;2;79;31;52;0;2;213;6;
232;La Prairie;2018-10-01;G;Candiac, v;1;;56;379;25;4;0;2;86;28;60;0;1;206;9;
232;La Prairie;2018-10-01;G;Candiac, v;2;;57;362;26;6;0;4;66;36;45;0;2;185;5;
232;La Prairie;2018-10-01;G;Candiac, v;2;;58;376;26;6;0;3;90;30;51;0;0;206;2;
232;La Prairie;2018-10-01;G;Candiac, v;2;;59;375;40;5;0;3;77;21;45;0;0;191;1;
232;La Prairie;2018-10-01;G;Candiac, v;2;;60;355;44;4;0;2;54;25;52;0;1;182;1;
232;La Prairie;2018-10-01;G;Candiac, v;2;;61;377;29;7;0;0;85;31;53;0;4;209;0;
232;La Prairie;2018-10-01;G;Candiac, v;2;;62;381;39;9;0;0;78;36;54;1;0;217;3;
232;La Prairie;2018-10-01;G;Candiac, v;2;;63;364;16;3;0;3;99;19;68;0;5;213;4;
232;La Prairie;2018-10-01;G;Candiac, v;2;;64;368;25;8;0;2;82;24;49;0;0;190;1;
232;La Prairie;2018-10-01;G;Candiac, v;2;;65;371;16;0;0;4;87;25;73;1;0;206;1;
232;La Prairie;2018-10-01;G;Candiac, v;3;;66;382;11;5;0;2;72;15;84;1;2;192;4;
232;La Prairie;2018-10-01;G;Candiac, v;3;;67;372;22;4;0;1;77;26;74;0;1;205;4;
232;La Prairie;2018-10-01;G;Candiac, v;3;;68;381;22;6;0;4;90;24;75;0;3;224;1;
232;La Prairie;2018-10-01;G;Candiac, v;3;;69;377;28;3;0;3;77;22;74;1;2;210;0;
232;La Prairie;2018-10-01;G;Candiac, v;3;;70;378;33;5;0;1;81;30;74;0;2;226;4;
232;La Prairie;2018-10-01;G;Candiac, v;3;;71;385;15;3;0;2;91;29;102;0;2;244;3;
232;La Prairie;2018-10-01;G;Candiac, v;3;;72;384;14;2;1;3;104;18;89;0;1;232;3;
232;La Prairie;2018-10-01;G;Candiac, v;3;;73;372;7;2;0;0;70;17;116;0;2;214;2;
232;La Prairie;2018-10-01;G;Candiac, v;3;;74;387;25;0;0;2;94;22;86;0;0;229;2;
232;La Prairie;2018-10-01;G;Candiac, v;3;;75;392;18;2;0;2;88;20;93;0;2;225;1;
232;La Prairie;2018-10-01;G;Candiac, v;3;;76;372;15;4;0;1;89;22;78;0;2;211;0;
232;La Prairie;2018-10-01;G;Candiac, v;3;;77;387;31;9;0;1;84;25;76;0;1;227;3;
232;La Prairie;2018-10-01;G;Candiac, v;3;;78;383;19;4;0;5;102;20;66;1;3;220;2;
232;La Prairie;2018-10-01;G;Candiac, v;3;;79A;248;4;1;0;1;44;6;29;0;0;85;1;
232;La Prairie;2018-10-01;G;Candiac, v;3;;79B;361;3;0;0;0;21;5;16;1;0;46;1;
232;La Prairie;2018-10-01;G;Candiac, v;3;;79C;218;10;4;0;0;27;13;11;0;0;65;0;
232;La Prairie;2018-10-01;G;Candiac, v;3;;80;406;21;4;0;2;111;22;72;1;9;242;2;
232;La Prairie;2018-10-01;G;Candiac, v;3;;81;378;12;8;0;2;90;19;62;0;0;193;2;
232;La Prairie;2018-10-01;G;Candiac, v;3;;82;349;14;2;0;1;72;15;55;0;0;159;1;
232;La Prairie;2018-10-01;G;Candiac, v;3;;83;361;26;7;0;0;76;27;57;1;1;195;4;
232;La Prairie;2018-10-01;G;Candiac, v;3;;84;385;12;3;0;4;114;10;108;0;2;253;1;
232;La Prairie;2018-10-01;G;Candiac, v;3;;85;396;22;2;0;1;119;24;56;1;0;225;2;
232;La Prairie;2018-10-01;G;Candiac, v;3;;86;380;15;1;0;5;96;23;85;0;1;226;3;
