Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brosseau Francis P.C.Q./C.P.Q.;Dagenais Gabriel Q.S.;Fournier René P.V.Q./G.P.Q.;Jeannotte Chantale C.A.Q.-É.F.L.;Ostigny Régis C.P.Q.;Pagé Sylvain P.Q.;Riopel Nadine P.L.Q./Q.L.P.;B.V.;B.R.;
594;Labelle;2018-10-01;G;Sainte-Anne-du-Lac, m;1;;1;243;1;16;0;60;1;40;20;138;0;
594;Labelle;2018-10-01;G;Sainte-Anne-du-Lac, m;1;;2;237;2;16;2;56;0;48;9;133;0;
594;Labelle;2018-10-01;G;Mont-Saint-Michel, m;1;;3;250;0;16;3;57;0;50;2;128;1;
594;Labelle;2018-10-01;G;Mont-Saint-Michel, m;1;;4;255;0;12;2;40;2;48;7;111;3;
594;Labelle;2018-10-01;G;Lac-Saint-Paul, m;1;;5;223;0;23;2;59;0;35;10;129;1;
594;Labelle;2018-10-01;G;Lac-Saint-Paul, m;1;;6;215;1;17;1;35;0;37;13;104;3;
594;Labelle;2018-10-01;G;Chute-Saint-Philippe, m;1;;7;376;2;16;1;64;2;76;16;177;2;
594;Labelle;2018-10-01;G;Chute-Saint-Philippe, m;1;;8;383;1;36;2;69;3;71;10;192;5;
594;Labelle;2018-10-01;G;Ferme-Neuve, m;1;;9;377;0;32;7;52;1;89;11;192;2;
594;Labelle;2018-10-01;G;Ferme-Neuve, m;1;;10;356;1;20;0;68;4;76;12;181;1;
594;Labelle;2018-10-01;G;Ferme-Neuve, m;1;;11;373;1;28;2;53;0;60;12;156;3;
594;Labelle;2018-10-01;G;Ferme-Neuve, m;1;;12;375;1;28;4;67;1;55;15;171;0;
594;Labelle;2018-10-01;G;Ferme-Neuve, m;1;;13;380;1;29;3;56;1;70;13;173;2;
594;Labelle;2018-10-01;G;Ferme-Neuve, m;1;;14;362;0;18;2;59;0;87;8;174;2;
594;Labelle;2018-10-01;G;Saint-Aimé-du-Lac-des-Îles, m;1;;15;330;2;30;2;64;0;41;16;155;3;
594;Labelle;2018-10-01;G;Saint-Aimé-du-Lac-des-Îles, m;1;;16;315;1;34;1;71;0;56;16;179;7;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;17;397;0;26;4;65;0;76;16;187;4;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;18;404;3;31;0;67;2;58;11;172;2;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;19;410;1;34;3;91;1;57;19;206;1;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;20;393;2;31;1;82;2;47;5;170;3;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;21;392;0;48;1;79;0;71;11;210;6;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;22;398;2;28;1;74;1;49;13;168;2;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;23;405;2;27;2;62;0;62;15;170;2;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;24;396;0;30;3;111;0;62;15;221;3;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;25;403;1;35;1;86;0;62;6;191;4;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;26;399;0;30;2;72;0;70;12;186;1;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;27;406;3;35;2;75;2;64;11;192;1;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;28;406;1;29;2;62;0;83;14;191;3;
594;Labelle;2018-10-01;G;Mont-Laurier, v;1;;29;393;1;36;1;94;2;44;14;192;2;
594;Labelle;2018-10-01;G;Mont-Laurier, v;2;;30;369;1;32;3;40;1;62;13;152;1;
594;Labelle;2018-10-01;G;Mont-Laurier, v;2;;31;362;0;25;3;58;2;53;8;149;1;
594;Labelle;2018-10-01;G;Mont-Laurier, v;2;;32;374;0;37;2;44;2;38;15;138;6;
594;Labelle;2018-10-01;G;Mont-Laurier, v;2;;33;326;3;18;2;28;0;30;7;88;2;
594;Labelle;2018-10-01;G;Mont-Laurier, v;2;;34;353;2;18;0;36;1;47;8;112;4;
