Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fradette William P.Q.;Girard Éric C.A.Q.-É.F.L.;Girard Manon Q.S.;Gouin Huot Maude É.A.;Grecoff Michael P.C.Q./C.P.Q.;Huot Mathieu P.L.Q./Q.L.P.;B.V.;B.R.;
926;Lac-Saint-Jean;2018-10-01;G;Passes-Dangereuses, no;2;Regr. BVO-2;1;38;0;0;0;0;0;0;0;0;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Ludger-de-Milot, m;1;;2;275;34;93;14;2;1;35;179;1;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Ludger-de-Milot, m;1;;3;282;42;72;12;3;3;26;158;4;
926;Lac-Saint-Jean;2018-10-01;G;Sainte-Monique, m;1;;4;357;43;80;19;2;1;19;164;0;
926;Lac-Saint-Jean;2018-10-01;G;Sainte-Monique, m;1;;5;362;61;93;17;1;1;35;208;2;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Henri-de-Taillon, m;1;;6;300;45;73;23;2;4;17;164;1;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Henri-de-Taillon, m;1;;7;307;50;61;29;0;0;22;162;2;
926;Lac-Saint-Jean;2018-10-01;G;L'Ascension-de-Notre-Seigneur, p;1;;8;404;36;92;40;3;2;14;187;4;
926;Lac-Saint-Jean;2018-10-01;G;L'Ascension-de-Notre-Seigneur, p;1;;9;385;71;90;21;0;2;20;204;7;
926;Lac-Saint-Jean;2018-10-01;G;L'Ascension-de-Notre-Seigneur, p;1;;10;398;54;113;33;0;2;9;211;2;
926;Lac-Saint-Jean;2018-10-01;G;L'Ascension-de-Notre-Seigneur, p;1;;11;397;56;100;21;1;4;28;210;0;
926;Lac-Saint-Jean;2018-10-01;G;Lamarche, m;1;;12;213;44;61;9;0;1;14;129;3;
926;Lac-Saint-Jean;2018-10-01;G;Lamarche, m;1;;13;210;27;63;8;1;1;11;111;0;
926;Lac-Saint-Jean;2018-10-01;G;Labrecque, m;1;;14;362;60;95;22;2;2;15;196;4;
926;Lac-Saint-Jean;2018-10-01;G;Labrecque, m;1;;15;352;53;109;19;0;1;23;205;5;
926;Lac-Saint-Jean;2018-10-01;G;Labrecque, m;1;;16;358;40;115;21;1;5;6;188;5;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Nazaire, m;1;;17;377;41;127;19;4;1;17;209;3;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Nazaire, m;1;;18;382;81;85;34;3;5;26;234;5;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Nazaire, m;1;;19;391;58;113;33;5;2;30;241;5;
926;Lac-Saint-Jean;2018-10-01;G;Saint-Nazaire, m;1;;20;393;65;95;25;4;2;17;208;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;21;354;52;75;28;1;1;16;173;2;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;22;373;60;86;37;2;2;15;202;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;23;366;64;97;25;3;2;26;217;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;24;379;62;87;32;1;3;24;209;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;25;368;53;80;22;0;2;20;177;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;26;382;79;84;20;1;0;17;201;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;27;367;56;77;23;1;2;17;176;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;1;;28;366;76;81;29;0;1;24;211;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;2;;29;398;70;82;30;4;0;31;217;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;2;;30;401;92;98;23;0;2;19;234;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;2;;31;402;70;98;16;1;2;34;221;1;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;2;;32;395;82;113;28;0;1;24;248;8;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;2;;33;386;59;75;44;4;7;12;201;7;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;2;;34;392;74;101;35;0;1;20;231;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;2;;35;392;56;86;31;1;2;37;213;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;3;;36;359;57;48;18;0;1;10;134;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;3;;37;344;66;38;48;1;0;17;170;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;3;;38;346;43;49;32;2;1;17;144;0;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;3;;39;354;59;56;25;1;1;13;155;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;3;;40;331;57;54;26;0;0;19;156;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;3;;41;343;35;57;30;0;0;10;132;2;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;4;;42;386;52;59;31;0;2;18;162;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;4;;43;389;62;85;24;1;3;29;204;1;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;4;;44;389;77;84;30;0;2;41;234;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;4;;45;389;71;100;40;1;3;23;238;0;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;4;;46;378;81;65;34;1;1;21;203;2;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;4;;47;375;64;63;41;2;2;21;193;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;5;;48;370;56;32;29;1;0;18;136;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;5;;49;392;51;44;44;1;0;17;157;7;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;5;;50;384;45;35;30;1;1;12;124;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;5;;51;392;55;76;36;1;2;12;182;8;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;5;;52;398;60;98;27;1;0;16;202;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;5;;53;380;59;91;26;2;3;23;204;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;6;;54;388;72;58;25;0;0;28;183;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;6;;55;373;57;47;29;1;0;21;155;2;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;6;;56;379;46;52;23;1;0;12;134;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;6;;57;401;64;71;28;0;0;16;179;7;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;7;;58;355;57;85;26;1;1;24;194;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;7;;59;358;60;84;35;0;0;12;191;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;7;;60;353;88;76;42;3;1;24;234;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;7;;61;352;79;88;29;1;1;21;219;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;7;;62;347;54;85;28;1;2;25;195;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;7;;63;362;56;79;44;0;1;20;200;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;8;;64;390;66;86;49;0;3;14;218;2;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;8;;65;386;56;83;26;0;3;26;194;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;8;;66;398;55;101;40;0;0;29;225;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;8;;67;381;77;93;26;0;2;22;220;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;8;;68;389;57;85;36;1;2;37;218;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;8;;69;399;61;88;36;2;0;26;213;2;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;8;;70;392;41;73;56;1;3;27;201;0;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;9;;71;391;93;52;33;1;0;26;205;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;9;;72;385;63;57;42;1;4;22;189;1;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;9;;73;382;92;74;24;0;1;23;214;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;9;;74;386;59;85;47;1;0;28;220;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;75;397;83;75;31;1;0;38;228;6;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;76;388;94;110;35;0;0;20;259;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;77;401;77;78;44;2;3;32;236;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;78;384;66;81;39;0;2;23;211;5;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;79;402;64;93;49;0;6;31;243;0;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;80A;213;35;47;16;0;0;8;106;0;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;80B;213;29;57;9;1;3;13;112;3;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;81;407;68;75;40;0;5;31;219;4;
926;Lac-Saint-Jean;2018-10-01;G;Alma, v;10;;82;397;69;100;22;2;4;12;209;2;
926;Lac-Saint-Jean;2018-10-01;G;Larouche, m;1;;83;392;68;86;33;4;4;25;220;5;
926;Lac-Saint-Jean;2018-10-01;G;Larouche, m;1;;84;391;110;83;23;1;3;23;243;1;
