Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arel Jacinthe-Eve C.A.Q.-É.F.L.;Audet Marc André N.P.D.Q.;Huet-Côté Sabrina P.V.Q./G.P.Q.;Lefrançois Claude Q.S.;Lessard Annie P.Q.;Ménard Nicole P.L.Q./Q.L.P.;Therrien Linda P.C.Q./C.P.Q.;B.V.;B.R.;
244;Laporte;2018-10-01;G;Saint-Lambert, v;1;;1;390;59;0;2;28;25;74;0;188;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;1;;2;389;54;3;5;63;44;61;0;230;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;1;;3;396;40;0;4;31;33;111;0;219;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;2;;4;389;53;8;8;63;23;84;0;239;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;2;;5;397;40;2;8;62;31;71;0;214;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;2;;6;391;47;1;5;63;55;89;3;263;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;2;;7;392;53;3;7;25;32;68;0;188;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;2;;8;406;59;2;2;37;35;40;2;177;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;2;;9;390;49;4;4;73;42;44;2;218;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;3;;10;357;47;1;4;53;27;43;0;175;4;
244;Laporte;2018-10-01;G;Saint-Lambert, v;3;;11;356;26;2;4;64;30;44;1;171;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;3;;12;362;52;5;4;55;50;61;0;227;0;
244;Laporte;2018-10-01;G;Saint-Lambert, v;3;;13;357;42;1;8;62;36;63;1;213;0;
244;Laporte;2018-10-01;G;Saint-Lambert, v;3;;14;349;42;6;11;37;21;67;0;184;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;4;;15;357;37;2;6;24;12;61;0;142;4;
244;Laporte;2018-10-01;G;Saint-Lambert, v;4;;16;284;36;0;0;9;18;38;0;101;0;
244;Laporte;2018-10-01;G;Saint-Lambert, v;4;;17;364;30;4;5;39;20;48;0;146;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;4;;18;392;46;2;3;42;32;43;1;169;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;19;371;66;3;7;51;36;74;1;238;0;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;20;354;61;1;6;31;20;78;1;198;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;21A;206;46;1;4;18;13;18;1;101;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;21B;244;38;0;5;33;22;42;1;141;0;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;22;374;51;5;11;52;35;59;2;215;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;23;366;38;3;11;45;26;73;0;196;3;
