Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fontecilla Andrés Q.S.;Langelier Simon C.A.Q.-É.F.L.;Lessard Eric C.P.Q.;Malek Arezki P.M.L.Q.;Marcil Mathieu P.N.;Petropoulos Apostolia N.P.D.Q.;St-Onge Hugô B.P.;Thémis Chef Jean Louis P.Cu.Q.;Tsantrizos George P.L.Q./Q.L.P.;Vadius Marie-Aline P.Q.;Vazquez Juan P.V.Q./G.P.Q.;Yousuf Mohammad P.C.Q./C.P.Q.;B.V.;B.R.;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;208;;1;337;10;2;0;0;0;4;0;0;82;1;2;7;108;3;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;208;;2;351;11;3;0;1;0;12;0;0;132;1;1;3;164;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;208;;3;317;11;3;0;2;1;4;0;0;103;0;5;3;132;4;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;208;;4;352;19;3;0;0;1;6;1;0;117;3;1;15;166;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;208;;5;346;14;8;1;0;0;11;2;0;93;3;8;14;154;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;208;;6;364;10;3;0;0;0;14;1;0;111;1;3;4;147;6;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;209;;7;345;4;1;0;0;0;9;0;1;101;4;6;5;131;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;209;;8;364;10;12;0;1;0;2;1;1;108;1;2;11;149;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;209;;9;362;22;1;0;0;0;7;1;1;103;3;1;6;145;4;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;209;;10;349;16;1;1;0;0;4;0;2;86;3;4;10;127;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;209;;11;337;13;5;2;0;0;1;0;2;112;2;2;10;149;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;209;;12;325;22;10;0;0;0;6;0;0;87;5;1;1;132;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;210;;13;374;31;4;0;0;0;5;0;3;119;1;7;7;177;6;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;210;;14;348;7;1;0;0;1;2;0;2;99;4;0;7;123;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;210;;15;360;7;11;0;0;0;4;0;0;101;2;1;10;136;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;210;;16;374;8;10;0;0;0;3;0;0;114;2;0;9;146;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;210;;17;375;23;5;0;1;0;5;0;2;110;5;1;6;158;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;211;;18;318;14;9;0;0;0;8;0;0;110;0;1;5;147;3;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;211;;19;336;10;17;1;0;0;9;0;0;76;0;0;1;114;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;211;;20;343;16;6;0;0;1;12;0;0;115;2;1;7;160;3;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;211;;21;317;8;8;2;0;2;6;0;0;110;4;0;3;143;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;211;;22;352;32;2;0;1;0;4;1;0;87;2;1;10;140;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;211;;23;330;22;8;0;1;0;4;1;2;87;3;2;2;132;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;212;;24;375;23;8;0;0;0;4;0;0;103;2;3;3;146;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;212;;25;374;35;7;1;0;1;4;0;0;98;1;2;4;153;5;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;212;;26;374;63;13;0;2;0;6;0;0;92;6;6;11;199;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;212;;27;360;16;11;0;1;0;8;0;0;98;2;4;9;149;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;212;;28;357;48;6;0;0;0;10;1;2;62;3;2;0;134;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;212;;29;350;42;6;0;0;0;6;0;0;68;3;4;2;131;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;212;;30;376;36;8;0;0;1;10;0;0;89;5;3;8;160;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;213;;31;325;21;13;1;0;0;10;0;0;93;5;1;9;153;3;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;213;;32;345;39;11;0;1;1;3;0;1;84;0;1;2;143;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;213;;33;337;36;0;0;1;1;10;0;1;98;2;1;8;158;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;213;;34;346;17;4;1;1;0;6;0;0;104;3;2;2;140;4;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;213;;35;336;20;8;0;2;2;3;0;0;79;1;0;7;122;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;36;381;21;11;0;0;0;8;0;2;103;5;1;2;153;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;37;384;23;4;1;0;2;7;1;0;77;4;2;3;124;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;38;378;30;5;0;0;0;5;0;1;77;2;6;10;136;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;39;389;38;6;0;0;0;3;0;1;73;0;1;1;123;4;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;40;392;31;8;0;1;1;2;1;1;82;3;1;9;140;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;41;383;50;4;0;1;1;8;1;3;72;1;2;4;147;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;42;394;19;5;0;0;0;3;1;0;58;2;3;4;95;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;43;385;60;12;0;0;0;4;0;1;47;8;7;1;140;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;214;;44;391;43;6;0;1;3;1;0;1;49;3;2;4;113;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;45;409;86;22;1;0;0;5;0;1;49;17;5;1;187;4;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;46;375;54;28;0;0;0;1;0;3;53;12;5;0;156;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;47;409;71;33;0;0;1;2;0;0;57;24;1;1;190;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;48;357;86;27;0;0;0;1;0;0;37;22;3;0;176;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;49;359;80;23;0;0;0;3;0;1;48;13;5;1;174;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;50;357;131;24;0;0;1;3;0;1;38;19;4;2;223;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;51;346;108;16;0;0;2;2;1;0;35;17;3;0;184;4;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;52;367;120;24;1;0;0;0;0;1;23;19;2;0;190;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;53;353;122;14;0;1;1;5;0;5;26;23;3;1;201;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;54;360;92;20;1;0;3;1;1;0;37;14;2;1;172;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;215;;55;364;93;20;1;0;0;5;1;2;44;15;1;0;182;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;216;;56;361;112;15;1;0;2;5;0;0;35;9;5;1;185;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;216;;57;374;138;18;0;0;1;1;0;4;19;27;6;0;214;0;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;216;;58;395;121;23;0;0;3;2;0;1;23;28;5;1;207;1;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;216;;59;372;158;23;0;0;2;2;0;0;16;12;2;0;215;3;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;216;;60;377;120;29;0;0;0;3;0;0;28;26;4;1;211;2;
344;Laurier-Dorion;2018-10-01;G;Montréal, v;216;;61;367;132;23;0;1;0;3;0;2;38;17;3;0;219;1;
