Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bozsodi Bianca C.P.Q.;Caron Jocelyn P.Q.;Larocque Benoit P.C.Q./C.P.Q.;Mateo Graciela Q.S.;Mitton Christine C.A.Q.-É.F.L.;Obeo Estelle P.V.Q./G.P.Q.;Pharicien Jean Phariste N.P.D.Q.;Polo Saul P.L.Q./Q.L.P.;Progakis Elias P.L.;B.V.;B.R.;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;1;385;0;21;2;19;53;3;2;48;1;149;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;2;389;1;18;1;29;60;3;0;98;0;210;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;3;387;0;25;2;20;77;6;1;85;0;216;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;4;381;4;24;5;32;56;11;1;78;2;213;7;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;5;390;2;28;2;20;68;5;4;79;0;208;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;6;392;2;24;5;14;62;0;5;88;2;202;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;7;388;6;27;8;16;77;3;0;77;1;215;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;8;387;3;22;0;46;60;1;3;73;3;211;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;9;387;1;20;5;20;65;6;1;79;2;199;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;38;;10;379;4;34;5;18;67;4;1;67;4;204;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;39;;11;372;0;15;5;10;33;7;1;80;0;151;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;39;;12;342;0;20;0;21;57;2;0;84;0;184;1;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;39;;13;365;1;24;3;28;55;7;2;67;0;187;5;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;39;;14;356;0;33;1;27;42;3;0;78;1;185;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;39;;15;353;0;14;1;28;48;9;0;76;0;176;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;39;;16;345;1;24;1;15;69;3;0;78;2;193;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;40;;17;400;4;25;3;31;54;3;5;82;2;209;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;40;;18;399;2;14;6;14;62;4;3;47;0;152;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;40;;19;406;5;15;4;33;36;1;4;95;2;195;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;40;;20;394;2;25;1;29;60;2;1;101;2;223;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;40;;21;389;5;12;4;16;39;4;1;96;4;181;5;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;22;362;3;16;1;29;42;4;3;34;0;132;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;23;362;1;21;1;22;39;2;0;59;0;145;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;24;359;2;17;0;20;44;2;2;38;2;127;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;25;369;3;17;6;41;52;6;1;44;1;171;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;26;362;0;25;4;36;47;4;1;34;1;152;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;27;353;4;20;0;31;47;7;0;49;1;159;5;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;28;348;0;29;3;28;48;5;0;37;0;150;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;29;373;4;38;4;26;39;11;4;35;0;161;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;30;370;0;13;0;20;36;3;0;37;1;110;1;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;31;386;3;10;0;25;58;6;0;41;3;146;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;41;;32;334;0;18;3;28;51;3;3;47;0;153;1;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;42;;33;396;1;46;2;43;72;3;1;65;1;234;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;42;;34;395;1;30;3;48;52;6;4;71;2;217;7;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;42;;35;403;0;31;4;47;46;4;1;80;4;217;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;42;;36;393;2;29;2;36;70;7;3;63;2;214;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;42;;37;394;2;17;4;27;69;6;0;65;2;192;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;42;;38;400;2;39;1;36;55;2;1;54;0;190;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;42;;39;404;1;55;2;45;101;2;3;70;6;285;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;40;392;1;47;0;45;47;9;0;46;0;195;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;41;402;2;38;4;46;62;12;1;33;2;200;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;42;405;0;36;1;38;50;3;0;47;2;177;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;43;418;4;41;4;48;54;3;3;60;0;217;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;44;387;0;24;3;34;69;1;0;73;1;205;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;45;396;2;19;1;41;50;6;1;46;3;169;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;46;385;3;31;2;16;52;9;0;63;3;179;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;43;;47;395;1;46;1;50;62;1;2;57;0;220;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;48;406;3;28;1;31;43;9;2;55;0;172;8;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;49;402;4;29;5;27;61;6;3;33;0;168;10;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;50;395;1;28;4;39;64;6;0;57;1;200;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;51;392;2;14;1;28;42;4;0;48;0;139;1;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;52A;230;2;11;0;22;21;3;0;49;0;108;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;52B;231;0;10;0;14;22;5;0;19;0;70;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;53;388;0;20;2;40;50;7;1;24;0;144;5;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;54;407;0;22;1;30;64;2;0;42;1;162;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;44;;55;397;2;30;0;48;54;2;1;34;1;172;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;56;393;0;17;6;47;49;7;1;49;2;178;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;57;403;1;18;2;30;65;4;1;59;0;180;1;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;58;385;2;18;0;31;44;3;4;79;0;181;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;59;415;1;25;1;44;50;4;2;77;0;204;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;60;383;1;23;3;21;52;7;5;54;0;166;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;61;409;1;20;1;31;73;3;1;29;2;161;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;62;402;0;20;3;47;75;2;0;25;1;173;2;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;63;388;5;26;2;40;67;6;0;25;0;171;5;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;64;396;1;35;1;43;69;4;3;33;0;189;9;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;45;;65;390;2;19;3;32;61;5;0;36;0;158;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;66;391;1;25;3;18;35;6;1;116;1;206;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;67;386;1;23;1;30;31;4;1;51;0;142;6;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;68;380;2;26;0;13;54;1;1;56;1;154;5;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;69;394;3;20;1;32;44;3;2;55;1;161;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;70;386;0;18;3;36;52;7;2;49;4;171;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;71;376;4;20;1;20;51;3;1;61;0;161;1;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;72;388;3;36;2;31;45;4;2;93;1;217;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;46;;73;381;2;23;1;23;55;3;0;63;2;172;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;47;;74;368;1;14;0;23;24;3;1;59;2;127;0;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;47;;75;360;1;16;1;35;47;6;2;50;1;159;5;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;47;;76;364;1;20;2;25;40;4;0;56;1;149;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;47;;77;363;0;24;0;24;53;9;1;80;3;194;4;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;47;;78;355;0;26;2;23;70;3;4;65;4;197;3;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;47;;79;359;2;23;3;18;58;5;1;45;1;156;1;
454;Laval-des-Rapides;2018-10-01;G;Laval, v;47;;80;367;0;17;3;22;31;3;0;35;0;111;0;
