Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bruneau Jacynthe P.Q.;Cardin Christine Q.S.;Giguère Pierre P.L.Q./Q.L.P.;Gosselin Jacques C.P.Q.;Hamel Ugo P.C.Q./C.P.Q.;Tardif Marie-Louise C.A.Q.-É.F.L.;B.V.;B.R.
670;Laviolette-Saint-Maurice;2018-10-01;G;Obedjiwan, r;1;;1;863;5;11;16;1;1;1;35;0
670;Laviolette-Saint-Maurice;2018-10-01;G;Wemotaci, r;1;;2;694;4;19;32;2;5;5;67;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Lac-Édouard, m;1;;3;145;8;19;10;0;1;53;91;2
670;Laviolette-Saint-Maurice;2018-10-01;G;La Bostonnais, m;1;;4;226;16;15;23;1;3;54;112;2
670;Laviolette-Saint-Maurice;2018-10-01;G;La Bostonnais, m;1;;5;234;28;18;21;5;1;53;126;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;1;Regr. BVO-8;6;31;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;1;Regr. BVO-8;7;0;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;1;;8;287;35;8;12;5;1;56;117;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;1;Regr. BVO-10;9;0;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;1;;10;242;16;18;8;1;2;41;86;3
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;1;Regr. BVO-12;11;6;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;1;;12;274;24;18;19;3;5;44;113;10
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;13;385;26;36;27;0;4;78;171;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;14;381;27;24;36;3;2;57;149;5
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;15;364;49;15;19;1;3;59;146;0
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;16;383;23;26;25;1;2;61;138;3
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;17;396;23;22;29;4;3;59;140;8
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;18;370;22;31;20;3;0;54;130;2
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;19;373;36;25;23;2;1;70;157;5
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;2;;20;383;26;27;17;2;1;66;139;4
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;3;;21;340;27;28;17;6;1;56;135;4
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;3;;22;330;26;29;24;4;2;68;153;3
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;23;412;34;27;33;5;1;73;173;5
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;24;401;22;29;20;3;2;65;141;8
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;25;405;26;39;23;8;2;64;162;3
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;26;400;40;14;35;1;3;96;189;9
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;27;411;41;32;20;5;5;81;184;1
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;28;396;26;33;24;4;0;71;158;3
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;29A;207;8;5;7;1;1;33;55;2
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;29B;229;11;14;13;0;1;28;67;3
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;;30;409;36;11;21;1;3;53;125;4
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;5;;31;341;25;20;29;1;1;59;135;4
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;5;;32;350;41;22;29;0;4;70;166;4
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;5;;33;371;34;28;29;0;4;70;165;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;1;;34;367;36;48;27;2;7;99;219;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;1;;35;355;26;41;20;0;10;112;209;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;1;;36;351;32;33;19;3;9;96;192;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;1;;37;384;31;21;20;2;7;110;191;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;1;;38;364;22;28;22;3;5;100;180;0
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;2;;39;371;45;30;47;1;5;108;236;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;2;;40;390;29;38;47;3;2;89;208;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;2;;41;369;34;26;33;1;4;92;190;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;2;;42;377;20;41;47;2;0;117;227;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;2;;43;383;26;34;30;3;5;94;192;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;3;;44;358;28;37;36;2;2;61;166;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;3;;45;383;28;29;31;9;1;52;150;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;3;;46;375;10;22;14;2;2;58;108;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;3;;47;348;18;27;28;1;2;58;134;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;3;;48;379;24;15;23;5;0;72;139;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;3;;49;372;24;22;27;1;1;65;140;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;4;;50;359;23;14;14;3;3;42;99;4
