Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Geynet Boris P.V.Q./G.P.Q.;Laliberté Mathieu P.C.Q./C.P.Q.;Leblanc Marc-Olivier P.Q.;Lecours Lucie C.A.Q.-É.F.L.;Orellana-Pepin Vincent P.L.Q./Q.L.P.;Stevens Mathieu P.L.;St-Jean Kévin Q.S.;B.V.;B.R.;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;1;;1;384;0;0;38;78;23;0;15;154;8;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;1;;2;385;4;1;51;86;10;2;20;174;5;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;1;;3;380;4;5;56;76;10;0;34;185;5;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;1;;4;382;5;2;70;94;16;1;34;222;2;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;1;;5;381;4;1;62;114;8;2;15;206;5;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;1;;6;394;3;5;73;103;11;1;32;228;2;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;1;;7;389;1;4;42;144;19;0;17;227;3;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;2;;8;416;4;0;73;127;16;1;19;240;11;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;2;;9;421;7;3;74;103;15;0;46;248;9;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;2;;10;399;5;3;77;100;16;0;28;229;7;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;2;;11;408;3;2;77;89;20;1;28;220;4;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;2;;12;415;23;5;64;79;13;2;21;207;5;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;2;;13;405;6;0;70;94;9;0;29;208;5;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;3;;14;409;4;3;64;122;15;2;29;239;7;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;3;;15;407;4;2;66;121;16;0;35;244;4;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;3;;16;404;6;6;67;126;15;1;27;248;10;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;3;;17;409;2;4;71;118;12;2;27;236;5;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;3;;18;401;5;4;62;98;9;2;48;228;3;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;3;;19;405;4;6;53;94;21;1;30;209;2;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;4;;20;378;3;1;60;68;11;1;18;162;9;
530;Les Plaines;2018-10-01;G;Sainte-Anne-des-Plaines, v;4;;21;390;5;2;68;123;7;1;30;236;5;
