Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudet Normand Q.S.;Beaulieu Yohann P.Q.;Croteau Daniel P51;Daigle Pierre-Luc P.L.Q./Q.L.P.;Dextraze Marie-Claude P.V.Q./G.P.Q.;Labbé Réjean P.C.Q./C.P.Q.;Lecours Isabelle C.A.Q.-É.F.L.;Roy Yves C.P.Q.;B.V.;B.R.;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;1;374;17;21;3;32;4;5;93;1;176;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;2;360;18;19;1;18;5;0;82;9;152;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;3;385;27;25;1;17;3;1;104;2;180;6;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;4;364;15;25;3;21;4;8;104;1;181;6;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;5;372;17;19;2;20;2;1;110;2;173;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;6;377;20;18;1;26;8;3;116;0;192;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;7;380;22;25;1;32;1;8;137;0;226;10;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;1;;8;376;16;24;1;34;7;5;110;2;199;4;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;2;;9;386;15;19;0;27;1;11;104;3;180;7;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;2;;10;400;19;30;0;38;1;9;100;0;197;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;2;;11;400;21;32;1;41;2;10;114;0;221;1;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;2;;12;404;33;15;1;23;4;2;102;1;181;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;2;;13;381;21;42;1;20;4;1;99;5;193;4;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;2;;14;393;19;17;0;26;3;3;89;1;158;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;15;375;16;15;0;25;3;2;75;2;138;4;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;16;386;22;21;5;43;9;1;93;1;195;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;17;370;15;21;1;45;3;6;108;0;199;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;18;378;22;15;0;36;1;5;133;0;212;4;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;19;398;25;14;0;44;3;7;102;1;196;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;20;366;20;19;0;35;1;2;118;0;195;3;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;21;390;16;40;1;51;1;7;83;1;200;1;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;22;386;27;26;0;15;3;8;81;5;165;6;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;3;;23;383;14;15;0;19;3;5;81;0;137;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;4;;24;377;23;15;0;23;5;2;63;0;131;7;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;4;;25;385;26;19;3;20;6;8;86;3;171;5;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;4;;26;394;24;17;2;32;1;1;80;2;159;7;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;4;;27;388;20;34;1;24;4;0;94;0;177;4;
810;Lotbinière-Frontenac;2018-10-01;G;Thetford Mines, v;4;;28;391;18;18;2;31;4;2;93;2;170;0;
