Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard Normand P.Q.;Bégin Vincent Ind;Bjerke Natalie P.C.Q./C.P.Q.;Boivin Guillaume Q.S.;Côté Caroline N.P.D.Q.;Guilbault Geneviève C.A.Q.-É.F.L.;Perron Julie-Maude P.L.Q./Q.L.P.;Rouckout Jean-Luc É.A.;Vendette Daydree P.V.Q./G.P.Q.;B.V.;B.R.;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;1;;1;369;10;1;13;15;2;107;46;0;4;198;9;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;1;;2;376;16;6;7;21;2;118;22;1;1;194;4;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;1;;3;372;21;5;9;18;6;103;34;1;2;199;5;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;1;;4;367;12;2;12;17;2;96;33;1;3;178;6;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;1;;5;378;17;2;14;28;2;97;38;0;4;202;1;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;6;398;24;1;7;31;2;100;38;1;4;208;4;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;7;339;29;1;4;22;3;98;26;0;5;188;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;8;342;28;0;5;17;2;124;38;0;3;217;0;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;9;347;21;3;8;14;1;145;39;1;4;236;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;10;336;30;1;1;18;1;95;45;0;4;195;1;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;11;346;9;1;5;18;2;97;27;0;1;160;8;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;12;336;16;1;4;16;0;91;29;0;3;160;4;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;13;350;15;3;1;23;2;93;24;0;3;164;5;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;14;340;15;3;8;17;2;97;27;0;1;170;4;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;15;332;21;2;2;21;2;97;21;0;2;168;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;16;340;23;0;5;37;9;81;35;0;3;193;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;17;343;23;1;8;20;3;119;40;0;2;216;5;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;18;335;18;1;13;24;4;102;41;0;2;205;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;19;334;25;1;6;21;3;90;21;1;0;168;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;20;326;22;3;7;19;3;120;35;0;6;215;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;2;;21;342;18;1;5;25;0;81;34;0;3;167;4;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;22;399;25;5;7;20;1;95;35;0;3;191;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;23;384;21;3;10;13;3;83;68;0;2;203;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;24;389;23;0;9;21;0;96;64;0;2;215;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;25;381;9;0;5;6;1;78;53;0;1;153;0;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;26A;226;16;3;2;9;1;49;23;0;0;103;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;26B;239;10;0;4;8;1;56;29;0;1;109;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;27;419;20;0;5;15;0;94;48;0;5;187;1;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;28;392;21;2;6;8;0;76;52;0;3;168;0;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;29;382;10;0;5;5;1;85;49;0;0;155;1;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;30;375;21;2;3;10;0;91;72;0;6;205;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;31A;269;15;1;2;4;2;66;25;0;3;118;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;3;;31B;229;8;3;5;14;1;49;21;0;0;101;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;32;396;25;1;9;25;0;78;64;0;4;206;1;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;33;413;14;1;9;18;0;107;94;0;5;248;3;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;34;399;28;0;9;27;2;89;54;0;3;212;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;35;402;24;2;1;32;3;95;62;0;5;224;5;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;36;406;25;1;7;25;1;98;64;0;8;229;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;37;381;34;5;5;28;1;81;48;0;2;204;2;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;38;401;38;2;5;40;2;92;41;1;2;223;8;
708;Louis-Hébert;2018-10-01;G;Saint-Augustin-de-Desmaures, v;4;;39;401;15;3;4;16;1;112;88;0;7;246;2;
