Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;David Hélène P.L.Q./Q.L.P.;Desbiens Jeannot P.Q.;Elsayed Nashaat N.P.D.Q.;Louardiane Smail P.V.Q./G.P.Q.;Michaud Vicky C.A.Q.-É.F.L.;St-Laurent Camille Q.S.;B.V.;B.R.;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;52;;1;381;64;20;1;3;47;16;151;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;52;;2;392;67;14;5;3;56;20;165;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;52;;3;380;75;17;2;4;52;23;173;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;52;;4;398;68;30;0;6;35;27;166;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;52;;5A;262;36;13;0;1;29;24;103;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;52;;5B;204;49;3;4;2;24;10;92;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;52;;6;393;58;18;1;8;72;28;185;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;53;;7;409;85;3;11;4;37;18;158;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;53;;8;404;111;7;8;5;35;8;174;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;53;;9;407;68;11;4;7;18;7;115;6;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;53;;10A;229;20;10;2;2;7;3;44;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;53;;10B;199;29;11;3;1;12;5;61;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;53;;11;420;75;17;7;5;52;20;176;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;54;;12;331;53;14;4;2;60;21;154;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;54;;13;346;72;18;0;3;41;31;165;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;54;;14;327;55;16;2;3;43;20;139;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;54;;15;325;50;15;4;2;33;21;125;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;54;;16;327;57;10;5;7;31;18;128;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;55;;17;311;49;18;2;1;52;22;144;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;55;;18;314;37;25;6;9;72;26;175;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;55;;19;324;60;20;2;8;50;36;176;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;55;;20;311;51;23;2;6;43;20;145;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;56;;21;344;65;12;3;4;35;9;128;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;56;;22;367;79;7;1;5;20;18;130;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;56;;23;365;104;18;3;6;45;19;195;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;56;;24;351;83;11;3;5;52;21;175;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;56;;25;350;86;13;6;3;25;11;144;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;56;;26;342;116;9;6;1;14;13;159;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;27;408;86;5;1;6;21;7;126;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;28;378;93;13;2;2;32;4;146;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;29;422;122;15;3;10;47;13;210;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;30;416;85;14;4;3;45;21;172;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;31;402;83;13;3;3;48;27;177;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;32;395;91;20;1;3;37;28;180;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;33;397;83;10;2;5;33;15;148;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;34;405;103;10;2;1;37;13;166;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;35;389;123;6;2;1;27;17;176;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;36;399;123;11;2;4;30;9;179;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;37;386;134;4;1;2;19;12;172;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;57;;38;381;86;4;2;2;26;9;129;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;39;391;104;11;2;0;12;10;139;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;40;394;78;5;1;0;44;11;139;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;41;385;98;6;2;6;19;5;136;7;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;42;403;107;12;4;5;21;16;165;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;43;380;103;7;3;2;42;8;165;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;44;398;95;4;1;3;17;7;127;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;45;375;82;7;2;2;31;9;133;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;46;359;65;2;3;3;11;10;94;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;47;388;115;3;1;2;25;17;163;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;48;396;123;2;4;0;25;3;157;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;49;391;113;7;2;6;32;15;175;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;50;383;101;8;5;1;50;13;178;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;51;409;82;21;2;2;35;17;159;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;52;388;113;8;2;1;28;7;159;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;58;;53;410;106;8;3;3;17;14;151;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;54;399;96;10;1;2;47;13;169;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;55;400;171;3;1;6;21;9;211;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;56;394;131;3;3;5;21;9;172;7;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;57;413;137;4;3;9;29;6;188;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;58;412;133;3;0;1;27;14;178;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;59;397;107;10;1;10;28;6;162;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;60;400;135;12;2;7;8;11;175;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;61;387;92;7;3;1;39;9;151;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;62;407;159;8;3;1;31;10;212;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;63;402;114;6;2;1;28;3;154;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;64;413;108;6;3;4;32;12;165;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;65;410;142;5;1;5;23;14;190;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;59;;66;388;96;7;1;3;27;16;150;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;60;;67;389;130;6;4;3;21;8;172;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;60;;68;401;109;7;7;5;37;9;174;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;60;;69;389;135;6;2;4;24;7;178;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;60;;70;415;115;4;0;1;23;6;149;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;60;;71;391;101;6;1;6;33;5;152;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;60;;72;387;100;10;5;1;23;9;148;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;73;380;97;5;1;3;21;11;138;0;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;74;367;77;6;4;1;28;12;128;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;75;372;87;8;4;2;30;8;139;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;76;395;110;3;6;3;10;5;137;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;77;363;109;9;3;2;25;9;157;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;78;420;86;16;3;2;30;8;145;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;79;377;70;6;1;1;29;7;114;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;80;405;95;9;1;8;32;13;158;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;81;375;88;12;1;9;29;8;147;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;82;399;88;10;1;4;27;18;148;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;83;396;66;8;0;2;35;32;143;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;61;;84;399;69;12;2;3;34;9;129;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;85;372;85;16;2;9;30;13;155;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;86;375;93;21;7;2;37;19;179;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;87;357;98;8;2;1;30;20;159;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;88;363;123;12;0;2;31;12;180;6;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;89;374;95;13;3;2;40;12;165;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;90;370;116;4;0;4;34;8;166;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;91;368;79;13;1;1;38;20;152;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;92;361;77;7;2;6;57;9;158;5;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;93;376;76;9;4;5;32;18;144;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;62;;94;388;79;10;2;2;35;14;142;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;63;;95;317;49;17;2;6;29;33;136;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;63;;96;302;54;14;4;5;30;18;125;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;63;;97;300;45;24;3;8;32;26;138;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;63;;98;307;40;16;4;8;35;36;139;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;64;;99;336;40;34;1;7;41;40;163;6;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;64;;100;335;42;30;2;7;45;27;153;8;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;64;;101;322;42;24;2;2;36;47;153;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;64;;102;336;51;21;3;10;45;33;163;1;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;64;;103;339;65;23;1;5;60;24;178;4;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;65;;104;380;67;36;3;1;46;26;179;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;65;;105;380;46;17;3;10;59;38;173;9;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;65;;106;386;52;27;2;5;56;39;181;3;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;65;;107;376;48;22;3;5;50;33;161;2;
304;Marguerite-Bourgeoys;2018-10-01;G;Montréal, v;65;;108;384;71;20;4;11;43;35;184;0;
